"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,620","1,671","1,725","1,571","382.51K","-3.05%"
"2024- 05- 07","1,671","1,765","1,792","1,671","295.43K","-5.33%"
"2024- 05- 03","1,765","1,742","1,851","1,690","377.42K","1.44%"
"2024- 05- 02","1,740","1,800","1,810","1,708","243.63K","-3.33%"
"2024- 04- 30","1,800","1,850","1,878","1,715","231.20K","-2.70%"
"2024- 04- 29","1,850","1,800","1,861","1,800","114.55K","2.83%"
"2024- 04- 26","1,799","1,863","1,863","1,792","126.02K","-2.02%"
"2024- 04- 25","1,836","1,918","1,949","1,792","456.67K","-4.47%"
"2024- 04- 24","1,922","2,010","2,030","1,890","600.26K","-3.90%"
"2024- 04- 23","2,000","1,899","2,090","1,879","1.04M","5.37%"
"2024- 04- 22","1,898","1,870","1,919","1,790","284.99K","1.50%"
"2024- 04- 19","1,870","1,822","1,900","1,750","235.87K","2.63%"
"2024- 04- 18","1,822","1,821","1,927","1,785","332.86K","0.05%"
"2024- 04- 17","1,821","1,735","1,999","1,735","954.85K","4.66%"
"2024- 04- 16","1,740","1,731","1,780","1,710","123.87K","0.52%"
"2024- 04- 15","1,731","1,775","1,797","1,715","168.23K","-3.73%"
"2024- 04- 12","1,798","1,870","1,870","1,788","205.92K","-1.96%"
"2024- 04- 11","1,834","1,775","1,875","1,751","348.42K","3.32%"
"2024- 04- 09","1,775","1,818","1,947","1,733","730.81K","-2.31%"
"2024- 04- 08","1,817","1,900","1,905","1,797","519.84K","-4.82%"
"2024- 04- 05","1,909","1,732","1,932","1,710","934.19K","9.09%"
"2024- 04- 04","1,750","1,754","1,778","1,706","296.47K","-1.02%"
"2024- 04- 03","1,768","1,815","1,815","1,753","278.03K","-2.59%"
"2024- 04- 02","1,815","1,755","1,824","1,713","636.89K","3.48%"
"2024- 04- 01","1,754","1,710","1,880","1,677","524.88K","4.59%"
"2024- 03- 29","1,677","1,635","1,687","1,622","297.89K","2.57%"
"2024- 03- 28","1,635","1,658","1,716","1,602","360.30K","-1.27%"
"2024- 03- 27","1,656","1,701","1,800","1,630","718.74K","-7.49%"
"2024- 03- 26","1,790","1,830","1,830","1,783","488.12K","-0.67%"
