"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,820","4,750","4,820","4,750","12.98K","0.42%"
"2024- 05- 07","4,800","4,855","4,855","4,760","28.71K","-1.03%"
"2024- 05- 03","4,850","4,850","4,870","4,755","34.01K","0.00%"
"2024- 05- 02","4,850","4,790","4,850","4,750","16.17K","1.25%"
"2024- 04- 30","4,790","4,895","5,000","4,790","42.62K","-2.15%"
"2024- 04- 29","4,895","4,855","5,090","4,700","107.73K","0.41%"
"2024- 04- 26","4,875","4,860","4,980","4,810","18.13K","-1.71%"
"2024- 04- 25","4,960","4,940","4,975","4,880","19.78K","0.20%"
"2024- 04- 24","4,950","4,870","5,020","4,775","23.54K","3.23%"
"2024- 04- 23","4,795","4,880","4,910","4,795","19.75K","-0.52%"
"2024- 04- 22","4,820","4,690","4,840","4,650","22.34K","1.58%"
"2024- 04- 19","4,745","4,720","4,890","4,580","45.56K","0.11%"
"2024- 04- 18","4,740","4,675","4,795","4,670","22.51K","1.39%"
"2024- 04- 17","4,675","4,680","4,850","4,600","34.51K","-0.11%"
"2024- 04- 16","4,680","4,800","4,810","4,545","58.89K","-3.70%"
"2024- 04- 15","4,860","5,070","5,070","4,745","76.23K","-3.19%"
"2024- 04- 12","5,020","5,070","5,070","4,920","27.15K","0.20%"
"2024- 04- 11","5,010","5,080","5,080","4,920","39.50K","-0.99%"
"2024- 04- 09","5,060","5,090","5,140","4,950","69.17K","-1.36%"
"2024- 04- 08","5,130","5,230","5,270","5,050","43.22K","-0.97%"
"2024- 04- 05","5,180","5,260","5,340","5,150","69.54K","-2.63%"
"2024- 04- 04","5,320","5,310","5,420","5,290","65.85K","-0.75%"
"2024- 04- 03","5,360","5,430","5,430","5,300","56.71K","-2.90%"
"2024- 04- 02","5,520","5,600","5,630","5,410","122.87K","-0.90%"
"2024- 04- 01","5,570","5,490","5,630","5,330","171.98K","3.15%"
"2024- 03- 29","5,400","5,530","5,600","5,370","107.45K","-3.05%"
"2024- 03- 28","5,570","5,410","5,700","5,220","328.16K","2.77%"
"2024- 03- 27","5,420","5,220","5,740","5,220","322.18K","3.83%"
"2024- 03- 26","5,220","5,290","5,310","5,160","49.86K","0.38%"
"2024- 03- 25","5,200","5,390","5,390","5,120","67.90K","-3.70%"
"2024- 03- 22","5,400","5,330","5,460","5,170","239.61K","5.26%"
"2024- 03- 21","5,130","5,100","5,170","5,040","59.26K","0.59%"
"2024- 03- 20","5,100","5,190","5,190","5,010","53.10K","0.59%"
"2024- 03- 19","5,070","5,030","5,170","5,010","62.99K","1.00%"
"2024- 03- 18","5,020","5,050","5,100","4,995","49.69K","-0.59%"
"2024- 03- 15","5,050","5,100","5,120","5,020","76.09K","-0.98%"
"2024- 03- 14","5,100","5,310","5,310","5,050","107.25K","-3.95%"
"2024- 03- 13","5,310","5,170","5,500","5,070","166.01K","3.31%"
"2024- 03- 12","5,140","5,170","5,340","5,100","82.12K","-0.77%"
"2024- 03- 11","5,180","5,160","5,240","5,110","0.01K","0.19%"
"2024- 03- 08","5,170","5,100","5,340","5,070","99.82K","1.37%"
"2024- 03- 07","5,100","5,230","5,230","5,020","0.10K","-2.30%"
"2024- 03- 06","5,220","5,110","5,500","4,990","98.37K","2.96%"
"2024- 03- 05","5,070","5,160","5,230","5,020","76.34K","-1.55%"
"2024- 03- 04","5,150","5,070","5,260","5,070","61.35K","2.18%"
"2024- 02- 29","5,040","5,070","5,100","4,975","99.62K","-1.18%"
"2024- 02- 28","5,100","5,160","5,230","5,070","0.01K","-1.35%"
"2024- 02- 27","5,170","5,370","5,370","5,140","66.26K","-2.82%"
"2024- 02- 26","5,320","5,240","5,410","5,240","58.99K","0.00%"
"2024- 02- 23","5,320","5,450","5,500","5,270","48.98K","-0.56%"
"2024- 02- 22","5,350","5,480","5,570","5,330","90.72K","-1.11%"
"2024- 02- 21","5,410","5,400","5,530","5,350","57.18K","1.12%"
"2024- 02- 20","5,350","5,440","5,580","5,230","191.29K","-1.65%"
"2024- 02- 19","5,440","5,500","5,540","5,360","66.70K","-1.09%"
"2024- 02- 16","5,500","5,700","5,700","5,450","86.83K","-2.83%"
"2024- 02- 15","5,660","5,810","5,810","5,490","123.88K","0.71%"
"2024- 02- 14","5,620","5,200","5,630","5,200","149.65K","4.07%"
"2024- 02- 13","5,400","5,340","5,490","5,240","175.26K","4.85%"
"2024- 02- 08","5,150","5,240","5,330","5,120","72.71K","0.78%"
"2024- 02- 07","5,110","5,170","5,220","5,060","52.89K","-1.92%"
"2024- 02- 06","5,210","5,030","5,290","4,875","118.08K","3.58%"
"2024- 02- 05","5,030","5,340","5,340","5,000","94.24K","-4.01%"
"2024- 02- 04","5,240","5,240","5,240","5,240","","0.00%"
"2024- 02- 02","5,240","5,080","5,390","5,080","75.84K","3.15%"
"2024- 02- 01","5,080","5,060","5,150","4,980","84.87K","0.20%"
"2024- 01- 31","5,070","5,260","5,350","5,060","76.63K","-4.88%"
"2024- 01- 30","5,330","5,410","5,510","5,200","0.00K","-1.48%"
"2024- 01- 29","5,410","5,690","5,720","5,320","200.92K","-4.92%"
"2024- 01- 28","5,690","5,690","5,690","5,690","","0.00%"
"2024- 01- 26","5,690","5,840","6,250","5,620","413.21K","3.83%"
"2024- 01- 25","5,480","5,550","5,590","5,370","180.63K","-2.49%"
"2024- 01- 24","5,620","5,710","5,810","5,410","187.12K","-0.35%"
"2024- 01- 23","5,640","5,970","5,970","5,640","1.35K","-5.37%"
"2024- 01- 22","5,960","6,220","6,270","5,850","359.03K","-3.25%"
"2024- 01- 21","6,160","6,160","6,160","6,160","","0.00%"
"2024- 01- 19","6,160","6,050","6,290","5,860","727.00K","3.53%"
"2024- 01- 18","5,950","5,700","6,070","5,600","0.10K","2.59%"
"2024- 01- 17","5,800","5,880","5,880","5,570","1.42K","-2.03%"
"2024- 01- 16","5,920","5,090","6,180","5,040","2.46K","16.31%"
"2024- 01- 15","5,090","5,200","5,280","5,040","88.61K","-2.68%"
"2024- 01- 14","5,230","5,230","5,230","5,230","","0.00%"
"2024- 01- 12","5,230","5,200","5,500","5,160","237.76K","0.38%"
"2024- 01- 11","5,210","5,380","5,420","5,200","129.38K","-3.16%"
"2024- 01- 10","5,380","5,220","5,390","5,090","0.02K","3.66%"
"2024- 01- 09","5,190","5,180","5,270","5,100","101.36K","0.19%"
"2024- 01- 08","5,180","5,130","5,210","5,000","151.54K","1.17%"
