"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,955","2,825","2,960","2,815","659.34K","3.68%"
"2024- 05- 07","2,850","2,785","2,855","2,785","233.79K","2.89%"
"2024- 05- 03","2,770","2,780","2,795","2,750","167.01K","0.00%"
"2024- 05- 02","2,770","2,800","2,800","2,755","124.60K","-0.72%"
"2024- 04- 30","2,790","2,785","2,810","2,780","253.97K","-0.18%"
"2024- 04- 29","2,795","2,765","2,810","2,760","154.48K","1.08%"
"2024- 04- 26","2,765","2,760","2,815","2,735","122.56K","0.36%"
"2024- 04- 25","2,755","2,800","2,825","2,755","132.19K","-1.61%"
"2024- 04- 24","2,800","2,750","2,820","2,745","190.59K","2.56%"
"2024- 04- 23","2,730","2,750","2,830","2,695","642.20K","-1.44%"
"2024- 04- 22","2,770","2,730","2,780","2,730","79.66K","1.65%"
"2024- 04- 19","2,725","2,815","2,830","2,710","212.05K","-3.20%"
"2024- 04- 18","2,815","2,775","2,840","2,775","81.46K","1.26%"
"2024- 04- 17","2,780","2,735","2,830","2,725","163.97K","1.09%"
"2024- 04- 16","2,750","2,735","2,795","2,700","240.32K","-0.90%"
"2024- 04- 15","2,775","2,790","2,815","2,735","277.98K","-2.29%"
"2024- 04- 12","2,840","2,835","2,890","2,820","172.95K","0.53%"
"2024- 04- 11","2,825","2,795","2,840","2,790","124.53K","-0.35%"
"2024- 04- 09","2,835","2,935","2,935","2,820","304.21K","-2.24%"
"2024- 04- 08","2,900","2,980","2,980","2,900","306.51K","-2.52%"
"2024- 04- 05","2,975","2,920","2,990","2,900","316.12K","0.51%"
"2024- 04- 04","2,960","3,005","3,040","2,955","371.01K","-1.99%"
"2024- 04- 03","3,020","2,980","3,075","2,970","414.82K","0.17%"
"2024- 04- 02","3,015","3,020","3,040","2,970","403.95K","-0.82%"
"2024- 04- 01","3,040","3,005","3,050","2,970","401.52K","2.18%"
"2024- 03- 29","2,975","2,970","3,020","2,960","375.73K","-0.34%"
"2024- 03- 28","2,985","3,070","3,070","2,970","584.35K","-1.00%"
"2024- 03- 27","3,015","2,935","3,015","2,920","379.55K","2.73%"
"2024- 03- 26","2,935","2,910","2,950","2,865","289.20K","0.86%"
"2024- 03- 25","2,910","2,910","2,950","2,900","358.32K","0.00%"
"2024- 03- 22","2,910","2,905","2,940","2,880","240.37K","0.34%"
"2024- 03- 21","2,900","2,920","2,950","2,885","295.96K","-0.34%"
"2024- 03- 20","2,910","2,900","2,950","2,895","359.71K","-0.68%"
"2024- 03- 19","2,930","2,880","3,045","2,855","819.67K","1.21%"
"2024- 03- 18","2,895","2,860","2,910","2,845","192.31K","0.35%"
"2024- 03- 17","2,885","2,885","2,885","2,885","","-0.69%"
"2024- 03- 15","2,905","2,860","2,925","2,785","16.76K","3.01%"
"2024- 03- 14","2,820","2,870","2,870","2,805","0.07K","-1.74%"
"2024- 03- 13","2,870","2,840","2,905","2,815","0.00K","2.14%"
"2024- 03- 12","2,810","2,900","2,900","2,800","392.19K","-2.43%"
"2024- 03- 11","2,880","2,840","2,895","2,820","0.05K","1.05%"
"2024- 03- 08","2,850","2,855","2,905","2,820","285.48K","-0.18%"
"2024- 03- 07","2,855","2,975","2,995","2,815","575.13K","-4.19%"
"2024- 03- 06","2,980","2,955","3,055","2,950","386.18K","-0.67%"
"2024- 03- 05","3,000","3,080","3,100","2,985","534.89K","-2.91%"
"2024- 03- 04","3,090","3,085","3,145","3,000","787.57K","0.32%"
"2024- 03- 03","3,080","3,080","3,080","3,080","","0.00%"
"2024- 02- 29","3,080","2,940","3,165","2,900","2.33M","4.41%"
"2024- 02- 28","2,950","2,970","3,010","2,940","0.00K","-0.34%"
"2024- 02- 27","2,960","2,970","2,990","2,880","477.20K","-1.00%"
"2024- 02- 26","2,990","3,005","3,060","2,950","349.51K","-0.66%"
"2024- 02- 25","3,010","3,010","3,010","3,010","","0.00%"
"2024- 02- 23","3,010","3,080","3,085","2,925","781.89K","-2.11%"
"2024- 02- 22","3,075","2,995","3,165","2,975","1.12M","2.50%"
"2024- 02- 21","3,000","3,190","3,285","2,980","1.08K","-2.44%"
"2024- 02- 20","3,075","3,140","3,150","3,050","653.40K","-2.07%"
"2024- 02- 19","3,140","3,080","3,190","3,010","1.70M","2.95%"
"2024- 02- 16","3,050","3,000","3,095","2,960","866.24K","2.01%"
"2024- 02- 15","2,990","3,075","3,075","2,945","0.16K","-1.32%"
"2024- 02- 14","3,030","2,895","3,040","2,870","742.05K","2.36%"
"2024- 02- 13","2,960","2,840","2,960","2,840","0.35K","4.78%"
"2024- 02- 08","2,825","2,835","2,915","2,785","1.09M","-0.18%"
"2024- 02- 07","2,830","2,895","2,900","2,790","768.37K","-2.58%"
"2024- 02- 06","2,905","2,895","3,000","2,850","1.49M","2.47%"
"2024- 02- 05","2,835","2,935","2,935","2,835","11.83K","-2.41%"
"2024- 02- 04","2,905","2,905","2,905","2,905","","0.00%"
