"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,200","6,190","6,200","6,190","0.01K","0.16%"
"2024- 05- 07","6,190","6,150","6,190","6,150","0.01K","4.38%"
"2024- 05- 03","5,930","6,180","6,180","6,000","0.48K","-1.00%"
"2024- 05- 02","5,990","6,200","6,200","5,990","0.03K","-2.76%"
"2024- 04- 30","6,160","6,150","6,160","5,810","0.59K","-0.16%"
"2024- 04- 29","6,170","6,170","6,170","6,170","0.00K","2.15%"
"2024- 04- 26","6,040","6,060","6,060","6,040","0.01K","-0.33%"
"2024- 04- 25","6,060","6,080","6,080","5,830","0.39K","-0.49%"
"2024- 04- 24","6,090","6,190","6,190","5,850","0.13K","-0.98%"
"2024- 04- 23","6,150","6,200","6,200","5,900","0.10K","-0.65%"
"2024- 04- 22","6,190","5,980","6,190","5,990","0.13K","3.34%"
"2024- 04- 19","5,990","6,380","6,380","5,990","0.00K","0.34%"
"2024- 04- 18","5,970","5,980","5,980","5,660","0.01K","-0.17%"
"2024- 04- 17","5,980","5,990","5,990","5,980","0.00K","0.50%"
"2024- 04- 16","5,950","5,960","5,960","5,660","1.70K","0.68%"
"2024- 04- 15","5,910","5,980","5,980","5,620","0.04K","0.68%"
"2024- 04- 12","5,870","5,720","5,930","5,710","5.81K","-0.68%"
"2024- 04- 11","5,910","5,710","5,910","5,710","0.04K","0.68%"
"2024- 04- 09","5,870","5,990","5,990","5,600","0.45K","-2.17%"
"2024- 04- 08","6,000","6,000","6,000","6,000","0.00K","0.17%"
"2024- 04- 05","5,990","5,990","5,990","5,600","2.65K","0.17%"
"2024- 04- 04","5,980","6,190","6,190","5,800","1.31K","-2.92%"
"2024- 04- 03","6,160","6,180","6,180","5,800","0.01K","2.67%"
"2024- 04- 02","6,000","6,190","6,190","6,000","0.01K","0.17%"
"2024- 04- 01","5,990","6,000","6,190","5,700","0.32K","-0.17%"
"2024- 03- 29","6,000","6,190","6,190","5,650","0.37K","-2.28%"
