"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,958","1,951","1,960","1,931","30.97K","1.03%"
"2024- 05- 07","1,938","1,937","1,948","1,937","56.29K","0.26%"
"2024- 05- 03","1,933","1,917","1,933","1,917","22.88K","0.52%"
"2024- 05- 02","1,923","1,930","1,930","1,916","12.64K","0.05%"
"2024- 04- 30","1,922","1,912","1,923","1,902","29.09K","0.52%"
"2024- 04- 29","1,912","1,908","1,926","1,899","16.91K","0.21%"
"2024- 04- 26","1,908","1,905","1,929","1,892","24.23K","0.16%"
"2024- 04- 25","1,905","1,956","1,956","1,866","40.51K","0.79%"
"2024- 04- 24","1,890","1,960","1,960","1,884","46.72K","0.91%"
"2024- 04- 23","1,873","1,960","1,964","1,850","141.63K","-3.00%"
"2024- 04- 22","1,931","1,950","1,960","1,924","29.42K","0.26%"
"2024- 04- 19","1,926","2,000","2,000","1,905","105.11K","-3.46%"
"2024- 04- 18","1,995","1,965","2,030","1,965","50.61K","0.10%"
"2024- 04- 17","1,993","1,981","2,010","1,981","18.23K","0.61%"
"2024- 04- 16","1,981","1,991","2,035","1,951","64.91K","-2.89%"
"2024- 04- 15","2,040","2,050","2,050","1,975","85.42K","0.00%"
"2024- 04- 12","2,040","2,010","2,050","2,000","30.33K","0.00%"
"2024- 04- 11","2,040","2,035","2,070","2,005","28.12K","0.25%"
"2024- 04- 09","2,035","2,035","2,045","2,000","57.13K","0.00%"
"2024- 04- 08","2,035","2,100","2,110","2,000","113.83K","-3.10%"
"2024- 04- 05","2,100","2,100","2,105","2,065","38.78K","0.00%"
"2024- 04- 04","2,100","2,100","2,105","2,070","38.10K","-0.24%"
"2024- 04- 03","2,105","2,090","2,135","2,080","64.64K","-1.17%"
"2024- 04- 02","2,130","2,155","2,155","2,095","64.68K","-1.16%"
"2024- 04- 01","2,155","2,100","2,160","2,085","58.67K","2.62%"
"2024- 03- 29","2,100","2,120","2,135","2,060","76.35K","-0.94%"
"2024- 03- 28","2,120","2,155","2,155","2,085","69.28K","0.00%"
"2024- 03- 27","2,120","2,135","2,150","2,100","99.13K","-0.70%"
"2024- 03- 26","2,135","2,165","2,185","2,115","161.34K","-2.06%"
"2024- 03- 25","2,180","2,220","2,220","2,160","125.60K","-1.80%"
"2024- 03- 22","2,220","2,215","2,225","2,165","52.76K","1.37%"
"2024- 03- 21","2,190","2,200","2,230","2,190","60.65K","0.00%"
"2024- 03- 20","2,190","2,230","2,250","2,185","108.42K","-1.79%"
"2024- 03- 19","2,230","2,265","2,270","2,210","133.91K","-2.19%"
"2024- 03- 18","2,280","2,240","2,375","2,225","175.13K","1.33%"
"2024- 03- 15","2,250","2,240","2,285","2,230","17.49K","-1.53%"
"2024- 03- 14","2,285","2,340","2,340","2,255","188.73K","-2.56%"
"2024- 03- 13","2,345","2,330","2,345","2,300","78.49K","0.64%"
"2024- 03- 12","2,330","2,295","2,335","2,280","79.88K","1.53%"
"2024- 03- 11","2,295","2,380","2,385","2,290","238.91K","-3.57%"
"2024- 03- 10","2,380","2,380","2,380","2,380","","0.00%"
"2024- 03- 08","2,380","2,300","2,385","2,290","306.49K","3.03%"
"2024- 03- 07","2,310","2,330","2,355","2,255","0.02K","-0.86%"
"2024- 03- 06","2,330","2,300","2,395","2,240","147.90K","0.00%"
"2024- 03- 05","2,330","2,390","2,435","2,305","210.07K","-1.89%"
"2024- 03- 04","2,375","2,470","2,485","2,365","0.10K","-3.06%"
"2024- 02- 29","2,450","2,350","2,550","2,300","676.35K","4.26%"
"2024- 02- 28","2,350","2,405","2,495","2,325","418.47K","-3.69%"
"2024- 02- 27","2,440","2,495","2,520","2,360","0.01K","-2.20%"
"2024- 02- 26","2,495","2,650","2,650","2,465","0.50K","-7.25%"
"2024- 02- 25","2,690","2,690","2,690","2,690","","0.00%"
"2024- 02- 23","2,690","2,690","2,810","2,455","4.17M","-17.23%"
"2024- 02- 22","3,250","3,025","3,285","3,025","1.21K","5.35%"
"2024- 02- 21","3,085","3,135","3,170","3,030","0.00K","-3.14%"
"2024- 02- 20","3,185","3,300","3,300","3,065","410.61K","0.00%"
"2024- 02- 19","3,185","3,150","3,265","3,130","0.00K","2.74%"
"2024- 02- 16","3,100","3,025","3,110","3,005","183.13K","1.97%"
"2024- 02- 15","3,040","3,135","3,135","2,975","0.15K","-2.72%"
"2024- 02- 14","3,125","3,130","3,295","3,065","330.97K","-1.73%"
"2024- 02- 13","3,180","3,010","3,215","3,010","0.00K","6.18%"
"2024- 02- 12","2,995","2,995","2,995","2,995","","0.00%"
"2024- 02- 08","2,995","2,945","3,045","2,915","157.56K","1.70%"
"2024- 02- 07","2,945","3,020","3,055","2,900","0.09K","-2.00%"
"2024- 02- 06","3,005","3,100","3,100","2,935","309.40K","-3.38%"
"2024- 02- 05","3,110","2,960","3,225","2,880","1.00M","5.25%"
"2024- 02- 02","2,955","2,915","3,000","2,870","467.09K","1.90%"
"2024- 02- 01","2,900","2,910","3,000","2,840","431.26K","-2.85%"
"2024- 01- 31","2,985","3,255","3,255","2,855","0.02K","-11.29%"
"2024- 01- 30","3,365","3,395","3,440","3,130","0.00K","-1.32%"
"2024- 01- 29","3,410","3,500","3,785","3,290","0.42K","9.12%"
"2024- 01- 28","3,125","3,125","3,125","3,125","","0.00%"
"2024- 01- 26","3,125","2,930","3,155","2,845","1.34M","6.84%"
"2024- 01- 25","2,925","2,860","2,950","2,715","5.30K","2.81%"
"2024- 01- 24","2,845","3,230","3,615","2,845","6.01M","-8.81%"
"2024- 01- 23","3,120","3,105","3,185","3,080","134.51K","0.65%"
"2024- 01- 22","3,100","3,100","3,150","3,015","316.27K","0.81%"
"2024- 01- 19","3,075","3,030","3,150","3,000","145.16K","2.50%"
"2024- 01- 18","3,000","2,850","3,000","2,850","67.87K","3.81%"
"2024- 01- 17","2,890","2,995","3,005","2,800","93.04K","-3.02%"
"2024- 01- 16","2,980","3,040","3,075","2,950","127.92K","-2.13%"
"2024- 01- 15","3,045","3,080","3,165","3,005","143.03K","-3.18%"
"2024- 01- 12","3,145","3,200","3,200","3,010","383.63K","-0.47%"
"2024- 01- 11","3,160","3,105","3,195","2,975","349.83K","4.29%"
"2024- 01- 10","3,030","3,050","3,070","2,965","151.44K","1.00%"
"2024- 01- 09","3,000","2,910","3,040","2,900","191.35K","4.71%"
"2024- 01- 08","2,865","2,965","3,070","2,825","370.82K","-3.37%"
"2024- 01- 05","2,965","2,980","3,030","2,875","150.54K","-0.84%"
"2024- 01- 04","2,990","3,060","3,060","2,910","143.72K","-0.33%"
"2024- 01- 03","3,000","3,020","3,075","2,960","145.42K","-1.48%"
"2024- 01- 02","3,045","2,845","3,045","2,830","313.74K","7.03%"
