"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","18,270","17,590","18,360","17,550","64.61K","3.81%"
"2024- 05- 07","17,600","18,690","19,030","17,010","170.49K","-5.22%"
"2024- 05- 03","18,570","18,260","18,680","17,900","36.45K","1.70%"
"2024- 05- 02","18,260","18,190","18,370","17,880","19.63K","0.38%"
"2024- 04- 30","18,190","18,500","18,580","18,000","17.29K","-1.89%"
"2024- 04- 29","18,540","18,080","18,660","17,890","20.82K","2.54%"
"2024- 04- 26","18,080","18,050","18,190","17,900","12.68K","0.17%"
"2024- 04- 25","18,050","18,580","18,580","18,000","23.23K","-2.85%"
"2024- 04- 24","18,580","17,990","18,590","17,880","27.18K","3.28%"
"2024- 04- 23","17,990","17,700","18,310","17,700","28.40K","1.64%"
"2024- 04- 22","17,700","17,020","17,770","17,000","29.33K","4.12%"
"2024- 04- 19","17,000","17,510","17,550","16,880","21.41K","-3.85%"
"2024- 04- 18","17,680","16,810","17,850","16,700","39.26K","5.18%"
"2024- 04- 17","16,810","16,760","17,090","16,740","12.96K","0.36%"
"2024- 04- 16","16,750","17,660","17,660","16,670","31.18K","-4.18%"
"2024- 04- 15","17,480","17,520","17,800","17,440","16.19K","-2.18%"
"2024- 04- 12","17,870","18,170","18,330","17,740","28.63K","-1.60%"
"2024- 04- 11","18,160","17,750","18,280","17,750","22.15K","0.67%"
"2024- 04- 09","18,040","17,920","18,670","17,680","70.99K","2.44%"
"2024- 04- 08","17,610","17,850","17,850","16,260","43.26K","0.06%"
"2024- 04- 05","17,600","17,830","18,120","17,600","30.51K","-2.49%"
"2024- 04- 04","18,050","17,870","18,190","17,700","27.86K","2.21%"
"2024- 04- 03","17,660","17,740","17,890","17,510","23.30K","-1.34%"
"2024- 04- 02","17,900","18,350","18,350","17,710","29.42K","-2.35%"
"2024- 04- 01","18,330","17,910","18,330","17,840","35.38K","2.35%"
"2024- 03- 29","17,910","17,650","18,080","17,650","17.48K","0.96%"
"2024- 03- 28","17,740","17,520","17,920","17,520","42.91K","-0.06%"
"2024- 03- 27","17,750","18,250","18,250","17,610","54.59K","-2.74%"
"2024- 03- 26","18,250","18,100","18,450","18,040","23.05K","-0.11%"
"2024- 03- 25","18,270","18,760","18,760","18,240","29.53K","-1.83%"
"2024- 03- 22","18,610","18,930","18,930","18,400","22.37K","-1.06%"
"2024- 03- 21","18,810","18,460","19,000","18,460","34.32K","2.06%"
"2024- 03- 20","18,430","19,320","19,380","18,340","120.38K","-4.61%"
"2024- 03- 19","19,320","19,750","19,780","19,010","75.10K","-1.83%"
"2024- 03- 18","19,680","19,420","19,740","19,220","30.33K","0.66%"
"2024- 03- 15","19,550","20,500","20,700","19,270","101.62K","-4.40%"
"2024- 03- 14","20,450","21,350","21,850","20,450","91.99K","-1.21%"
"2024- 03- 13","20,700","20,600","21,550","20,400","143.01K","2.48%"
"2024- 03- 12","20,200","20,050","21,250","19,800","69.06K","1.00%"
"2024- 03- 11","20,000","19,750","20,400","19,730","35.04K","-1.23%"
"2024- 03- 08","20,250","19,750","20,450","19,010","66.54K","4.11%"
"2024- 03- 07","19,450","21,150","21,150","19,420","173.10K","-6.49%"
"2024- 03- 06","20,800","21,550","22,250","20,750","94.76K","-3.48%"
"2024- 03- 05","21,550","21,750","23,850","21,100","265.28K","0.00%"
"2024- 03- 04","21,550","22,350","22,350","21,350","68.91K","-2.49%"
"2024- 02- 29","22,100","22,900","23,100","21,700","98.14K","-1.34%"
"2024- 02- 28","22,400","21,350","22,500","20,800","179.41K","5.16%"
"2024- 02- 27","21,300","20,350","21,550","20,100","90.38K","4.93%"
"2024- 02- 26","20,300","20,500","20,700","20,000","33.99K","-0.98%"
"2024- 02- 23","20,500","20,400","20,800","20,050","92.14K","0.00%"
"2024- 02- 22","20,500","20,700","20,900","20,100","111.08K","-0.97%"
"2024- 02- 21","20,700","21,900","21,900","20,550","111.95K","-5.48%"
"2024- 02- 20","21,900","22,500","23,400","21,600","119.72K","-0.45%"
"2024- 02- 19","22,000","22,450","23,300","21,700","139.10K","-0.90%"
"2024- 02- 18","22,200","22,200","22,200","22,200","","0.00%"
"2024- 02- 16","22,200","23,450","23,700","22,150","116.61K","-2.20%"
"2024- 02- 15","22,700","20,050","23,550","19,670","480.36K","14.53%"
"2024- 02- 14","19,820","18,980","20,050","18,710","106.95K","3.12%"
"2024- 02- 13","19,220","20,000","20,050","19,120","116.15K","-2.68%"
"2024- 02- 12","19,750","19,750","19,750","19,750","","0.00%"
"2024- 02- 08","19,750","20,200","20,200","19,330","92.22K","-1.99%"
"2024- 02- 07","20,150","19,940","20,400","19,800","77.38K","2.23%"
"2024- 02- 06","19,710","20,450","20,450","18,830","183.03K","-4.09%"
