"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,228","1,218","1,233","1,218","137.44K","0.41%"
"2024- 05- 07","1,223","1,214","1,225","1,213","148.76K","0.82%"
"2024- 05- 03","1,213","1,219","1,235","1,208","182.71K","-0.49%"
"2024- 05- 02","1,219","1,230","1,240","1,214","225.01K","-1.30%"
"2024- 04- 30","1,235","1,235","1,244","1,220","130.22K","0.00%"
"2024- 04- 29","1,235","1,195","1,237","1,195","434.50K","3.43%"
"2024- 04- 26","1,194","1,199","1,213","1,192","125.07K","-0.50%"
"2024- 04- 25","1,200","1,200","1,207","1,192","99.51K","-0.08%"
"2024- 04- 24","1,201","1,195","1,208","1,191","190.18K","0.25%"
"2024- 04- 23","1,198","1,223","1,223","1,190","205.47K","-0.58%"
"2024- 04- 22","1,205","1,200","1,225","1,199","237.12K","0.08%"
"2024- 04- 19","1,204","1,237","1,237","1,195","207.34K","-2.19%"
"2024- 04- 18","1,231","1,186","1,242","1,178","366.42K","3.79%"
"2024- 04- 17","1,186","1,171","1,189","1,169","187.36K","1.54%"
"2024- 04- 16","1,168","1,209","1,209","1,162","353.07K","-2.67%"
"2024- 04- 15","1,200","1,223","1,224","1,200","286.00K","-2.20%"
"2024- 04- 12","1,227","1,210","1,234","1,208","192.78K","0.66%"
"2024- 04- 11","1,219","1,224","1,224","1,201","216.52K","0.16%"
"2024- 04- 09","1,217","1,210","1,232","1,206","216.76K","-0.57%"
"2024- 04- 08","1,224","1,270","1,270","1,223","244.97K","-1.92%"
"2024- 04- 05","1,248","1,270","1,277","1,238","428.72K","-1.42%"
"2024- 04- 04","1,266","1,313","1,325","1,265","548.31K","-0.71%"
"2024- 04- 03","1,275","1,294","1,295","1,252","368.76K","-1.77%"
"2024- 04- 02","1,298","1,360","1,363","1,291","756.09K","-4.49%"
"2024- 04- 01","1,359","1,298","1,444","1,297","2.21M","4.46%"
"2024- 03- 29","1,301","1,325","1,330","1,282","665.70K","-1.81%"
"2024- 03- 28","1,325","1,353","1,386","1,317","826.87K","-3.78%"
"2024- 03- 27","1,377","1,496","1,496","1,361","1.98M","-6.39%"
"2024- 03- 26","1,471","1,556","1,598","1,468","2.26M","-4.04%"
"2024- 03- 25","1,533","1,561","1,629","1,460","5.51M","-2.29%"
"2024- 03- 22","1,569","1,514","1,742","1,432","21.78M","1.88%"
"2024- 03- 21","1,540","1,500","1,753","1,435","24.12M","-1.60%"
"2024- 03- 20","1,565","1,216","1,565","1,206","23.16M","29.98%"
"2024- 03- 19","1,204","1,204","1,214","1,199","110.15K","0.00%"
"2024- 03- 18","1,204","1,202","1,206","1,197","111.54K","0.08%"
"2024- 03- 15","1,203","1,202","1,214","1,197","8.33K","-0.25%"
"2024- 03- 14","1,206","1,210","1,212","1,195","221.23K","-0.17%"
"2024- 03- 13","1,208","1,204","1,215","1,199","139.80K","0.33%"
"2024- 03- 12","1,204","1,220","1,240","1,199","157.71K","-1.31%"
"2024- 03- 11","1,220","1,207","1,229","1,200","271.04K","1.41%"
"2024- 03- 08","1,203","1,200","1,212","1,198","225.55K","0.25%"
"2024- 03- 07","1,200","1,228","1,228","1,197","292.15K","-1.64%"
"2024- 03- 06","1,220","1,236","1,249","1,217","312.56K","-1.93%"
"2024- 03- 05","1,244","1,260","1,265","1,240","282.44K","-0.72%"
"2024- 03- 04","1,253","1,262","1,272","1,253","168.63K","-0.56%"
"2024- 02- 29","1,260","1,269","1,278","1,255","154.65K","-0.71%"
"2024- 02- 28","1,269","1,269","1,273","1,257","139.90K","0.16%"
"2024- 02- 27","1,267","1,294","1,294","1,260","0.50K","-2.16%"
"2024- 02- 26","1,295","1,280","1,307","1,280","177.38K","0.15%"
"2024- 02- 23","1,293","1,300","1,309","1,278","310.86K","-0.54%"
"2024- 02- 22","1,300","1,317","1,324","1,300","231.38K","-1.89%"
"2024- 02- 21","1,325","1,369","1,369","1,321","319.15K","-3.21%"
"2024- 02- 20","1,369","1,383","1,391","1,337","286.54K","-0.80%"
"2024- 02- 19","1,380","1,340","1,392","1,315","753.50K","3.84%"
"2024- 02- 16","1,329","1,318","1,343","1,314","287.53K","0.83%"
"2024- 02- 15","1,318","1,322","1,333","1,309","242.50K","0.08%"
"2024- 02- 14","1,317","1,311","1,336","1,301","168.56K","-0.23%"
"2024- 02- 13","1,320","1,300","1,323","1,294","0.91K","2.01%"
"2024- 02- 08","1,294","1,292","1,307","1,289","323.75K","0.23%"
"2024- 02- 07","1,291","1,312","1,312","1,288","279.56K","-1.53%"
"2024- 02- 06","1,311","1,285","1,319","1,281","293.73K","1.71%"
"2024- 02- 05","1,289","1,313","1,313","1,285","256.65K","-0.54%"
"2024- 02- 02","1,296","1,279","1,315","1,279","344.34K","1.41%"
"2024- 02- 01","1,278","1,255","1,286","1,255","376.23K","-0.31%"
"2024- 01- 31","1,282","1,304","1,323","1,276","0.04K","-1.69%"
"2024- 01- 30","1,304","1,295","1,327","1,288","375.24K","-0.46%"
"2024- 01- 29","1,310","1,267","1,335","1,267","0.24K","1.63%"
"2024- 01- 26","1,289","1,268","1,303","1,268","447.61K","0.55%"
"2024- 01- 25","1,282","1,283","1,333","1,277","702.50K","-1.46%"
"2024- 01- 24","1,301","1,323","1,331","1,300","506.37K","-3.63%"
"2024- 01- 23","1,350","1,339","1,375","1,316","0.00K","0.67%"
"2024- 01- 22","1,341","1,396","1,410","1,341","661.00K","-4.35%"
"2024- 01- 19","1,402","1,410","1,433","1,400","548.75K","-1.48%"
"2024- 01- 18","1,423","1,406","1,443","1,405","547.24K","-1.25%"
"2024- 01- 17","1,441","1,483","1,500","1,433","839.73K","-4.19%"
"2024- 01- 16","1,504","1,561","1,573","1,493","615.19K","-3.65%"
"2024- 01- 15","1,561","1,578","1,589","1,525","562.68K","-1.01%"
"2024- 01- 14","1,577","1,577","1,577","1,577","","0.00%"
"2024- 01- 12","1,577","1,645","1,645","1,577","519.98K","-3.78%"
"2024- 01- 11","1,639","1,657","1,690","1,634","0.00K","-0.97%"
"2024- 01- 10","1,655","1,730","1,730","1,655","0.00K","-2.42%"
"2024- 01- 09","1,696","1,698","1,727","1,679","900.67K","2.23%"
"2024- 01- 08","1,659","1,640","1,674","1,626","573.58K","2.22%"
"2024- 01- 07","1,623","1,623","1,623","1,623","","0.00%"
"2024- 01- 05","1,623","1,613","1,680","1,613","663.00K","0.37%"
"2024- 01- 04","1,617","1,661","1,663","1,606","0.00K","-2.41%"
"2024- 01- 03","1,657","1,671","1,684","1,648","0.00K","-1.19%"
"2024- 01- 02","1,677","1,697","1,745","1,669","633.99K","-0.30%"
