"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,340","6,360","6,360","6,300","7.86K","0.32%"
"2024- 05- 07","6,320","6,340","6,360","6,290","10.38K","-0.16%"
"2024- 05- 03","6,330","6,360","6,360","6,290","27.60K","0.16%"
"2024- 05- 02","6,320","6,370","6,400","6,290","18.50K","-0.78%"
"2024- 04- 30","6,370","6,370","6,390","6,340","10.47K","0.16%"
"2024- 04- 29","6,360","6,380","6,380","6,310","14.80K","-0.31%"
"2024- 04- 26","6,380","6,370","6,390","6,310","17.38K","0.16%"
"2024- 04- 25","6,370","6,360","6,390","6,340","15.11K","0.16%"
"2024- 04- 24","6,360","6,320","6,370","6,320","10.55K","0.32%"
"2024- 04- 23","6,340","6,340","6,370","6,310","12.53K","0.16%"
"2024- 04- 22","6,330","6,260","6,340","6,250","23.08K","1.12%"
"2024- 04- 19","6,260","6,250","6,270","6,160","28.81K","0.16%"
"2024- 04- 18","6,250","6,140","6,260","6,140","27.12K","1.46%"
"2024- 04- 17","6,160","6,200","6,200","6,150","11.84K","0.00%"
"2024- 04- 16","6,160","6,190","6,200","6,120","28.04K","-0.48%"
"2024- 04- 15","6,190","6,250","6,280","6,140","49.47K","-1.59%"
"2024- 04- 12","6,290","6,290","6,310","6,220","21.94K","-0.16%"
"2024- 04- 11","6,300","6,300","6,320","6,190","34.10K","0.00%"
"2024- 04- 09","6,300","6,330","6,350","6,270","13.96K","0.32%"
"2024- 04- 08","6,280","6,360","6,360","6,280","16.69K","-1.10%"
"2024- 04- 05","6,350","6,360","6,390","6,280","23.35K","-0.16%"
"2024- 04- 04","6,360","6,350","6,420","6,300","23.23K","0.16%"
"2024- 04- 03","6,350","6,390","6,390","6,330","21.89K","-0.63%"
"2024- 04- 02","6,390","6,500","6,510","6,320","75.80K","-1.84%"
"2024- 04- 01","6,510","6,470","6,510","6,450","22.15K","0.31%"
"2024- 03- 29","6,490","6,540","6,540","6,460","31.76K","-0.61%"
"2024- 03- 28","6,530","6,530","6,580","6,500","36.43K","-0.31%"
"2024- 03- 27","6,550","6,600","6,650","6,520","54.60K","-1.06%"
"2024- 03- 26","6,620","6,650","6,660","6,580","61.52K","-0.30%"
"2024- 03- 25","6,640","6,600","6,660","6,550","63.81K","0.61%"
"2024- 03- 22","6,600","6,530","6,630","6,490","88.79K","1.07%"
"2024- 03- 21","6,530","6,510","6,570","6,500","46.52K","0.31%"
"2024- 03- 20","6,510","6,460","6,610","6,440","185.92K","0.77%"
"2024- 03- 19","6,460","6,420","6,480","6,420","35.58K","0.31%"
"2024- 03- 18","6,440","6,410","6,450","6,400","15.89K","0.47%"
"2024- 03- 15","6,410","6,410","6,460","6,380","0.18K","-0.31%"
"2024- 03- 14","6,430","6,430","6,460","6,420","24.31K","0.00%"
"2024- 03- 13","6,430","6,460","6,470","6,410","20.30K","0.00%"
"2024- 03- 12","6,430","6,420","6,490","6,420","22.68K","-0.92%"
"2024- 03- 11","6,490","6,400","6,510","6,400","36.28K","0.93%"
"2024- 03- 08","6,430","6,430","6,450","6,380","16.51K","0.00%"
"2024- 03- 07","6,430","6,410","6,460","6,380","20.25K","0.00%"
"2024- 03- 06","6,430","6,360","6,440","6,360","19.22K","0.31%"
"2024- 03- 05","6,410","6,430","6,490","6,400","16.91K","-0.77%"
"2024- 03- 04","6,460","6,410","6,500","6,400","45.94K","1.10%"
"2024- 02- 29","6,390","6,340","6,400","6,340","29.56K","-0.16%"
"2024- 02- 28","6,400","6,370","6,430","6,350","9.29K","-0.16%"
"2024- 02- 27","6,410","6,430","6,460","6,350","63.64K","-0.31%"
"2024- 02- 26","6,430","6,450","6,460","6,410","22.82K","-0.31%"
"2024- 02- 23","6,450","6,430","6,480","6,430","23.23K","0.00%"
"2024- 02- 22","6,450","6,460","6,470","6,420","39.58K","-0.15%"
"2024- 02- 21","6,460","6,420","6,470","6,410","32.26K","0.16%"
"2024- 02- 20","6,450","6,460","6,470","6,420","28.35K","0.16%"
"2024- 02- 19","6,440","6,430","6,480","6,420","26.38K","0.16%"
"2024- 02- 16","6,430","6,370","6,440","6,370","25.42K","0.94%"
"2024- 02- 15","6,370","6,370","6,390","6,350","21.83K","0.31%"
"2024- 02- 14","6,350","6,300","6,380","6,300","20.21K","0.32%"
"2024- 02- 13","6,330","6,310","6,380","6,300","28.90K","0.00%"
"2024- 02- 08","6,330","6,330","6,350","6,270","16.10K","0.00%"
"2024- 02- 07","6,330","6,290","6,380","6,290","23.16K","0.00%"
"2024- 02- 06","6,330","6,330","6,390","6,310","25.38K","-0.94%"
"2024- 02- 05","6,390","6,400","6,450","6,340","22.61K","0.31%"
"2024- 02- 02","6,370","6,330","6,400","6,320","33.08K","0.47%"
"2024- 02- 01","6,340","6,310","6,370","6,280","29.21K","0.96%"
"2024- 01- 31","6,280","6,260","6,360","6,240","47.70K","0.64%"
"2024- 01- 30","6,240","6,200","6,260","6,200","30.14K","0.65%"
"2024- 01- 29","6,200","6,250","6,290","6,200","45.26K","-0.80%"
"2024- 01- 26","6,250","6,250","6,290","6,240","23.42K","0.00%"
"2024- 01- 25","6,250","6,330","6,330","6,200","45.63K","-0.79%"
"2024- 01- 24","6,300","6,340","6,360","6,260","31.04K","-0.63%"
"2024- 01- 23","6,340","6,350","6,370","6,260","18.30K","0.16%"
"2024- 01- 22","6,330","6,370","6,420","6,260","56.23K","-0.47%"
"2024- 01- 19","6,360","6,380","6,430","6,350","12.49K","0.16%"
"2024- 01- 18","6,350","6,300","6,410","6,300","35.37K","-0.31%"
"2024- 01- 17","6,370","6,520","6,530","6,320","105.74K","-2.45%"
"2024- 01- 16","6,530","6,600","6,610","6,500","64.39K","-1.06%"
"2024- 01- 15","6,600","6,600","6,610","6,540","32.00K","-0.45%"
"2024- 01- 12","6,630","6,640","6,670","6,520","84.54K","-0.45%"
"2024- 01- 11","6,660","6,630","6,690","6,620","39.70K","0.45%"
"2024- 01- 10","6,630","6,650","6,660","6,600","41.63K","-0.30%"
"2024- 01- 09","6,650","6,590","6,680","6,580","68.87K","1.06%"
"2024- 01- 08","6,580","6,580","6,600","6,550","32.37K","0.15%"
"2024- 01- 05","6,570","6,580","6,590","6,540","40.83K","0.31%"
"2024- 01- 04","6,550","6,650","6,650","6,530","94.92K","-1.50%"
"2024- 01- 03","6,650","6,620","6,680","6,610","54.63K","-0.30%"
"2024- 01- 02","6,670","6,600","6,670","6,570","63.76K","0.91%"
