"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","10,860","10,870","10,910","10,780","31.90K","0.00%"
"2024- 05- 03","10,860","10,730","10,870","10,760","47.73K","0.09%"
"2024- 05- 02","10,850","10,820","11,010","10,820","37.62K","-0.46%"
"2024- 04- 30","10,900","11,000","11,090","10,810","60.07K","-0.91%"
"2024- 04- 29","11,000","11,070","11,140","10,650","62.82K","-0.63%"
"2024- 04- 26","11,070","11,090","11,110","11,020","33.62K","-0.09%"
"2024- 04- 25","11,080","11,130","11,250","11,030","39.77K","-0.36%"
"2024- 04- 24","11,120","11,000","11,190","10,940","41.61K","0.72%"
"2024- 04- 23","11,040","11,070","11,250","11,040","41.40K","-0.99%"
"2024- 04- 22","11,150","11,140","11,290","11,050","73.88K","0.09%"
"2024- 04- 19","11,140","11,370","11,600","11,130","198.82K","-0.80%"
"2024- 04- 18","11,230","11,470","11,480","11,160","86.52K","-1.49%"
"2024- 04- 17","11,400","11,240","11,410","11,020","152.15K","1.69%"
"2024- 04- 16","11,210","10,990","11,630","10,930","291.64K","2.75%"
"2024- 04- 15","10,910","11,100","11,100","10,880","62.36K","-1.36%"
"2024- 04- 12","11,060","11,060","11,130","10,960","51.97K","-0.45%"
"2024- 04- 11","11,110","11,370","11,410","10,860","77.47K","-1.07%"
"2024- 04- 09","11,230","11,130","11,300","11,070","61.25K","0.36%"
"2024- 04- 08","11,190","11,300","11,450","11,120","61.13K","-1.24%"
"2024- 04- 05","11,330","11,260","11,550","11,260","71.15K","1.16%"
"2024- 04- 04","11,200","11,460","11,470","11,140","70.49K","-0.53%"
"2024- 04- 03","11,260","11,150","11,570","11,010","205.02K","0.99%"
"2024- 04- 02","11,150","11,190","11,230","10,940","84.29K","-0.36%"
"2024- 04- 01","11,190","10,890","11,250","10,850","173.79K","2.85%"
"2024- 03- 29","10,880","10,740","10,930","10,700","88.95K","1.30%"
"2024- 03- 28","10,740","10,640","10,810","10,540","75.64K","0.94%"
"2024- 03- 27","10,640","10,560","10,650","10,520","24.40K","0.76%"
"2024- 03- 26","10,560","10,660","10,700","10,540","33.11K","-0.94%"
"2024- 03- 25","10,660","10,500","10,710","10,500","45.47K","1.52%"
"2024- 03- 22","10,500","10,520","10,590","10,490","41.38K","-0.28%"
"2024- 03- 21","10,530","10,540","10,570","10,400","69.29K","-0.09%"
"2024- 03- 20","10,540","10,650","10,650","10,510","32.77K","-1.03%"
"2024- 03- 19","10,650","10,470","10,670","10,470","51.76K","1.14%"
"2024- 03- 18","10,530","10,850","10,880","10,470","126.08K","-1.68%"
"2024- 03- 17","10,710","10,850","10,850","10,660","21.30K","-1.29%"
"2024- 03- 15","10,850","10,680","10,910","10,550","118.67K","2.36%"
"2024- 03- 14","10,600","10,640","10,680","10,470","45.41K","0.19%"
"2024- 03- 13","10,580","10,540","10,640","10,470","51.58K","0.09%"
"2024- 03- 12","10,570","10,530","10,630","10,460","65.51K","0.28%"
"2024- 03- 11","10,540","10,600","10,750","10,540","0.00K","-0.57%"
"2024- 03- 08","10,600","10,650","10,710","10,540","77.42K","-0.93%"
"2024- 03- 07","10,700","10,780","10,930","10,660","0.00K","-0.47%"
"2024- 03- 06","10,750","10,760","11,000","10,690","109.14K","-0.37%"
"2024- 03- 05","10,790","10,470","10,810","10,470","0.00K","2.47%"
"2024- 03- 04","10,530","10,480","10,620","10,470","91.77K","0.29%"
"2024- 02- 29","10,500","10,680","10,680","10,430","61.87K","-1.04%"
"2024- 02- 28","10,610","10,690","10,710","10,550","52.71K","-0.47%"
"2024- 02- 27","10,660","10,650","10,730","10,500","0.00K","0.85%"
"2024- 02- 26","10,570","10,550","10,640","10,480","55.58K","0.19%"
"2024- 02- 23","10,550","10,550","10,590","10,460","46.68K","0.00%"
"2024- 02- 22","10,550","10,430","10,640","10,430","47.39K","1.15%"
"2024- 02- 21","10,430","10,600","10,600","10,430","58.12K","-1.23%"
"2024- 02- 20","10,560","10,500","10,620","10,440","70.19K","0.57%"
"2024- 02- 19","10,500","10,480","10,550","10,420","72.69K","0.77%"
"2024- 02- 16","10,420","10,380","10,430","10,330","35.16K","0.39%"
"2024- 02- 15","10,380","10,310","10,400","10,270","38.14K","0.39%"
