"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,200","6,070","6,230","6,100","27.66K","0.16%"
"2024- 05- 07","6,190","6,280","6,280","6,180","12.14K","0.16%"
"2024- 05- 03","6,180","6,210","6,270","6,120","23.36K","0.49%"
"2024- 05- 02","6,150","6,190","6,220","6,050","49.01K","-0.65%"
"2024- 04- 30","6,190","6,300","6,440","6,160","186.30K","-5.35%"
"2024- 04- 29","6,540","6,640","6,700","6,500","41.09K","-1.51%"
"2024- 04- 26","6,640","6,640","6,680","6,560","11.99K","0.00%"
"2024- 04- 25","6,640","6,520","6,700","6,520","13.31K","0.76%"
"2024- 04- 24","6,590","6,630","6,680","6,580","10.96K","0.00%"
"2024- 04- 23","6,590","6,580","6,730","6,560","10.14K","0.15%"
"2024- 04- 22","6,580","6,510","6,680","6,510","15.06K","0.15%"
"2024- 04- 19","6,570","6,610","6,610","6,500","11.33K","-0.61%"
"2024- 04- 18","6,610","6,530","6,640","6,530","12.52K","1.23%"
"2024- 04- 17","6,530","6,490","6,560","6,450","15.37K","0.62%"
"2024- 04- 16","6,490","6,530","6,570","6,440","35.64K","-1.67%"
"2024- 04- 15","6,600","6,650","6,730","6,540","15.19K","-1.49%"
"2024- 04- 12","6,700","6,520","6,720","6,490","36.47K","3.08%"
"2024- 04- 11","6,500","6,650","6,670","6,480","65.61K","-2.99%"
"2024- 04- 09","6,700","6,770","6,800","6,690","20.67K","-1.03%"
"2024- 04- 08","6,770","6,830","6,840","6,760","23.62K","-0.88%"
"2024- 04- 05","6,830","6,770","6,830","6,740","16.48K","0.29%"
"2024- 04- 04","6,810","6,790","6,880","6,730","28.27K","0.00%"
"2024- 04- 03","6,810","6,760","6,930","6,740","37.40K","0.44%"
"2024- 04- 02","6,780","6,820","6,910","6,740","48.31K","-1.17%"
"2024- 04- 01","6,860","6,760","6,930","6,740","43.47K","1.48%"
"2024- 03- 29","6,760","6,890","6,900","6,740","59.89K","-2.17%"
