"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,905","3,860","3,945","3,850","72.90K","1.43%"
"2024- 05- 07","3,850","3,850","3,870","3,820","38.93K","0.52%"
"2024- 05- 03","3,830","3,855","3,870","3,810","49.83K","-0.26%"
"2024- 05- 02","3,840","3,860","3,900","3,825","15.43K","-0.52%"
"2024- 04- 30","3,860","3,870","3,900","3,855","31.77K","-0.13%"
"2024- 04- 29","3,865","3,870","3,890","3,845","35.11K","0.13%"
"2024- 04- 26","3,860","3,835","3,890","3,800","51.78K","0.65%"
"2024- 04- 25","3,835","3,855","3,880","3,830","21.06K","-0.78%"
"2024- 04- 24","3,865","3,845","3,870","3,820","49.81K","0.26%"
"2024- 04- 23","3,855","3,830","3,900","3,810","26.69K","1.31%"
"2024- 04- 22","3,805","3,740","3,810","3,730","15.45K","0.79%"
"2024- 04- 19","3,775","3,775","3,780","3,680","47.81K","0.13%"
"2024- 04- 18","3,770","3,785","3,785","3,750","29.23K","0.67%"
"2024- 04- 17","3,745","3,795","3,795","3,730","43.69K","-0.13%"
"2024- 04- 16","3,750","3,800","3,800","3,725","43.55K","-1.06%"
"2024- 04- 15","3,790","3,795","3,815","3,715","97.63K","0.00%"
"2024- 04- 12","3,790","3,825","3,825","3,735","48.90K","1.20%"
"2024- 04- 11","3,745","3,800","3,800","3,700","57.26K","-0.66%"
"2024- 04- 09","3,770","3,800","3,800","3,745","52.00K","-0.40%"
"2024- 04- 08","3,785","3,850","3,880","3,705","135.08K","0.00%"
"2024- 04- 05","3,785","3,865","3,870","3,780","84.62K","-2.07%"
"2024- 04- 04","3,865","3,915","3,920","3,850","55.06K","-1.40%"
"2024- 04- 03","3,920","3,930","3,930","3,870","78.81K","-0.63%"
"2024- 04- 02","3,945","3,945","4,005","3,905","40.03K","-0.13%"
"2024- 04- 01","3,950","3,925","3,955","3,885","60.53K","0.89%"
"2024- 03- 29","3,915","4,015","4,015","3,915","77.57K","-2.49%"
"2024- 03- 28","4,015","4,000","4,080","3,965","62.91K","0.75%"
"2024- 03- 27","3,985","3,960","4,030","3,950","45.95K","0.00%"
