"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,985","4,945","5,050","4,945","146.33K","0.81%"
"2024- 05- 07","4,945","4,945","5,020","4,930","125.55K","0.10%"
"2024- 05- 03","4,940","5,020","5,020","4,940","121.57K","-1.10%"
"2024- 05- 02","4,995","5,040","5,040","4,955","81.18K","-0.10%"
"2024- 04- 30","5,000","4,980","5,050","4,975","148.13K","0.40%"
"2024- 04- 29","4,980","4,935","5,000","4,920","142.60K","0.81%"
"2024- 04- 26","4,940","5,020","5,020","4,890","171.65K","-1.10%"
"2024- 04- 25","4,995","5,090","5,080","4,985","135.61K","-1.48%"
"2024- 04- 24","5,070","5,020","5,090","5,000","152.62K","1.50%"
"2024- 04- 23","4,995","5,060","5,120","4,990","189.33K","-0.70%"
"2024- 04- 22","5,030","4,880","5,110","4,895","331.19K","2.97%"
"2024- 04- 19","4,885","5,000","5,000","4,795","238.24K","-2.20%"
"2024- 04- 18","4,995","4,860","5,060","4,860","223.57K","1.94%"
"2024- 04- 17","4,900","4,865","4,995","4,850","186.90K","0.72%"
"2024- 04- 16","4,865","5,030","5,070","4,800","422.30K","-4.98%"
"2024- 04- 15","5,120","5,160","5,210","4,990","289.64K","-0.78%"
"2024- 04- 12","5,160","5,080","5,200","5,000","353.86K","1.57%"
"2024- 04- 11","5,080","5,150","5,180","4,965","339.71K","-1.36%"
"2024- 04- 09","5,150","5,200","5,280","5,110","324.77K","-0.96%"
"2024- 04- 08","5,200","5,290","5,360","5,200","306.59K","-2.99%"
"2024- 04- 05","5,360","5,380","5,510","5,200","603.41K","-2.37%"
"2024- 04- 04","5,490","5,480","5,590","5,320","913.39K","0.92%"
"2024- 04- 03","5,440","5,660","5,660","5,370","703.31K","-4.06%"
"2024- 04- 02","5,670","6,110","6,410","5,570","3.40M","-6.59%"
"2024- 04- 01","6,070","5,840","6,150","5,780","1.54M","2.71%"
"2024- 03- 29","5,910","5,760","6,160","5,620","2.13M","1.90%"
"2024- 03- 28","5,800","5,800","6,170","5,720","2.91M","-1.36%"
"2024- 03- 27","5,880","6,310","6,400","5,810","3.23M","-7.40%"
"2024- 03- 26","6,350","6,710","6,720","6,240","3.39M","-7.30%"
