"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,930","2,950","2,950","2,910","2.55K","-0.68%"
"2024- 05- 07","2,950","2,910","2,960","2,905","0.44K","-1.67%"
"2024- 05- 02","3,000","3,090","3,090","2,900","1.18K","0.67%"
"2024- 04- 30","2,980","2,955","3,050","2,920","4.90K","-2.61%"
"2024- 04- 29","3,060","3,060","3,060","3,060","0.00K","2.34%"
"2024- 04- 26","2,990","3,015","2,990","2,905","12.24K","-0.99%"
"2024- 04- 25","3,020","3,035","3,035","2,930","0.70K","-0.66%"
"2024- 04- 24","3,040","3,095","3,095","2,910","3.20K","-1.62%"
"2024- 04- 23","3,090","3,000","3,090","3,000","0.17K","-11.21%"
"2024- 04- 19","3,480","3,480","3,480","3,480","0.00K","13.36%"
"2024- 04- 17","3,070","3,000","3,070","3,000","0.84K","-0.32%"
"2024- 04- 16","3,080","2,915","3,080","2,910","2.69K","0.49%"
"2024- 04- 15","3,065","3,025","3,065","3,000","0.52K","-1.13%"
"2024- 04- 12","3,100","3,025","3,100","3,010","1.18K","-2.52%"
"2024- 04- 11","3,180","3,180","3,180","3,180","0.06K","2.58%"
"2024- 04- 09","3,100","3,170","3,170","3,100","0.00K","-2.21%"
"2024- 04- 05","3,170","3,170","3,170","3,170","0.00K","2.26%"
"2024- 04- 04","3,100","3,190","3,100","3,100","0.10K","-1.59%"
"2024- 04- 03","3,150","3,190","3,190","3,150","0.30K","3.11%"
"2024- 04- 02","3,055","3,100","3,195","3,050","13.73K","-2.08%"
"2024- 04- 01","3,120","3,400","3,500","3,060","55.60K","-13.09%"
"2024- 03- 29","3,590","3,495","3,590","3,500","0.31K","2.72%"
"2024- 03- 28","3,495","3,200","3,495","3,150","2.02K","5.91%"
"2024- 03- 27","3,300","3,205","3,495","3,205","1.47K","-2.94%"
"2024- 03- 26","3,400","3,200","3,400","3,200","3.45K","6.25%"
"2024- 03- 25","3,200","3,085","3,200","3,085","0.08K","0.00%"
"2024- 03- 22","3,200","3,200","3,200","3,000","15.04K","0.16%"
"2024- 03- 21","3,195","3,075","3,205","3,075","0.05K","-0.62%"
"2024- 03- 20","3,215","3,185","3,245","3,060","23.38K","-3.45%"
"2024- 03- 19","3,330","3,250","3,330","3,245","5.08K","2.46%"
"2024- 03- 18","3,250","3,560","3,560","3,160","106.04K","-8.71%"
"2024- 03- 15","3,560","3,100","3,565","3,100","16.12K","14.84%"
"2024- 03- 14","3,100","3,075","3,100","3,075","1.54K","6.90%"
"2024- 03- 13","2,900","2,900","2,900","2,900","0.00K","-0.34%"
"2024- 03- 12","2,910","2,900","2,910","2,900","0.01K","-4.43%"
"2024- 03- 08","3,045","3,045","3,045","3,045","0.01K","1.50%"
"2024- 03- 07","3,000","3,000","3,000","3,000","0.10K","-2.12%"
"2024- 03- 05","3,065","3,065","3,065","3,065","0.00K","-0.65%"
"2024- 02- 26","3,085","3,095","3,095","3,085","0.25K","-0.16%"
"2024- 02- 23","3,090","3,090","3,090","3,090","0.01K","3.00%"
"2024- 02- 19","3,000","3,000","3,000","3,000","0.53K","-1.64%"
"2024- 02- 16","3,050","2,900","3,050","2,900","0.05K","5.17%"
"2024- 02- 15","2,900","2,900","2,900","2,900","0.02K","0.00%"
"2024- 02- 14","2,900","3,070","3,085","2,800","0.10K","-6.30%"
"2024- 02- 08","3,095","3,095","3,095","3,095","0.00K","0.00%"
"2024- 02- 06","3,095","3,065","3,095","3,065","0.41K","0.00%"
"2024- 02- 01","3,095","3,095","3,095","3,095","0.00K","0.81%"
"2024- 01- 29","3,070","3,070","3,070","3,070","0.01K","-0.81%"
"2024- 01- 26","3,095","3,095","3,095","3,095","0.03K","0.00%"
"2024- 01- 25","3,095","2,910","3,095","2,905","1.12K","6.54%"
"2024- 01- 24","2,905","3,000","3,000","2,905","0.04K","-6.29%"
"2024- 01- 17","3,100","3,185","3,185","3,100","0.30K","0.49%"
"2024- 01- 12","3,085","3,005","3,160","3,005","0.36K","2.49%"
"2024- 01- 11","3,010","3,000","3,100","3,000","0.21K","-2.90%"
"2024- 01- 09","3,100","3,100","3,100","3,100","0.01K","0.16%"
"2024- 01- 05","3,095","3,095","3,100","3,095","0.09K","-0.16%"
"2024- 01- 04","3,100","3,100","3,100","3,100","0.00K","0.81%"
"2024- 01- 03","3,075","3,075","3,075","3,075","0.00K","-0.16%"
"2024- 01- 02","3,080","3,025","3,025","3,025","0.11K","-0.16%"
