"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","81.00","80.00","84.00","73.00","186.33K","-3.57%"
"2024- 05- 07","84.00","91.00","98.00","78.00","315.77K","-3.45%"
"2024- 05- 03","87.00","99.00","99.00","87.00","283.94K","-10.31%"
"2024- 05- 02","97.00","100.00","100.00","89.00","704.77K","7.78%"
"2024- 04- 30","90.00","90.00","91.00","85.00","624.87K","2.27%"
"2024- 04- 29","88.00","96.00","96.00","80.00","208.81K","0.00%"
"2024- 04- 26","88.00","92.00","92.00","78.00","176.42K","8.64%"
"2024- 04- 25","81.00","80.00","81.00","74.00","58.56K","9.46%"
"2024- 04- 24","74.00","70.00","76.00","70.00","280.65K","5.71%"
"2024- 04- 23","70.00","77.00","77.00","68.00","290.52K","-4.11%"
"2024- 04- 22","73.00","77.00","78.00","67.00","361.02K","7.35%"
"2024- 04- 19","68.00","63.00","68.00","61.00","732.01K","11.48%"
"2024- 04- 18","61.00","55.00","61.00","54.00","392.00K","10.91%"
"2024- 04- 17","55.00","51.00","55.00","49.00","430.84K","7.84%"
"2024- 04- 16","51.00","51.00","52.00","45.00","672.40K","-1.92%"
"2024- 04- 15","52.00","50.00","52.00","49.00","182.27K","0.00%"
"2024- 04- 12","52.00","51.00","53.00","49.00","270.42K","1.96%"
"2024- 04- 11","51.00","51.00","53.00","47.00","370.01K","4.08%"
"2024- 04- 09","49.00","54.00","54.00","51.00","265.30K","-5.77%"
"2024- 04- 08","52.00","52.00","52.00","50.00","161.70K","0.00%"
"2024- 04- 05","52.00","50.00","52.00","48.00","127.52K","4.00%"
"2024- 04- 04","50.00","48.00","50.00","48.00","9.69K","4.17%"
"2024- 04- 03","48.00","51.00","51.00","48.00","67.26K","-5.88%"
"2024- 04- 02","51.00","51.00","51.00","49.00","91.04K","0.00%"
"2024- 04- 01","51.00","51.00","51.00","48.00","134.17K","2.00%"
"2024- 03- 29","50.00","50.00","51.00","48.00","69.63K","0.00%"
"2024- 03- 28","50.00","49.00","51.00","49.00","338.65K","2.04%"
"2024- 03- 27","49.00","50.00","50.00","48.00","65.29K","0.00%"
"2024- 03- 26","49.00","50.00","50.00","47.00","364.44K","-2.00%"
"2024- 03- 25","50.00","53.00","53.00","47.00","64.80K","2.04%"
