"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,340","2,230","2,440","2,225","6.78M","4.70%"
"2024- 05- 07","2,235","2,190","2,280","2,185","401.66K","2.29%"
"2024- 05- 03","2,185","2,200","2,230","2,180","97.08K","-0.91%"
"2024- 05- 02","2,205","2,210","2,220","2,170","118.89K","-0.68%"
"2024- 04- 30","2,220","2,215","2,255","2,215","96.04K","-0.67%"
"2024- 04- 29","2,235","2,160","2,250","2,150","259.78K","3.23%"
"2024- 04- 26","2,165","2,185","2,190","2,130","124.36K","0.23%"
"2024- 04- 25","2,160","2,155","2,170","2,140","65.27K","-0.23%"
"2024- 04- 24","2,165","2,120","2,200","2,105","242.21K","3.10%"
"2024- 04- 23","2,100","2,130","2,160","2,100","208.14K","-1.64%"
"2024- 04- 22","2,135","2,145","2,160","2,125","90.62K","-0.23%"
"2024- 04- 19","2,140","2,215","2,215","2,120","176.88K","-3.60%"
"2024- 04- 18","2,220","2,145","2,220","2,145","140.52K","1.83%"
"2024- 04- 17","2,180","2,195","2,210","2,155","190.63K","-1.13%"
"2024- 04- 16","2,205","2,205","2,215","2,140","250.87K","0.00%"
"2024- 04- 15","2,205","2,215","2,245","2,175","252.58K","-2.86%"
"2024- 04- 12","2,270","2,235","2,285","2,210","294.30K","2.02%"
"2024- 04- 11","2,225","2,215","2,280","2,190","262.24K","-1.33%"
"2024- 04- 09","2,255","2,260","2,305","2,235","169.28K","-0.44%"
"2024- 04- 08","2,265","2,325","2,345","2,265","161.13K","-3.21%"
"2024- 04- 05","2,340","2,255","2,350","2,230","262.00K","2.63%"
"2024- 04- 04","2,280","2,290","2,320","2,280","181.24K","-0.44%"
"2024- 04- 03","2,290","2,345","2,345","2,275","333.62K","-1.72%"
"2024- 04- 02","2,330","2,355","2,355","2,315","258.42K","-1.27%"
"2024- 04- 01","2,360","2,350","2,440","2,340","298.46K","0.43%"
"2024- 03- 29","2,350","2,365","2,385","2,310","447.84K","-0.63%"
"2024- 03- 28","2,365","2,395","2,410","2,350","502.41K","-1.87%"
"2024- 03- 27","2,410","2,460","2,465","2,385","615.98K","-2.03%"
"2024- 03- 26","2,460","2,405","2,475","2,400","1.82M","1.23%"
"2024- 03- 25","2,430","2,330","2,430","2,310","1.78M","5.19%"
"2024- 03- 22","2,310","2,340","2,345","2,300","322.57K","-1.07%"
"2024- 03- 21","2,335","2,345","2,370","2,325","299.53K","-0.43%"
"2024- 03- 20","2,345","2,380","2,390","2,330","309.27K","-0.42%"
"2024- 03- 19","2,355","2,365","2,450","2,325","708.99K","-0.42%"
"2024- 03- 18","2,365","2,385","2,390","2,340","396.94K","0.21%"
"2024- 03- 15","2,360","2,385","2,410","2,325","90.61K","-0.63%"
"2024- 03- 14","2,375","2,435","2,435","2,365","0.50K","-2.46%"
"2024- 03- 13","2,435","2,450","2,450","2,400","717.86K","-0.20%"
"2024- 03- 12","2,440","2,395","2,480","2,375","2.11M","2.74%"
"2024- 03- 11","2,375","2,400","2,405","2,350","0.43K","-0.63%"
"2024- 03- 10","2,390","2,390","2,390","2,390","","0.00%"
"2024- 03- 08","2,390","2,420","2,470","2,365","545.61K","0.84%"
"2024- 03- 07","2,370","2,405","2,445","2,345","409.32K","-0.84%"
"2024- 03- 06","2,390","2,385","2,520","2,355","889.99K","-0.42%"
"2024- 03- 05","2,400","2,390","2,415","2,345","430.59K","0.21%"
"2024- 03- 04","2,395","2,325","2,435","2,325","1.49K","3.68%"
"2024- 03- 03","2,310","2,310","2,310","2,310","","0.00%"
"2024- 02- 29","2,310","2,315","2,485","2,285","2.15M","0.00%"
"2024- 02- 28","2,310","2,355","2,365","2,290","1.13K","-0.65%"
"2024- 02- 27","2,325","2,425","2,600","2,295","0.05K","-3.53%"
"2024- 02- 26","2,410","2,335","2,420","2,335","337.29K","2.12%"
"2024- 02- 23","2,360","2,410","2,450","2,335","381.33K","-1.87%"
"2024- 02- 22","2,405","2,410","2,495","2,380","0.44K","0.63%"
"2024- 02- 21","2,390","2,465","2,500","2,375","584.52K","-3.24%"
"2024- 02- 20","2,470","2,460","2,505","2,430","789.94K","-0.60%"
"2024- 02- 19","2,485","2,350","2,490","2,330","1.45K","6.20%"
"2024- 02- 16","2,340","2,335","2,385","2,320","313.00K","-0.43%"
"2024- 02- 15","2,350","2,405","2,405","2,345","453.04K","-2.69%"
"2024- 02- 14","2,415","2,270","2,420","2,255","0.02K","5.00%"
"2024- 02- 13","2,300","2,250","2,330","2,230","652.42K","3.37%"
"2024- 02- 12","2,225","2,225","2,225","2,225","","0.00%"
"2024- 02- 08","2,225","2,220","2,260","2,210","201.90K","0.45%"
"2024- 02- 07","2,215","2,210","2,235","2,185","249.49K","0.68%"
"2024- 02- 06","2,200","2,215","2,240","2,190","249.76K","-0.68%"
"2024- 02- 05","2,215","2,240","2,280","2,215","228.96K","-1.12%"
"2024- 02- 02","2,240","2,250","2,290","2,225","500.47K","0.45%"
"2024- 02- 01","2,230","2,225","2,290","2,220","523.91K","-1.33%"
"2024- 01- 31","2,260","2,290","2,380","2,250","0.11K","-2.59%"
"2024- 01- 30","2,320","2,385","2,430","2,285","0.18K","-2.32%"
"2024- 01- 29","2,375","2,555","2,555","2,365","1.21K","-7.05%"
"2024- 01- 28","2,555","2,555","2,555","2,555","","0.00%"
"2024- 01- 26","2,555","2,460","2,630","2,425","3.27M","4.29%"
"2024- 01- 25","2,450","2,410","2,495","2,280","0.19K","1.87%"
"2024- 01- 24","2,405","2,475","2,510","2,390","1.10M","-3.41%"
"2024- 01- 23","2,490","2,550","2,595","2,480","4.11K","-4.05%"
"2024- 01- 22","2,595","2,720","2,720","2,570","2.65M","-1.70%"
"2024- 01- 21","2,640","2,640","2,640","2,640","","0.00%"
"2024- 01- 19","2,640","2,720","2,915","2,565","22.44M","7.54%"
"2024- 01- 18","2,455","2,480","2,560","2,370","3.00M","0.61%"
"2024- 01- 17","2,440","2,395","2,620","2,355","6.84M","0.00%"
"2024- 01- 16","2,440","2,340","2,745","2,315","0.58K","3.83%"
"2024- 01- 15","2,350","2,410","2,435","2,330","1.48K","-1.67%"
"2024- 01- 12","2,390","2,420","2,465","2,330","865.74K","-4.21%"
"2024- 01- 11","2,495","2,475","2,585","2,420","0.00K","1.42%"
"2024- 01- 10","2,460","2,470","2,480","2,385","1.35K","-1.60%"
"2024- 01- 09","2,500","2,450","2,515","2,425","0.03K","-0.79%"
"2024- 01- 08","2,520","2,360","2,565","2,335","0.34K","5.22%"
"2024- 01- 07","2,395","2,395","2,395","2,395","","0.00%"
"2024- 01- 05","2,395","2,230","2,450","2,210","6.07M","6.21%"
"2024- 01- 04","2,255","2,320","2,335","2,250","1.77M","-4.25%"
"2024- 01- 03","2,355","2,360","2,460","2,350","0.05K","-1.05%"
"2024- 01- 02","2,380","2,285","2,575","2,275","21.23M","8.68%"
