"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","18,880","19,060","19,050","18,730","29.30K","-0.74%"
"2024- 05- 07","19,020","18,490","19,190","18,490","112.52K","3.26%"
"2024- 05- 03","18,420","18,800","18,810","18,250","237.92K","-2.64%"
"2024- 05- 02","18,920","18,910","19,030","18,800","16.94K","0.05%"
"2024- 04- 30","18,910","19,110","19,190","18,570","68.41K","-1.05%"
"2024- 04- 29","19,110","19,440","19,440","19,100","29.07K","-1.09%"
"2024- 04- 26","19,320","19,590","19,740","19,310","16.06K","-1.93%"
"2024- 04- 25","19,700","19,350","19,780","19,080","57.02K","1.55%"
"2024- 04- 24","19,400","19,070","19,440","19,050","26.13K","2.11%"
"2024- 04- 23","19,000","18,820","19,090","18,760","32.15K","1.01%"
"2024- 04- 22","18,810","18,420","18,960","18,390","49.75K","2.73%"
"2024- 04- 19","18,310","19,600","19,600","18,270","163.76K","-6.68%"
"2024- 04- 18","19,620","19,630","19,780","19,470","68.31K","0.00%"
"2024- 04- 17","19,620","21,050","21,050","19,530","252.98K","-8.53%"
"2024- 04- 16","21,450","21,750","21,950","20,900","99.41K","-2.28%"
"2024- 04- 15","21,950","23,300","23,300","21,750","117.18K","-6.79%"
"2024- 04- 12","23,550","23,700","23,750","22,850","72.61K","-0.63%"
"2024- 04- 11","23,700","22,400","23,900","22,400","140.99K","4.18%"
"2024- 04- 09","22,750","21,750","23,150","21,400","203.27K","5.08%"
"2024- 04- 08","21,650","21,100","21,850","20,800","117.37K","3.34%"
"2024- 04- 05","20,950","20,700","21,400","20,500","93.28K","1.21%"
"2024- 04- 04","20,700","20,700","20,900","20,300","33.90K","0.00%"
"2024- 04- 03","20,700","20,500","20,850","20,000","56.91K","0.98%"
"2024- 04- 02","20,500","20,500","20,750","20,150","51.70K","-0.73%"
"2024- 04- 01","20,650","20,050","20,800","19,980","100.94K","3.35%"
"2024- 03- 29","19,980","20,900","20,950","19,920","101.41K","-3.94%"
"2024- 03- 28","20,800","20,600","21,100","20,400","47.89K","0.73%"
"2024- 03- 27","20,650","20,750","20,950","20,100","86.73K","-0.72%"
"2024- 03- 26","20,800","20,100","20,800","20,000","114.69K","3.74%"
"2024- 03- 25","20,050","20,150","20,500","19,960","117.74K","0.25%"
"2024- 03- 22","20,000","20,100","20,200","19,910","48.90K","-0.50%"
"2024- 03- 21","20,100","20,400","20,650","19,990","112.83K","-0.74%"
"2024- 03- 20","20,250","20,250","20,500","20,150","29.95K","0.25%"
"2024- 03- 19","20,200","20,750","20,750","20,050","25.71K","-2.18%"
"2024- 03- 18","20,650","20,600","20,700","20,250","24.36K","-0.24%"
"2024- 03- 15","20,700","20,600","20,950","20,300","0.80K","-0.48%"
"2024- 03- 14","20,800","21,150","21,250","20,650","47.21K","-1.42%"
"2024- 03- 13","21,100","21,950","21,950","20,950","69.76K","-3.87%"
"2024- 03- 12","21,950","21,450","22,000","21,100","27.49K","2.81%"
