"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","10,150","10,180","10,310","10,030","102.45K","-1.07%"
"2024- 05- 07","10,260","10,380","10,430","10,150","145.81K","-1.16%"
"2024- 05- 03","10,380","10,270","10,410","10,210","95.50K","-0.10%"
"2024- 05- 02","10,390","10,380","10,580","10,300","173.08K","0.00%"
"2024- 04- 30","10,390","9,640","10,670","9,640","483.85K","7.89%"
"2024- 04- 29","9,630","9,490","9,690","9,490","41.92K","1.80%"
"2024- 04- 26","9,460","9,690","9,690","9,390","47.21K","-0.73%"
"2024- 04- 25","9,530","9,610","9,740","9,450","18.32K","-1.55%"
"2024- 04- 24","9,680","9,720","9,790","9,650","31.27K","1.04%"
"2024- 04- 23","9,580","9,680","9,790","9,580","53.45K","-0.10%"
"2024- 04- 22","9,590","9,560","9,660","9,420","53.84K","1.59%"
"2024- 04- 19","9,440","9,490","9,600","9,150","74.16K","-1.05%"
"2024- 04- 18","9,540","9,270","9,690","9,230","88.45K","0.95%"
"2024- 04- 17","9,450","9,110","9,450","9,110","73.85K","3.28%"
"2024- 04- 16","9,150","9,290","9,320","9,050","64.50K","-1.51%"
"2024- 04- 15","9,290","9,420","9,530","9,190","70.21K","-2.62%"
"2024- 04- 12","9,540","9,620","9,700","9,220","48.36K","0.00%"
"2024- 04- 11","9,540","9,590","9,780","9,390","64.11K","-0.83%"
"2024- 04- 09","9,620","9,670","9,790","9,560","51.30K","-1.23%"
"2024- 04- 08","9,740","9,950","9,950","9,670","60.58K","-1.52%"
"2024- 04- 05","9,890","9,710","10,030","9,700","74.21K","0.71%"
"2024- 04- 04","9,820","10,030","10,040","9,770","117.56K","-2.09%"
"2024- 04- 03","10,030","9,950","10,140","9,840","86.79K","-0.30%"
"2024- 04- 02","10,060","10,290","10,290","9,920","98.04K","-1.85%"
"2024- 04- 01","10,250","9,890","10,260","9,890","118.71K","4.06%"
"2024- 03- 29","9,850","10,080","10,090","9,830","78.55K","-1.99%"
"2024- 03- 28","10,050","9,980","10,200","9,890","146.45K","0.70%"
"2024- 03- 27","9,980","9,750","10,010","9,680","100.44K","2.36%"
"2024- 03- 26","9,750","10,050","10,050","9,710","121.82K","-2.30%"
"2024- 03- 25","9,980","10,080","10,100","9,930","107.14K","0.60%"
"2024- 03- 22","9,920","9,600","10,060","9,600","117.33K","3.77%"
"2024- 03- 21","9,560","9,690","9,770","9,500","58.70K","0.42%"
"2024- 03- 20","9,520","9,620","9,700","9,500","57.39K","-0.63%"
"2024- 03- 19","9,580","9,520","9,590","9,410","60.62K","0.31%"
"2024- 03- 18","9,550","9,510","9,650","9,410","62.35K","-0.42%"
"2024- 03- 15","9,590","9,620","9,770","9,570","52.19K","-1.13%"
"2024- 03- 14","9,700","9,890","9,890","9,660","50.46K","-1.32%"
"2024- 03- 13","9,830","9,890","9,890","9,660","67.06K","0.20%"
"2024- 03- 12","9,810","9,810","9,860","9,520","78.31K","1.34%"
"2024- 03- 11","9,680","9,430","9,920","9,400","133.72K","2.65%"
