"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","34,800.00","35,000.00","35,000.00","34,200.00","44.12K","-0.43%"
"2024- 05- 07","34,950.00","34,700.00","35,100.00","34,400.00","70.94K","2.04%"
"2024- 05- 03","34,250.00","34,300.00","34,600.00","34,050.00","36.51K","-0.29%"
"2024- 05- 02","34,350.00","34,100.00","34,700.00","33,700.00","48.82K","0.15%"
"2024- 04- 30","34,300.00","35,050.00","35,050.00","34,050.00","71.96K","-1.58%"
"2024- 04- 29","34,850.00","34,900.00","35,300.00","34,800.00","61.60K","0.00%"
"2024- 04- 26","34,850.00","34,650.00","35,100.00","34,300.00","86.90K","0.58%"
"2024- 04- 25","34,650.00","34,050.00","35,150.00","34,000.00","102.58K","-0.43%"
"2024- 04- 24","34,800.00","34,450.00","35,000.00","33,650.00","244.98K","4.04%"
"2024- 04- 23","33,450.00","33,700.00","34,100.00","33,200.00","68.15K","0.15%"
"2024- 04- 22","33,400.00","32,000.00","33,500.00","31,900.00","141.87K","5.03%"
"2024- 04- 19","31,800.00","32,000.00","33,050.00","30,650.00","126.16K","-0.63%"
"2024- 04- 18","32,000.00","30,250.00","32,100.00","30,250.00","79.06K","4.40%"
"2024- 04- 17","30,650.00","30,200.00","31,700.00","30,200.00","123.10K","1.32%"
"2024- 04- 16","30,250.00","30,800.00","30,800.00","29,800.00","179.97K","-3.66%"
"2024- 04- 15","31,400.00","32,700.00","32,900.00","31,400.00","202.08K","-6.82%"
"2024- 04- 12","33,700.00","33,150.00","33,700.00","32,500.00","104.20K","1.66%"
"2024- 04- 11","33,150.00","33,800.00","33,950.00","33,000.00","120.73K","-2.79%"
"2024- 04- 09","34,100.00","35,100.00","35,300.00","34,050.00","117.29K","-2.71%"
"2024- 04- 08","35,050.00","36,250.00","36,600.00","35,000.00","137.60K","-1.82%"
"2024- 04- 05","35,700.00","35,550.00","38,750.00","35,000.00","336.79K","-1.65%"
"2024- 04- 04","36,300.00","36,700.00","37,050.00","36,050.00","115.95K","-0.95%"
"2024- 04- 03","36,650.00","36,350.00","36,650.00","35,700.00","128.41K","-0.14%"
"2024- 04- 02","36,700.00","37,900.00","37,950.00","36,200.00","236.93K","-3.04%"
"2024- 04- 01","37,850.00","38,350.00","38,400.00","37,450.00","145.98K","-1.30%"
"2024- 03- 29","38,350.00","37,650.00","38,800.00","37,550.00","212.86K","2.82%"
"2024- 03- 28","37,300.00","37,850.00","37,850.00","37,000.00","141.50K","-1.45%"
"2024- 03- 27","37,850.00","38,500.00","38,500.00","37,650.00","138.15K","-0.92%"
