"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","779","781","782","769","78.67K","-0.26%"
"2024- 05- 07","781","782","790","776","67.04K","-0.64%"
"2024- 05- 03","786","799","799","780","34.53K","0.13%"
"2024- 05- 02","785","771","789","766","62.40K","1.82%"
"2024- 04- 30","771","795","795","766","51.10K","0.78%"
"2024- 04- 29","765","758","770","756","26.93K","0.92%"
"2024- 04- 26","758","769","770","755","61.56K","0.26%"
"2024- 04- 25","756","760","765","753","87.07K","-0.53%"
"2024- 04- 24","760","757","769","757","67.07K","-0.65%"
"2024- 04- 23","765","766","817","761","58.49K","0.00%"
"2024- 04- 22","765","761","770","756","50.65K","0.00%"
"2024- 04- 19","765","775","790","763","60.03K","-1.80%"
"2024- 04- 18","779","815","815","771","36.79K","1.04%"
"2024- 04- 17","771","771","773","765","25.34K","0.00%"
"2024- 04- 16","771","775","775","761","61.06K","-0.52%"
"2024- 04- 15","775","795","795","745","312.04K","-2.76%"
"2024- 04- 12","797","820","820","789","47.02K","0.63%"
"2024- 04- 11","792","827","827","789","219.89K","-4.12%"
"2024- 04- 09","826","840","849","823","83.28K","0.36%"
"2024- 04- 08","823","901","901","822","186.08K","-4.97%"
"2024- 04- 05","866","880","880","854","113.27K","-1.59%"
"2024- 04- 04","880","886","887","836","72.87K","-0.68%"
"2024- 04- 03","886","897","897","863","82.40K","-0.78%"
"2024- 04- 02","893","901","904","888","229.63K","-0.67%"
"2024- 04- 01","899","901","904","890","44.95K","-0.22%"
"2024- 03- 29","901","900","904","890","97.39K","0.11%"
"2024- 03- 28","900","899","906","890","69.28K","1.35%"
"2024- 03- 27","888","888","902","875","79.11K","0.11%"
"2024- 03- 26","887","893","913","887","133.00K","-0.67%"
"2024- 03- 25","893","883","899","880","120.02K","1.13%"
"2024- 03- 22","883","880","886","850","146.99K","1.15%"
"2024- 03- 21","873","850","899","845","215.01K","2.71%"
"2024- 03- 20","850","827","888","827","196.30K","1.55%"
"2024- 03- 19","837","840","840","827","124.38K","1.21%"
"2024- 03- 18","827","810","833","810","96.43K","1.35%"
"2024- 03- 15","816","810","848","807","29.72K","-1.69%"
"2024- 03- 14","830","834","860","830","104.85K","-0.48%"
"2024- 03- 13","834","844","850","833","79.06K","-1.18%"
"2024- 03- 12","844","850","870","842","107.50K","-0.82%"
"2024- 03- 11","851","842","866","833","121.52K","1.19%"
"2024- 03- 08","841","819","850","815","202.67K","3.32%"
"2024- 03- 07","814","903","903","785","1.02M","-10.25%"
"2024- 03- 06","907","916","927","900","0.00K","-0.87%"
"2024- 03- 05","915","950","950","915","155.59K","-1.61%"
"2024- 03- 04","930","978","982","928","372.29K","-4.81%"
"2024- 02- 29","977","987","1,000","974","95.85K","-1.01%"
"2024- 02- 28","987","971","998","971","66.42K","-0.20%"
"2024- 02- 27","989","998","1,000","977","105.83K","-0.50%"
"2024- 02- 26","994","999","1,000","990","87.38K","-0.20%"
"2024- 02- 23","996","1,010","1,010","995","72.60K","-1.19%"
"2024- 02- 22","1,008","1,001","1,015","998","87.86K","0.80%"
"2024- 02- 21","1,000","1,013","1,020","999","95.45K","-2.06%"
"2024- 02- 20","1,021","1,000","1,050","994","217.94K","2.10%"
"2024- 02- 19","1,000","981","1,000","980","74.74K","1.01%"
"2024- 02- 16","990","993","999","978","262.49K","-0.40%"
"2024- 02- 15","994","998","1,001","989","242.03K","-0.20%"
"2024- 02- 14","996","1,005","1,005","995","87.48K","-0.10%"
"2024- 02- 13","997","1,011","1,011","980","102.99K","-0.40%"
"2024- 02- 08","1,001","1,006","1,012","995","92.15K","0.10%"
"2024- 02- 07","1,000","999","1,006","998","61.66K","0.00%"
"2024- 02- 06","1,000","1,006","1,012","999","129.88K","-0.60%"
"2024- 02- 05","1,006","1,019","1,019","1,002","72.16K","-1.28%"
"2024- 02- 02","1,019","1,009","1,034","1,002","99.47K","0.99%"
"2024- 02- 01","1,009","1,016","1,022","1,004","70.34K","-0.69%"
"2024- 01- 31","1,016","1,023","1,024","1,016","30.80K","-0.68%"
"2024- 01- 30","1,023","1,021","1,037","1,017","66.05K","0.20%"
"2024- 01- 29","1,021","1,031","1,043","1,018","56.19K","-2.20%"
"2024- 01- 26","1,044","1,025","1,050","1,025","63.73K","-0.19%"
"2024- 01- 25","1,046","1,030","1,046","1,000","145.36K","2.55%"
"2024- 01- 24","1,020","1,027","1,027","1,019","32.15K","-0.29%"
"2024- 01- 23","1,023","1,015","1,038","1,010","57.86K","-0.87%"
"2024- 01- 22","1,032","1,036","1,041","1,021","54.57K","-0.10%"
"2024- 01- 19","1,033","1,032","1,044","1,028","36.53K","0.10%"
"2024- 01- 18","1,032","1,028","1,047","1,025","45.93K","0.39%"
"2024- 01- 17","1,028","1,055","1,055","978","150.90K","-2.56%"
"2024- 01- 16","1,055","1,050","1,069","1,047","86.45K","0.57%"
