"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,945","3,925","3,955","3,915","196.74K","0.51%"
"2024- 05- 07","3,925","3,965","3,975","3,900","242.31K","-0.25%"
"2024- 05- 03","3,935","3,920","3,975","3,920","193.78K","0.90%"
"2024- 05- 02","3,900","3,900","3,925","3,880","161.26K","-0.38%"
"2024- 04- 30","3,915","3,940","3,970","3,910","169.89K","-0.25%"
"2024- 04- 29","3,925","3,880","3,940","3,880","169.01K","1.16%"
"2024- 04- 26","3,880","3,895","3,915","3,855","188.53K","-0.26%"
"2024- 04- 25","3,890","3,915","3,925","3,885","151.71K","-0.77%"
"2024- 04- 24","3,920","3,920","3,950","3,915","206.65K","0.26%"
"2024- 04- 23","3,910","3,950","4,000","3,900","289.52K","0.00%"
"2024- 04- 22","3,910","3,875","3,920","3,870","273.95K","0.90%"
"2024- 04- 19","3,875","4,040","4,065","3,850","724.50K","-3.25%"
"2024- 04- 18","4,005","3,855","4,350","3,855","2.33M","3.35%"
"2024- 04- 17","3,875","3,900","3,955","3,875","199.49K","-0.26%"
"2024- 04- 16","3,885","3,960","4,000","3,860","377.34K","-3.96%"
"2024- 04- 15","4,045","4,230","4,240","3,975","574.60K","-2.53%"
"2024- 04- 12","4,150","4,155","4,195","4,085","460.25K","0.36%"
"2024- 04- 11","4,135","3,995","4,155","3,970","497.66K","4.16%"
"2024- 04- 09","3,970","3,890","4,010","3,890","329.61K","3.39%"
"2024- 04- 08","3,840","3,895","3,920","3,820","287.08K","-1.29%"
"2024- 04- 05","3,890","3,970","3,990","3,880","429.75K","-1.89%"
"2024- 04- 04","3,965","4,020","4,055","3,965","375.67K","-1.61%"
"2024- 04- 03","4,030","3,995","4,045","3,965","246.91K","0.00%"
"2024- 04- 02","4,030","4,135","4,150","4,010","417.70K","-2.42%"
"2024- 04- 01","4,130","4,155","4,200","4,130","282.26K","0.73%"
"2024- 03- 29","4,100","4,130","4,165","4,085","260.22K","-0.73%"
"2024- 03- 28","4,130","4,185","4,190","4,115","419.21K","-1.31%"
"2024- 03- 27","4,185","4,280","4,290","4,160","540.15K","-1.76%"
"2024- 03- 26","4,260","4,275","4,285","4,225","460.78K","-0.35%"
"2024- 03- 25","4,275","4,270","4,365","4,200","1.20M","1.79%"
"2024- 03- 22","4,200","4,145","4,235","4,120","733.45K","1.94%"
"2024- 03- 21","4,120","4,030","4,290","4,030","2.03M","3.78%"
"2024- 03- 20","3,970","3,945","3,995","3,940","435.98K","0.25%"
"2024- 03- 19","3,960","4,070","4,095","3,960","631.64K","-3.41%"
"2024- 03- 18","4,100","4,105","4,130","4,080","289.81K","0.12%"
"2024- 03- 17","4,095","4,095","4,095","4,095","","-0.12%"
"2024- 03- 15","4,100","4,105","4,215","4,095","40.16K","-3.07%"
"2024- 03- 14","4,230","4,215","4,235","4,155","0.29K","0.48%"
"2024- 03- 13","4,210","4,230","4,235","4,170","398.67K","0.00%"
"2024- 03- 12","4,210","4,280","4,360","4,200","756.51K","0.24%"
"2024- 03- 11","4,200","4,195","4,245","4,175","364.65K","0.60%"
"2024- 03- 10","4,175","4,175","4,175","4,175","","0.00%"
"2024- 03- 08","4,175","4,180","4,240","4,170","496.79K","0.12%"
"2024- 03- 07","4,170","4,360","4,385","4,170","855.59K","-3.70%"
