"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,885","3,020","3,120","2,885","3.17M","-7.38%"
"2024- 05- 07","3,115","3,520","3,535","3,075","9.32M","-4.45%"
"2024- 05- 03","3,260","2,530","3,260","2,485","9.01M","29.88%"
"2024- 05- 02","2,510","2,610","2,695","2,460","1.14M","-3.09%"
"2024- 04- 30","2,590","2,710","2,725","2,515","1.10M","-3.00%"
"2024- 04- 29","2,670","2,755","2,840","2,605","2.25M","-3.96%"
"2024- 04- 26","2,780","2,420","2,850","2,380","3.77M","14.64%"
"2024- 04- 25","2,425","2,160","2,475","2,145","2.10M","12.01%"
"2024- 04- 24","2,165","2,200","2,235","2,140","385.28K","-0.69%"
"2024- 04- 23","2,180","2,045","2,185","2,040","653.30K","3.32%"
"2024- 04- 22","2,110","2,130","2,215","2,045","687.90K","-3.21%"
"2024- 04- 19","2,180","2,240","2,240","2,125","549.81K","-2.68%"
"2024- 04- 18","2,240","2,235","2,270","2,185","402.99K","0.22%"
"2024- 04- 17","2,235","2,275","2,330","2,130","979.82K","-1.76%"
"2024- 04- 16","2,275","2,260","2,370","2,245","572.73K","0.00%"
"2024- 04- 15","2,275","2,300","2,340","2,240","565.60K","-3.60%"
"2024- 04- 12","2,360","2,430","2,465","2,295","626.93K","-1.67%"
"2024- 04- 11","2,400","2,370","2,445","2,310","520.16K","2.35%"
"2024- 04- 09","2,345","2,345","2,370","2,205","1.01M","0.00%"
"2024- 04- 08","2,345","2,385","2,425","2,305","860.49K","-2.70%"
"2024- 04- 05","2,410","2,300","2,510","2,245","1.99M","4.33%"
"2024- 04- 04","2,310","2,475","2,475","2,290","1.13M","-6.67%"
"2024- 04- 03","2,475","2,440","2,490","2,365","775.08K","1.43%"
"2024- 04- 02","2,440","2,375","2,480","2,335","932.39K","1.67%"
"2024- 04- 01","2,400","2,355","2,445","2,355","869.45K","2.35%"
"2024- 03- 29","2,345","2,335","2,465","2,275","1.95M","0.43%"
"2024- 03- 28","2,335","2,135","2,460","2,135","3.20M","4.47%"
"2024- 03- 27","2,235","2,425","2,740","2,220","5.03M","-8.02%"
"2024- 03- 26","2,430","2,365","2,450","2,250","1.31M","3.62%"
"2024- 03- 25","2,345","2,460","2,465","2,345","983.36K","-2.70%"
"2024- 03- 22","2,410","2,500","2,580","2,395","2.21M","-1.83%"
"2024- 03- 21","2,455","2,415","2,640","2,350","3.90M","3.15%"
"2024- 03- 20","2,380","2,330","2,440","2,200","1.45M","0.00%"
"2024- 03- 19","2,380","2,540","2,680","2,330","3.37M","-2.26%"
"2024- 03- 18","2,435","2,410","2,515","2,390","680.23K","0.00%"
"2024- 03- 15","2,435","2,455","2,550","2,365","1.15M","-0.81%"
"2024- 03- 14","2,455","2,685","2,770","2,425","0.69K","-6.48%"
"2024- 03- 13","2,625","2,660","2,660","2,405","0.00K","0.19%"
"2024- 03- 12","2,620","2,895","2,900","2,525","2.64M","-6.60%"
"2024- 03- 11","2,805","2,865","3,020","2,720","2.94M","2.75%"
"2024- 03- 10","2,730","2,730","2,730","2,730","","0.00%"
"2024- 03- 08","2,730","2,640","2,835","2,630","3.20M","4.80%"
"2024- 03- 07","2,605","2,945","3,110","2,555","1.91K","-15.01%"
"2024- 03- 06","3,065","2,500","3,145","2,465","0.79K","19.96%"
"2024- 03- 05","2,555","2,540","2,660","2,100","3.15M","0.59%"
"2024- 03- 04","2,540","2,545","2,835","2,430","13.42K","1.20%"
"2024- 03- 03","2,510","2,510","2,510","2,510","","0.00%"
"2024- 02- 29","2,510","2,495","2,755","2,400","3.22M","-1.76%"
"2024- 02- 28","2,555","3,095","3,220","2,500","4.89M","-14.55%"
"2024- 02- 27","2,990","3,525","3,750","2,815","0.31K","-19.41%"
"2024- 02- 26","3,710","3,455","4,265","3,405","0.21K","0.13%"
"2024- 02- 25","3,705","3,705","3,705","3,705","","0.00%"
"2024- 02- 23","3,705","3,670","3,705","3,305","19.09M","30.00%"
"2024- 02- 22","2,850","2,180","2,850","2,180","0.00K","29.84%"
