"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","3,085","3,120","3,120","3,065","51.35K","-0.64%"
"2024- 05- 03","3,105","3,160","3,170","3,075","48.82K","-1.74%"
"2024- 05- 02","3,160","3,175","3,175","3,145","48.50K","-0.63%"
"2024- 04- 30","3,180","3,130","3,185","3,125","95.10K","1.76%"
"2024- 04- 29","3,125","3,130","3,140","3,065","48.06K","0.32%"
"2024- 04- 26","3,115","3,085","3,135","3,085","21.49K","-0.16%"
"2024- 04- 25","3,120","3,070","3,130","3,060","24.86K","0.65%"
"2024- 04- 24","3,100","3,090","3,110","3,085","29.63K","0.32%"
"2024- 04- 23","3,090","3,090","3,120","3,050","30.55K","0.16%"
"2024- 04- 22","3,085","3,090","3,105","3,020","65.02K","1.31%"
"2024- 04- 19","3,045","3,115","3,115","3,000","76.14K","-2.25%"
"2024- 04- 18","3,115","3,035","3,135","3,035","47.59K","2.30%"
"2024- 04- 17","3,045","3,050","3,080","3,015","20.92K","0.00%"
"2024- 04- 16","3,045","3,075","3,075","2,965","128.21K","-0.98%"
"2024- 04- 15","3,075","3,100","3,105","3,035","54.29K","-1.76%"
"2024- 04- 12","3,130","3,185","3,185","3,100","72.78K","-1.42%"
"2024- 04- 11","3,175","3,195","3,195","3,100","36.34K","-0.16%"
"2024- 04- 09","3,180","3,095","3,245","3,080","122.47K","2.75%"
"2024- 04- 08","3,095","3,130","3,150","3,050","104.36K","-0.32%"
"2024- 04- 05","3,105","3,180","3,205","3,090","322.08K","-2.36%"
"2024- 04- 04","3,180","3,230","3,245","3,155","189.64K","-1.24%"
"2024- 04- 03","3,220","3,195","3,225","3,175","63.56K","0.78%"
"2024- 04- 02","3,195","3,220","3,220","3,150","84.99K","0.31%"
"2024- 04- 01","3,185","3,290","3,320","3,150","363.36K","-3.34%"
"2024- 03- 29","3,295","3,430","3,430","3,290","240.42K","-3.23%"
"2024- 03- 28","3,405","3,410","3,510","3,390","157.56K","-0.15%"
"2024- 03- 27","3,410","3,485","3,485","3,380","117.65K","-2.15%"
"2024- 03- 26","3,485","3,460","3,525","3,460","25.83K","0.00%"
"2024- 03- 25","3,485","3,505","3,540","3,440","54.54K","-1.55%"
"2024- 03- 22","3,540","3,560","3,585","3,515","63.05K","-1.39%"
"2024- 03- 21","3,590","3,585","3,615","3,475","240.27K","-2.45%"
"2024- 03- 20","3,680","3,590","3,680","3,575","239.31K","2.51%"
"2024- 03- 19","3,590","3,565","3,595","3,525","153.03K","1.70%"
"2024- 03- 18","3,530","3,680","3,740","3,515","287.49K","-4.98%"
"2024- 03- 15","3,715","3,725","3,820","3,705","119.45K","-0.13%"
"2024- 03- 14","3,720","3,755","3,800","3,715","163.11K","-1.72%"
"2024- 03- 13","3,785","3,820","3,860","3,745","120.94K","0.00%"
"2024- 03- 12","3,785","3,790","3,850","3,720","96.78K","-0.13%"
"2024- 03- 11","3,790","3,840","3,840","3,720","125.75K","0.13%"
"2024- 03- 08","3,785","3,740","3,915","3,725","300.96K","1.20%"
"2024- 03- 07","3,740","3,820","3,830","3,700","125.95K","-1.58%"
"2024- 03- 06","3,800","3,760","3,860","3,760","78.83K","-0.39%"
"2024- 03- 05","3,815","3,660","3,905","3,655","356.26K","4.23%"
"2024- 03- 04","3,660","3,535","3,750","3,535","207.67K","4.13%"
"2024- 02- 29","3,515","3,515","3,545","3,480","27.49K","0.14%"
"2024- 02- 28","3,510","3,500","3,515","3,445","29.13K","1.15%"
"2024- 02- 27","3,470","3,550","3,560","3,470","69.76K","-1.42%"
"2024- 02- 26","3,520","3,600","3,610","3,495","54.30K","-1.68%"
"2024- 02- 23","3,580","3,595","3,650","3,545","58.63K","-0.42%"
"2024- 02- 22","3,595","3,550","3,600","3,535","55.02K","0.98%"
"2024- 02- 21","3,560","3,625","3,630","3,535","87.96K","-0.84%"
"2024- 02- 20","3,590","3,665","3,680","3,585","84.32K","-2.05%"
"2024- 02- 19","3,665","3,660","3,710","3,610","65.93K","0.69%"
"2024- 02- 16","3,640","3,695","3,695","3,610","38.05K","-0.82%"
"2024- 02- 15","3,670","3,645","3,695","3,565","80.61K","2.23%"
"2024- 02- 14","3,590","3,645","3,645","3,580","48.62K","-1.78%"
"2024- 02- 13","3,655","3,590","3,680","3,500","51.58K","2.67%"
"2024- 02- 08","3,560","3,650","3,650","3,555","78.69K","-1.11%"
"2024- 02- 07","3,600","3,600","3,650","3,540","45.49K","0.84%"
"2024- 02- 06","3,570","3,705","3,730","3,505","107.66K","-4.03%"
"2024- 02- 05","3,720","3,700","3,735","3,650","63.74K","-0.40%"
"2024- 02- 02","3,735","3,790","3,850","3,690","127.40K","-1.06%"
"2024- 02- 01","3,775","3,545","3,800","3,545","0.05K","4.86%"
"2024- 01- 31","3,600","3,570","3,600","3,520","34.97K","1.12%"
"2024- 01- 30","3,560","3,520","3,590","3,520","46.31K","0.71%"
"2024- 01- 29","3,535","3,500","3,560","3,450","91.35K","2.76%"
"2024- 01- 26","3,440","3,415","3,495","3,390","45.70K","0.88%"
"2024- 01- 25","3,410","3,495","3,495","3,395","36.05K","-1.16%"
"2024- 01- 24","3,450","3,500","3,500","3,395","38.91K","0.00%"
"2024- 01- 23","3,450","3,390","3,505","3,380","45.89K","0.00%"
"2024- 01- 22","3,450","3,540","3,550","3,420","63.30K","-1.71%"
"2024- 01- 19","3,510","3,595","3,595","3,460","80.35K","-1.54%"
"2024- 01- 18","3,565","3,560","3,680","3,500","41.35K","-0.42%"
"2024- 01- 17","3,580","3,660","3,770","3,520","110.45K","-2.19%"
"2024- 01- 16","3,660","3,725","3,800","3,610","59.08K","-2.14%"
"2024- 01- 15","3,740","3,830","3,850","3,720","49.45K","-2.35%"
"2024- 01- 12","3,830","3,885","3,905","3,815","32.00K","-1.42%"
"2024- 01- 11","3,885","3,790","3,905","3,780","100.41K","3.46%"
"2024- 01- 10","3,755","3,830","3,830","3,720","39.58K","-0.40%"
"2024- 01- 09","3,770","3,720","3,840","3,720","43.81K","0.80%"
"2024- 01- 08","3,740","3,770","3,840","3,610","27.66K","-0.80%"
"2024- 01- 05","3,770","3,760","3,815","3,755","42.01K","0.27%"
"2024- 01- 04","3,760","3,840","3,895","3,710","72.79K","-2.08%"
"2024- 01- 03","3,840","3,855","3,925","3,840","56.19K","-1.16%"
"2024- 01- 02","3,885","3,985","3,985","3,880","44.30K","-0.38%"
