"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","10,270","10,270","10,270","10,120","51.07K","-0.10%"
"2024- 05- 07","10,280","10,260","10,350","10,130","91.54K","0.00%"
"2024- 05- 03","10,280","10,470","10,530","10,280","96.04K","-0.87%"
"2024- 05- 02","10,370","10,520","10,870","10,290","332.81K","-0.67%"
"2024- 04- 30","10,440","10,440","10,550","10,330","144.13K","0.10%"
"2024- 04- 29","10,430","10,100","10,560","10,000","232.99K","3.37%"
"2024- 04- 26","10,090","10,250","10,290","10,000","143.39K","-1.56%"
"2024- 04- 25","10,250","10,130","10,410","10,130","120.15K","0.49%"
"2024- 04- 24","10,200","10,290","10,320","10,100","125.78K","-0.87%"
"2024- 04- 23","10,290","10,260","10,400","10,150","165.38K","0.78%"
"2024- 04- 22","10,210","9,680","10,600","9,680","710.29K","5.80%"
"2024- 04- 19","9,650","10,020","10,020","9,450","105.46K","-3.02%"
"2024- 04- 18","9,950","9,640","10,050","9,640","88.62K","2.37%"
"2024- 04- 17","9,720","9,710","9,970","9,580","96.95K","1.25%"
"2024- 04- 16","9,600","10,150","10,160","9,590","160.13K","-6.07%"
"2024- 04- 15","10,220","9,990","10,220","9,800","89.86K","1.39%"
"2024- 04- 12","10,080","9,860","10,280","9,790","153.72K","2.23%"
"2024- 04- 11","9,860","9,880","9,900","9,580","58.59K","-0.30%"
"2024- 04- 09","9,890","9,760","10,000","9,690","65.04K","1.33%"
"2024- 04- 08","9,760","9,810","9,910","9,650","86.15K","-1.51%"
"2024- 04- 05","9,910","9,910","10,220","9,850","90.78K","-1.10%"
"2024- 04- 04","10,020","10,090","10,230","9,900","103.58K","-0.69%"
"2024- 04- 03","10,090","9,960","10,280","9,960","115.87K","0.20%"
"2024- 04- 02","10,070","10,410","10,490","10,020","149.43K","-2.23%"
"2024- 04- 01","10,300","10,100","10,400","10,090","114.51K","1.78%"
"2024- 03- 29","10,120","10,240","10,330","10,000","140.94K","-0.20%"
"2024- 03- 28","10,140","10,680","10,770","10,110","289.44K","-6.11%"
"2024- 03- 27","10,800","10,650","10,810","10,470","198.55K","1.22%"
"2024- 03- 26","10,670","10,720","10,990","10,570","259.77K","0.00%"
"2024- 03- 25","10,670","11,210","11,500","10,460","535.00K","-3.70%"
"2024- 03- 22","11,080","11,220","11,300","10,970","310.15K","-2.29%"
"2024- 03- 21","11,340","10,890","11,790","10,850","1.36M","4.52%"
"2024- 03- 20","10,850","11,230","11,370","10,810","471.94K","-3.98%"
"2024- 03- 19","11,300","11,080","11,890","10,840","2.24M","1.80%"
"2024- 03- 18","11,100","11,110","11,320","10,930","413.76K","-1.25%"
"2024- 03- 17","11,240","11,240","11,240","11,240","","-0.71%"
"2024- 03- 15","11,320","11,110","11,700","11,020","69.45K","-0.26%"
"2024- 03- 14","11,350","12,060","12,450","11,180","0.01K","-1.90%"
"2024- 03- 13","11,570","11,520","12,780","10,740","5.40M","-1.28%"
"2024- 03- 12","11,720","12,220","12,470","11,610","3.40M","-3.54%"
"2024- 03- 11","12,150","9,520","12,150","9,400","19.53K","29.95%"
"2024- 03- 10","9,350","9,350","9,350","9,350","","0.00%"
"2024- 03- 08","9,350","9,330","9,410","9,130","184.52K","0.97%"
"2024- 03- 07","9,260","9,130","9,400","9,090","236.22K","1.54%"
"2024- 03- 06","9,120","8,920","9,270","8,820","181.20K","2.24%"
"2024- 03- 05","8,920","8,850","9,030","8,800","0.01K","0.79%"
"2024- 03- 04","8,850","8,850","8,970","8,830","87.37K","0.23%"
"2024- 03- 03","8,830","8,830","8,830","8,830","","0.00%"
"2024- 02- 29","8,830","8,960","9,140","8,800","118.17K","-1.56%"
"2024- 02- 28","8,970","9,130","9,660","8,970","0.15K","2.63%"
"2024- 02- 27","8,740","8,850","8,900","8,680","5.12K","-1.80%"
"2024- 02- 26","8,900","9,000","9,060","8,900","41.54K","-1.22%"
"2024- 02- 23","9,010","8,930","9,160","8,820","100.46K","1.58%"
"2024- 02- 22","8,870","8,910","8,990","8,860","58.80K","-0.34%"
"2024- 02- 21","8,900","9,240","9,240","8,900","112.03K","-3.78%"
"2024- 02- 20","9,250","9,250","9,300","9,070","95.11K","0.65%"
"2024- 02- 19","9,190","9,260","9,310","9,130","109.29K","-0.11%"
"2024- 02- 18","9,200","9,200","9,200","9,200","","0.00%"
"2024- 02- 16","9,200","9,200","9,390","9,110","117.55K","0.99%"
"2024- 02- 15","9,110","9,080","9,290","9,030","94.79K","0.33%"
"2024- 02- 14","9,080","9,010","9,140","8,850","136.95K","-0.11%"
"2024- 02- 13","9,090","9,180","9,260","9,000","243.78K","0.00%"
"2024- 02- 12","9,090","9,090","9,090","9,090","","0.00%"
"2024- 02- 08","9,090","9,210","9,350","9,000","100.02K","-1.30%"
"2024- 02- 07","9,210","9,290","9,350","9,090","163.62K","-1.50%"
"2024- 02- 06","9,350","9,450","9,540","9,140","250.89K","0.00%"
"2024- 02- 05","9,350","8,900","9,780","8,760","1.11M","5.65%"
"2024- 02- 02","8,850","8,650","8,870","8,600","53.12K","3.03%"
"2024- 02- 01","8,590","8,530","8,740","8,530","0.00K","0.00%"
"2024- 01- 31","8,590","8,770","8,890","8,570","0.06K","-2.05%"
"2024- 01- 30","8,770","8,820","9,030","8,770","112.77K","-0.45%"
"2024- 01- 29","8,810","8,850","9,830","8,650","1.13K","0.69%"
"2024- 01- 26","8,750","8,510","8,870","8,510","75.03K","2.10%"
"2024- 01- 25","8,570","8,640","8,700","8,490","61.74K","-0.81%"
"2024- 01- 24","8,640","8,910","8,910","8,600","65.93K","-1.93%"
"2024- 01- 23","8,810","8,730","8,980","8,580","70.94K","0.80%"
"2024- 01- 22","8,740","8,830","8,830","8,610","51.63K","-0.23%"
"2024- 01- 19","8,760","8,770","8,870","8,640","52.03K","1.74%"
"2024- 01- 18","8,610","8,630","8,890","8,550","62.15K","0.12%"
"2024- 01- 17","8,600","9,010","9,040","8,590","0.02K","-4.87%"
"2024- 01- 16","9,040","8,970","9,170","8,950","33.17K","-0.22%"
"2024- 01- 15","9,060","9,100","9,110","8,900","66.87K","0.44%"
"2024- 01- 12","9,020","9,470","9,470","8,930","167.70K","-4.55%"
"2024- 01- 11","9,450","9,310","9,490","9,310","53.61K","1.50%"
"2024- 01- 10","9,310","9,620","9,620","9,310","99.36K","-2.62%"
"2024- 01- 09","9,560","9,580","9,640","9,390","122.23K","0.00%"
"2024- 01- 08","9,560","9,400","9,570","9,300","0.15K","1.38%"
"2024- 01- 05","9,430","9,550","9,650","9,430","89.85K","-0.53%"
"2024- 01- 04","9,480","9,750","9,870","9,440","285.52K","-1.46%"
"2024- 01- 03","9,620","9,230","10,380","9,230","2.38M","1.91%"
"2024- 01- 02","9,440","9,180","9,460","9,110","103.43K","3.06%"
