"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","15,740","15,730","15,790","15,670","73.90K","-0.06%"
"2024- 04- 29","15,750","15,630","15,750","15,540","48.37K","0.83%"
"2024- 04- 26","15,620","15,400","15,680","15,360","80.35K","1.43%"
"2024- 04- 25","15,400","15,240","15,410","15,110","36.30K","1.05%"
"2024- 04- 24","15,240","15,160","15,310","15,140","46.69K","0.40%"
"2024- 04- 23","15,180","15,110","15,380","15,030","56.19K","0.46%"
"2024- 04- 22","15,110","14,760","15,120","14,720","55.98K","2.37%"
"2024- 04- 19","14,760","14,520","14,840","14,500","62.66K","1.23%"
"2024- 04- 18","14,580","14,400","14,640","14,400","44.59K","1.18%"
"2024- 04- 17","14,410","14,600","14,650","14,410","93.38K","-0.96%"
"2024- 04- 16","14,550","14,600","14,630","14,460","81.86K","-0.48%"
"2024- 04- 15","14,620","14,570","14,710","14,460","116.74K","-0.68%"
"2024- 04- 12","14,720","15,100","15,150","14,680","93.73K","-2.19%"
"2024- 04- 11","15,050","15,080","15,210","14,980","60.09K","-0.99%"
"2024- 04- 09","15,200","15,330","15,470","15,120","76.97K","-0.72%"
"2024- 04- 08","15,310","15,550","15,630","15,310","48.91K","-1.42%"
"2024- 04- 05","15,530","15,510","15,660","15,470","46.56K","-0.26%"
"2024- 04- 04","15,570","15,220","16,300","15,220","130.92K","2.43%"
"2024- 04- 03","15,200","15,290","15,350","15,110","55.45K","-0.65%"
"2024- 04- 02","15,300","15,520","15,520","15,200","120.64K","-1.42%"
"2024- 04- 01","15,520","15,680","15,750","15,490","99.48K","-0.77%"
"2024- 03- 29","15,640","15,740","15,920","15,630","106.15K","-0.64%"
"2024- 03- 28","15,740","16,120","16,170","15,620","313.92K","-1.50%"
"2024- 03- 27","15,980","16,400","16,490","15,900","293.42K","-3.39%"
"2024- 03- 26","16,540","16,950","16,950","16,510","179.59K","-1.78%"
"2024- 03- 25","16,840","16,400","16,920","16,350","386.10K","-5.13%"
"2024- 03- 22","17,750","17,730","17,800","17,670","344.42K","0.00%"
"2024- 03- 21","17,750","17,730","17,830","17,690","200.47K","0.34%"
"2024- 03- 20","17,690","17,650","17,930","17,610","168.34K","0.06%"
"2024- 03- 19","17,680","17,740","17,870","17,610","207.87K","-0.28%"
"2024- 03- 18","17,730","17,920","18,000","17,410","200.77K","-1.06%"
"2024- 03- 15","17,920","17,770","18,100","17,640","260.18K","0.84%"
"2024- 03- 14","17,770","17,460","17,830","17,380","0.13K","1.89%"
"2024- 03- 13","17,440","17,100","17,550","17,040","103.50K","1.87%"
"2024- 03- 12","17,120","17,130","17,230","16,500","85.58K","-0.06%"
"2024- 03- 11","17,130","17,340","17,500","17,050","129.40K","-1.21%"
"2024- 03- 08","17,340","17,450","17,450","17,250","88.66K","-0.40%"
"2024- 03- 07","17,410","17,370","17,420","17,210","0.03K","0.29%"
"2024- 03- 06","17,360","17,400","17,500","17,220","134.71K","-0.23%"
"2024- 03- 05","17,400","16,990","17,450","16,920","218.80K","3.02%"
"2024- 03- 04","16,890","16,430","16,940","16,250","143.24K","2.80%"
"2024- 02- 29","16,430","16,110","16,500","16,040","125.60K","2.43%"
"2024- 02- 28","16,040","16,250","16,250","15,830","78.25K","-1.47%"
"2024- 02- 27","16,280","15,910","16,360","15,910","126.05K","2.33%"
"2024- 02- 26","15,910","16,270","16,270","15,880","123.88K","-2.63%"
"2024- 02- 23","16,340","16,070","16,410","15,990","144.37K","2.19%"
"2024- 02- 22","15,990","16,100","16,100","15,800","48.60K","-0.68%"
"2024- 02- 21","16,100","16,010","16,250","15,960","47.46K","0.56%"
"2024- 02- 20","16,010","16,020","16,130","15,950","95.46K","-0.19%"
"2024- 02- 19","16,040","15,900","16,200","15,900","61.18K","0.88%"
"2024- 02- 16","15,900","15,590","15,960","15,530","59.91K","1.79%"
"2024- 02- 15","15,620","16,100","16,100","15,590","0.08K","-2.92%"
"2024- 02- 14","16,090","16,200","16,310","16,070","65.89K","-0.86%"
"2024- 02- 13","16,230","15,900","16,230","15,900","117.77K","2.08%"
"2024- 02- 08","15,900","15,920","16,190","15,880","87.27K","-0.13%"
"2024- 02- 07","15,920","15,700","15,980","15,580","82.12K","1.21%"
"2024- 02- 06","15,730","15,700","15,910","15,640","81.54K","-0.82%"
"2024- 02- 05","15,860","15,860","15,990","15,600","83.23K","-0.13%"
"2024- 02- 02","15,880","16,020","16,040","15,570","169.94K","-1.00%"
"2024- 02- 01","16,040","15,280","16,280","15,280","346.14K","3.89%"
"2024- 01- 31","15,440","15,410","15,510","15,190","122.09K","0.19%"
"2024- 01- 30","15,410","15,180","15,920","15,170","492.77K","1.65%"
"2024- 01- 29","15,160","14,910","15,250","14,680","292.44K","2.29%"
"2024- 01- 26","14,820","14,300","14,840","14,300","326.81K","3.71%"
"2024- 01- 25","14,290","14,220","14,300","14,160","0.31K","0.63%"
"2024- 01- 24","14,200","14,140","14,220","14,060","49.54K","0.71%"
"2024- 01- 23","14,100","14,000","14,100","13,990","35.98K","0.71%"
"2024- 01- 22","14,000","14,040","14,060","14,000","31.06K","-0.28%"
"2024- 01- 19","14,040","13,960","14,040","13,940","27.40K","0.57%"
"2024- 01- 18","13,960","13,930","14,000","13,920","37.45K","-0.21%"
"2024- 01- 17","13,990","13,970","14,090","13,940","0.00K","0.21%"
"2024- 01- 16","13,960","14,040","14,080","13,950","47.07K","-0.57%"
"2024- 01- 15","14,040","14,090","14,110","14,010","35.44K","-0.35%"
"2024- 01- 12","14,090","14,060","14,120","14,010","30.07K","-0.07%"
"2024- 01- 11","14,100","13,980","14,310","13,970","103.66K","0.86%"
"2024- 01- 10","13,980","14,070","14,070","13,960","34.81K","-0.14%"
"2024- 01- 09","14,000","13,980","14,080","13,970","50.71K","0.14%"
"2024- 01- 08","13,980","14,000","14,140","13,960","49.89K","0.22%"
"2024- 01- 05","13,950","13,960","13,990","13,880","54.71K","-0.07%"
"2024- 01- 04","13,960","14,020","14,080","13,900","59.51K","-0.43%"
"2024- 01- 03","14,020","14,020","14,100","14,000","74.85K","0.00%"
"2024- 01- 02","14,020","14,270","14,320","14,020","154.47K","-1.96%"
