"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","14,970","14,910","14,980","14,870","21.68K","0.20%"
"2024- 05- 07","14,940","15,000","15,030","14,900","27.60K","-0.07%"
"2024- 05- 03","14,950","15,170","15,170","14,860","36.29K","-0.99%"
"2024- 05- 02","15,100","14,950","15,180","14,960","34.22K","0.94%"
"2024- 04- 30","14,960","14,970","15,050","14,950","30.02K","-0.13%"
"2024- 04- 29","14,980","14,900","15,080","14,910","18.78K","0.33%"
"2024- 04- 26","14,930","15,020","15,140","14,880","37.70K","-1.13%"
"2024- 04- 25","15,100","15,090","15,120","14,970","37.69K","0.20%"
"2024- 04- 24","15,070","15,180","15,200","14,930","51.61K","-0.20%"
"2024- 04- 23","15,100","15,160","15,260","15,040","73.62K","-0.85%"
"2024- 04- 22","15,230","14,980","15,610","14,970","233.09K","0.59%"
"2024- 04- 19","15,140","14,760","15,400","14,640","328.78K","2.57%"
"2024- 04- 18","14,760","14,710","14,850","14,580","109.33K","1.93%"
"2024- 04- 17","14,480","13,990","14,860","13,990","77.45K","3.50%"
"2024- 04- 16","13,990","14,200","14,200","13,960","55.05K","-1.82%"
"2024- 04- 15","14,250","14,070","14,340","14,030","29.69K","0.35%"
"2024- 04- 12","14,200","14,220","14,340","14,130","31.62K","-0.14%"
"2024- 04- 11","14,220","14,380","14,370","14,170","37.01K","-1.04%"
"2024- 04- 09","14,370","14,380","14,590","14,290","45.11K","0.00%"
"2024- 04- 08","14,370","14,510","14,590","14,370","71.56K","-0.96%"
"2024- 04- 05","14,510","14,640","14,640","14,470","59.59K","-0.89%"
"2024- 04- 04","14,640","14,780","14,880","14,640","50.47K","-0.75%"
"2024- 04- 03","14,750","14,770","14,870","14,600","45.33K","-0.94%"
"2024- 04- 02","14,890","15,040","15,040","14,810","78.61K","-1.00%"
"2024- 04- 01","15,040","14,900","15,140","14,860","33.42K","0.94%"
"2024- 03- 29","14,900","15,110","15,200","14,890","77.10K","-1.32%"
"2024- 03- 28","15,100","15,400","15,430","15,060","92.92K","-1.88%"
"2024- 03- 27","15,390","15,260","15,450","15,180","90.77K","0.92%"
"2024- 03- 26","15,250","15,460","15,460","15,180","87.32K","-0.97%"
"2024- 03- 25","15,400","15,310","15,480","15,220","96.59K","0.59%"
"2024- 03- 22","15,310","15,180","15,400","15,170","86.70K","0.59%"
"2024- 03- 21","15,220","15,290","15,340","15,210","63.45K","-0.20%"
"2024- 03- 20","15,250","15,130","15,430","15,120","98.97K","0.73%"
"2024- 03- 19","15,140","15,380","15,380","15,070","77.46K","-0.85%"
"2024- 03- 18","15,270","15,310","15,460","15,270","121.15K","0.79%"
"2024- 03- 17","15,150","15,150","15,150","15,150","","0.00%"
"2024- 03- 15","15,150","15,690","15,690","15,090","0.00K","0.20%"
"2024- 03- 14","15,120","15,190","15,240","14,940","0.24K","-0.40%"
"2024- 03- 13","15,180","15,250","15,260","15,060","63.89K","0.20%"
"2024- 03- 12","15,150","15,090","15,260","15,010","0.00K","0.20%"
"2024- 03- 11","15,120","15,070","15,450","15,070","0.00K","0.87%"
"2024- 03- 10","14,990","14,990","14,990","14,990","","0.00%"
"2024- 03- 08","14,990","14,700","14,990","14,650","67.82K","1.97%"
"2024- 03- 07","14,700","14,930","15,110","14,700","122.59K","-1.61%"
"2024- 03- 06","14,940","14,850","15,500","14,770","247.93K","1.15%"
"2024- 03- 05","14,770","14,680","16,300","14,650","1.38M","0.54%"
"2024- 03- 04","14,690","14,840","15,000","14,670","50.72K","-1.01%"
"2024- 03- 03","14,840","14,840","14,840","14,840","","0.00%"
"2024- 02- 29","14,840","14,800","15,040","14,700","52.73K","0.27%"
"2024- 02- 28","14,800","14,550","14,840","14,510","27.18K","1.72%"
"2024- 02- 27","14,550","14,650","14,760","14,500","72.89K","-1.09%"
"2024- 02- 26","14,710","14,760","14,830","14,650","32.85K","-0.27%"
"2024- 02- 23","14,750","14,950","15,030","14,700","78.11K","-1.47%"
"2024- 02- 22","14,970","14,980","15,050","14,910","22.29K","-0.07%"
"2024- 02- 21","14,980","15,000","15,030","14,940","36.55K","0.13%"
"2024- 02- 20","14,960","15,080","15,080","14,870","0.00K","-0.73%"
"2024- 02- 19","15,070","15,050","15,070","14,980","0.00K","0.27%"
"2024- 02- 18","15,030","15,030","15,030","15,030","","0.00%"
"2024- 02- 16","15,030","14,910","15,030","14,850","34.03K","0.40%"
"2024- 02- 15","14,970","15,050","15,050","14,850","44.54K","-0.53%"
"2024- 02- 14","15,050","15,000","15,070","14,900","32.60K","0.27%"
"2024- 02- 13","15,010","14,930","15,030","14,900","0.10K","0.60%"
"2024- 02- 12","14,920","14,920","14,920","14,920","","0.00%"
"2024- 02- 08","14,920","14,910","14,960","14,850","35.32K","0.13%"
"2024- 02- 07","14,900","14,810","14,990","14,780","29.24K","0.61%"
"2024- 02- 06","14,810","14,800","14,950","14,750","28.44K","-0.40%"
"2024- 02- 05","14,870","14,810","14,970","14,730","0.20K","0.88%"
"2024- 02- 04","14,740","14,740","14,740","14,740","","0.00%"
"2024- 02- 02","14,740","14,640","14,820","14,640","38.09K","0.82%"
"2024- 02- 01","14,620","14,570","14,690","14,520","59.66K","-0.20%"
"2024- 01- 31","14,650","14,750","15,000","14,560","49.94K","-1.74%"
"2024- 01- 30","14,910","14,820","14,930","14,810","31.52K","0.68%"
"2024- 01- 29","14,810","14,820","14,930","14,750","41.45K","-0.07%"
"2024- 01- 26","14,820","14,750","15,040","14,700","30.98K","0.47%"
