"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","43,350","43,400","43,900","43,200","28.15K","-0.57%"
"2024- 05- 07","43,600","43,800","44,100","43,450","35.43K","0.23%"
"2024- 05- 03","43,500","44,050","44,050","43,250","42.57K","-0.91%"
"2024- 05- 02","43,900","43,500","44,100","43,500","23.57K","0.34%"
"2024- 04- 30","43,750","44,500","44,700","43,400","60.49K","-1.69%"
"2024- 04- 29","44,500","44,100","44,500","43,700","56.89K","1.25%"
"2024- 04- 26","43,950","43,850","44,200","43,850","17.43K","-0.45%"
"2024- 04- 25","44,150","43,800","44,550","43,700","24.96K","-0.23%"
"2024- 04- 24","44,250","44,450","45,000","43,750","66.21K","0.68%"
"2024- 04- 23","43,950","42,600","45,300","42,550","225.72K","4.89%"
"2024- 04- 22","41,900","41,100","42,250","40,800","51.40K","2.95%"
"2024- 04- 19","40,700","40,300","40,950","39,850","37.85K","0.12%"
"2024- 04- 18","40,650","40,450","41,000","40,400","25.41K","-0.12%"
"2024- 04- 17","40,700","40,550","41,250","40,450","33.73K","0.37%"
"2024- 04- 16","40,550","39,050","40,800","39,050","51.88K","2.53%"
"2024- 04- 15","39,550","40,050","40,200","39,200","47.93K","-1.25%"
"2024- 04- 12","40,050","39,700","40,350","39,650","57.84K","1.65%"
"2024- 04- 11","39,400","39,650","40,000","39,300","50.26K","-1.99%"
"2024- 04- 09","40,200","40,500","40,600","40,000","20.12K","0.25%"
"2024- 04- 08","40,100","40,100","40,500","39,900","18.04K","-0.62%"
"2024- 04- 05","40,350","40,000","40,500","39,750","57.73K","0.00%"
"2024- 04- 04","40,350","40,750","40,950","40,150","40.29K","-0.37%"
"2024- 04- 03","40,500","41,400","41,400","40,400","54.37K","-2.17%"
"2024- 04- 02","41,400","41,650","42,400","41,250","65.59K","-0.96%"
"2024- 04- 01","41,800","41,500","42,100","41,300","47.59K","1.09%"
"2024- 03- 29","41,350","42,450","42,450","40,900","76.53K","-2.36%"
"2024- 03- 28","42,350","43,000","43,800","42,050","76.06K","-1.51%"
