"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","59,900","59,100","63,200","57,600","3.33M","6.96%"
"2024- 04- 29","56,000","56,100","57,400","55,200","265.90K","0.00%"
"2024- 04- 26","56,000","54,800","56,800","53,100","451.92K","4.48%"
"2024- 04- 25","53,600","53,200","53,900","52,000","176.92K","0.75%"
"2024- 04- 24","53,200","53,200","54,700","52,700","224.39K","0.76%"
"2024- 04- 23","52,800","54,500","55,500","52,800","263.83K","-2.04%"
"2024- 04- 22","53,900","54,300","55,100","52,700","262.74K","-1.46%"
"2024- 04- 19","54,700","57,100","58,300","53,700","671.88K","-3.87%"
"2024- 04- 18","56,900","54,700","57,900","54,200","480.33K","4.02%"
"2024- 04- 17","54,700","52,500","55,900","51,900","631.71K","4.39%"
"2024- 04- 16","52,400","55,100","56,400","50,900","897.81K","-6.76%"
"2024- 04- 15","56,200","57,600","61,000","55,500","1.04M","-4.26%"
"2024- 04- 12","58,700","56,500","59,700","55,200","1.42M","3.71%"
"2024- 04- 11","56,600","56,300","57,500","53,700","972.86K","-2.08%"
"2024- 04- 09","57,800","48,500","59,200","48,200","3.93M","17.84%"
"2024- 04- 08","49,050","50,500","50,900","48,550","364.97K","-2.10%"
"2024- 04- 05","50,100","52,700","54,800","49,650","980.53K","-6.00%"
"2024- 04- 04","53,300","44,300","53,900","44,250","2.77M","21.00%"
"2024- 04- 03","44,050","44,350","45,300","43,800","192.90K","-1.45%"
"2024- 04- 02","44,700","43,750","45,100","43,200","282.41K","2.64%"
"2024- 04- 01","43,550","43,950","45,300","43,300","278.24K","0.58%"
"2024- 03- 29","43,300","42,000","43,550","41,500","244.97K","3.22%"
"2024- 03- 28","41,950","42,100","42,500","41,500","162.75K","-0.83%"
"2024- 03- 27","42,300","42,600","43,000","41,700","112.94K","-0.12%"
"2024- 03- 26","42,350","43,050","43,300","42,050","264.95K","-1.74%"
"2024- 03- 25","43,100","43,500","43,650","42,250","186.95K","-0.81%"
"2024- 03- 22","43,450","44,150","44,750","43,350","152.33K","-1.59%"
"2024- 03- 21","44,150","44,800","45,900","43,700","226.43K","-0.90%"
"2024- 03- 20","44,550","44,800","45,450","44,550","136.26K","-0.56%"
"2024- 03- 19","44,800","43,950","45,750","43,750","186.47K","0.90%"
"2024- 03- 18","44,400","45,200","45,600","43,900","224.49K","-1.77%"
"2024- 03- 17","45,200","46,550","45,200","45,200","0.08K","0.00%"
"2024- 03- 15","45,200","46,550","47,500","45,150","355.55K","-2.38%"
"2024- 03- 14","46,300","45,550","48,200","44,450","0.16K","2.21%"
"2024- 03- 13","45,300","43,050","46,100","43,050","0.00K","6.09%"
"2024- 03- 12","42,700","42,350","43,350","41,400","0.20K","2.40%"
"2024- 03- 11","41,700","41,550","43,250","41,350","285.93K","-0.36%"
"2024- 03- 10","41,850","41,850","41,850","41,850","","0.00%"
"2024- 03- 08","41,850","42,900","43,300","41,450","368.04K","-2.22%"
"2024- 03- 07","42,800","45,000","45,500","42,000","0.04K","-4.36%"
"2024- 03- 06","44,750","45,200","46,200","44,000","229.95K","-0.89%"
"2024- 03- 05","45,150","46,000","46,300","44,850","218.92K","-2.69%"
"2024- 03- 04","46,400","46,050","47,750","45,850","0.18K","1.87%"
"2024- 03- 03","45,550","45,550","45,550","45,550","","0.00%"
"2024- 02- 29","45,550","45,200","46,400","44,400","340.62K","-0.22%"
"2024- 02- 28","45,650","47,100","47,750","45,200","0.00K","-4.00%"
"2024- 02- 27","47,550","50,600","50,600","47,250","0.02K","-5.65%"
"2024- 02- 26","50,400","50,500","51,500","50,000","216.13K","-1.95%"
"2024- 02- 25","51,400","51,400","51,400","51,400","","0.00%"
"2024- 02- 23","51,400","53,500","54,300","51,100","391.97K","-3.93%"
"2024- 02- 22","53,500","54,400","54,700","52,600","0.00K","0.00%"
"2024- 02- 21","53,500","55,200","55,700","52,800","620.11K","-4.12%"
"2024- 02- 20","55,800","50,400","56,300","50,400","0.52K","9.84%"
"2024- 02- 19","50,800","49,350","51,700","48,950","0.00K","1.20%"
"2024- 02- 18","50,200","50,200","50,200","50,200","","0.00%"
"2024- 02- 16","50,200","51,800","52,500","49,950","337.71K","-3.83%"
"2024- 02- 15","52,200","53,800","55,000","50,800","1.14K","0.00%"
"2024- 02- 14","52,200","50,200","52,500","49,750","0.09K","0.97%"
"2024- 02- 13","51,700","50,600","51,800","48,000","0.04K","3.82%"
