"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","38,400","38,150","38,500","37,500","97.41K","0.52%"
"2024- 04- 29","38,200","37,800","38,200","37,550","68.33K","2.00%"
"2024- 04- 26","37,450","37,350","37,700","36,850","61.42K","1.49%"
"2024- 04- 25","36,900","36,300","37,400","36,300","36.57K","0.41%"
"2024- 04- 24","36,750","36,500","37,000","36,150","59.46K","2.08%"
"2024- 04- 23","36,000","36,050","36,900","35,850","58.85K","-0.41%"
"2024- 04- 22","36,150","35,650","36,450","35,650","50.48K","0.98%"
"2024- 04- 19","35,800","36,900","37,300","35,300","142.16K","-4.28%"
"2024- 04- 18","37,400","37,600","38,000","37,050","79.77K","-0.13%"
"2024- 04- 17","37,450","37,000","38,000","36,950","49.90K","1.35%"
"2024- 04- 16","36,950","38,450","38,650","36,600","108.49K","-4.77%"
"2024- 04- 15","38,800","38,300","39,150","38,300","61.28K","-0.64%"
"2024- 04- 12","39,050","40,200","40,250","39,000","117.49K","0.39%"
"2024- 04- 11","38,900","38,550","39,650","37,950","117.25K","0.91%"
"2024- 04- 09","38,550","37,850","39,150","37,650","70.31K","1.85%"
"2024- 04- 08","37,850","39,100","39,100","37,500","72.40K","-2.45%"
"2024- 04- 05","38,800","38,200","39,450","38,000","100.76K","0.78%"
"2024- 04- 04","38,500","37,750","38,850","37,300","85.13K","3.22%"
"2024- 04- 03","37,300","38,400","38,450","37,100","109.36K","-2.86%"
"2024- 04- 02","38,400","39,150","39,150","38,200","75.27K","-1.92%"
"2024- 04- 01","39,150","38,100","39,250","37,650","140.64K","4.68%"
"2024- 03- 29","37,400","38,200","38,250","37,350","98.08K","-1.58%"
"2024- 03- 28","38,000","38,350","38,650","37,800","115.39K","-0.91%"
"2024- 03- 27","38,350","38,100","38,350","37,700","88.35K","1.05%"
"2024- 03- 26","37,950","38,000","38,400","37,700","79.38K","-0.13%"
"2024- 03- 25","38,000","38,300","38,550","37,700","93.28K","-0.39%"
"2024- 03- 22","38,150","40,250","40,400","38,000","281.68K","-5.45%"
"2024- 03- 21","40,350","40,800","41,150","40,300","69.47K","-0.12%"
