"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","4,300","4,300","4,300","4,010","0.20K","0.00%"
"2024- 05- 03","4,300","4,300","4,300","4,300","0.00K","0.00%"
"2024- 05- 02","4,300","4,300","4,300","4,010","0.05K","0.00%"
"2024- 04- 30","4,300","4,300","4,300","4,300","0.00K","0.00%"
"2024- 04- 29","4,300","4,300","4,300","4,300","0.00K","0.00%"
"2024- 04- 26","4,300","4,190","4,300","4,190","0.01K","2.63%"
"2024- 04- 25","4,190","4,200","4,200","4,000","0.60K","2.32%"
"2024- 04- 24","4,095","4,100","4,100","4,095","0.13K","0.00%"
"2024- 04- 23","4,095","4,100","4,100","3,815","0.64K","0.00%"
"2024- 04- 22","4,095","4,100","4,100","4,005","1.05K","-13.06%"
"2024- 04- 19","4,710","4,710","4,710","4,710","0.00K","14.88%"
"2024- 04- 18","4,100","4,100","4,100","4,100","0.00K","0.12%"
"2024- 04- 17","4,095","4,095","4,095","3,900","0.01K","5.00%"
"2024- 04- 16","3,900","4,095","4,095","4,090","0.67K","-4.29%"
"2024- 04- 15","4,075","3,950","4,100","3,950","1.10K","2.00%"
"2024- 04- 12","3,995","3,995","3,995","3,900","0.05K","-1.24%"
"2024- 04- 11","4,045","4,095","4,095","3,900","0.00K","-1.22%"
"2024- 04- 09","4,095","4,100","4,100","3,805","0.11K","-0.12%"
"2024- 04- 08","4,100","3,900","4,105","3,815","0.75K","-0.12%"
"2024- 04- 05","4,105","4,000","4,105","4,000","1.41K","1.48%"
"2024- 04- 04","4,045","4,055","4,055","3,820","0.44K","-0.25%"
"2024- 04- 03","4,055","4,085","4,085","4,055","0.14K","-1.10%"
"2024- 04- 02","4,100","4,100","4,100","3,805","0.65K","2.63%"
"2024- 04- 01","3,995","3,895","4,000","3,870","0.38K","2.57%"
"2024- 03- 29","3,895","3,900","3,900","3,895","0.05K","0.13%"
"2024- 03- 28","3,890","3,900","3,900","3,600","0.21K","-0.26%"
"2024- 03- 27","3,900","3,650","3,900","3,600","0.31K","5.55%"
"2024- 03- 26","3,695","3,695","3,695","3,400","0.01K","5.42%"
"2024- 03- 25","3,505","3,800","3,995","3,320","1.66K","-4.76%"
"2024- 03- 22","3,680","3,395","3,680","3,395","3.64K","15.00%"
"2024- 03- 21","3,200","3,325","3,400","2,830","2.48K","-3.76%"
"2024- 03- 20","3,325","3,800","3,990","3,325","8.83K","-14.96%"
"2024- 03- 19","3,910","4,345","4,345","3,910","15.47K","-15.00%"
"2024- 03- 18","4,600","4,200","4,600","4,200","1.09K","2.22%"
"2024- 03- 15","4,500","4,400","4,590","4,305","0.54K","-2.17%"
"2024- 03- 14","4,600","4,600","4,600","4,260","3.73K","-4.07%"
"2024- 03- 13","4,795","4,795","4,795","4,795","0.10K","0.00%"
"2024- 03- 12","4,795","4,800","4,800","4,600","0.61K","3.12%"
"2024- 03- 11","4,650","4,745","4,745","4,650","0.62K","-2.11%"
"2024- 03- 08","4,750","4,625","4,750","4,625","0.38K","-1.04%"
"2024- 03- 07","4,800","4,750","4,800","4,640","1.33K","0.42%"
"2024- 03- 06","4,780","4,700","4,900","4,600","2.17K","-4.40%"
"2024- 03- 05","5,000","5,000","5,000","4,700","0.01K","1.01%"
"2024- 03- 04","4,950","4,800","4,950","4,800","0.10K","0.00%"
"2024- 02- 29","4,950","4,900","4,950","4,850","1.64K","-0.80%"
"2024- 02- 28","4,990","4,990","4,990","4,990","0.00K","-1.58%"
"2024- 02- 27","5,070","4,900","5,070","4,900","0.10K","-0.59%"
"2024- 02- 26","5,100","5,100","5,100","5,100","0.00K","2.00%"
