"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,450","6,650","6,660","6,450","183.42K","-2.57%"
"2024- 05- 07","6,620","6,730","6,730","6,600","110.95K","-0.90%"
"2024- 05- 03","6,680","6,690","6,730","6,540","137.46K","0.15%"
"2024- 05- 02","6,670","6,620","6,700","6,510","239.50K","-0.15%"
"2024- 04- 30","6,680","6,870","6,880","6,650","263.03K","-2.48%"
"2024- 04- 29","6,850","6,750","6,890","6,750","155.25K","1.48%"
"2024- 04- 26","6,750","6,910","6,990","6,690","232.54K","-2.32%"
"2024- 04- 25","6,910","6,940","7,050","6,600","232.92K","-1.00%"
"2024- 04- 24","6,980","6,950","7,040","6,840","315.27K","1.75%"
"2024- 04- 23","6,860","6,990","7,110","6,780","609.07K","-0.15%"
"2024- 04- 22","6,870","6,610","7,040","6,610","690.56K","4.09%"
"2024- 04- 19","6,600","6,850","7,010","6,450","745.59K","-3.65%"
"2024- 04- 18","6,850","6,530","6,910","6,440","890.17K","4.90%"
"2024- 04- 17","6,530","6,250","6,560","6,190","591.43K","4.82%"
"2024- 04- 16","6,230","6,220","6,320","6,100","158.98K","-0.32%"
"2024- 04- 15","6,250","6,190","6,290","6,140","212.31K","0.00%"
"2024- 04- 12","6,250","6,200","6,300","6,170","210.24K","0.81%"
"2024- 04- 11","6,200","6,150","6,260","6,050","191.77K","0.49%"
"2024- 04- 09","6,170","6,120","6,230","6,090","159.39K","1.31%"
"2024- 04- 08","6,090","5,970","6,110","5,930","121.31K","2.87%"
"2024- 04- 05","5,920","6,000","6,000","5,860","156.67K","-1.66%"
"2024- 04- 04","6,020","6,060","6,170","6,010","150.41K","-1.15%"
"2024- 04- 03","6,090","6,110","6,150","6,010","188.85K","-1.14%"
"2024- 04- 02","6,160","6,370","6,430","6,110","452.76K","-2.84%"
"2024- 04- 01","6,340","6,260","6,450","6,260","358.63K","1.44%"
"2024- 03- 29","6,250","6,400","6,400","6,180","608.43K","-1.11%"
"2024- 03- 28","6,320","6,140","7,050","6,140","6.69M","2.43%"
"2024- 03- 27","6,170","6,160","6,250","6,070","229.93K","0.65%"
"2024- 03- 26","6,130","6,130","6,280","6,040","275.93K","-0.33%"
"2024- 03- 25","6,150","6,120","6,310","6,080","465.12K","0.65%"
"2024- 03- 22","6,110","6,160","6,600","6,060","3.71M","0.83%"
"2024- 03- 21","6,060","6,070","6,100","6,000","368.69K","0.33%"
"2024- 03- 20","6,040","6,040","6,190","5,970","707.78K","0.00%"
"2024- 03- 19","6,040","6,170","6,230","6,000","1.03M","-4.13%"
"2024- 03- 18","6,300","5,700","6,640","5,650","9.04M","13.31%"
"2024- 03- 17","5,560","5,560","5,560","5,560","","0.00%"
"2024- 03- 15","5,560","5,650","5,650","5,540","53.55K","-1.77%"
"2024- 03- 14","5,660","5,650","5,760","5,590","54.44K","0.35%"
"2024- 03- 13","5,640","5,660","5,660","5,550","58.67K","-0.35%"
"2024- 03- 12","5,660","5,690","5,690","5,550","43.96K","-0.18%"
"2024- 03- 11","5,670","5,690","5,740","5,650","58.38K","-0.18%"
"2024- 03- 08","5,680","5,610","5,690","5,590","48.42K","1.25%"
"2024- 03- 07","5,610","5,640","5,700","5,520","100.73K","0.00%"
"2024- 03- 06","5,610","5,580","5,690","5,500","55.92K","0.54%"
"2024- 03- 05","5,580","5,490","5,630","5,490","79.85K","1.82%"
"2024- 03- 04","5,480","5,390","5,520","5,390","69.01K","1.48%"
"2024- 02- 29","5,400","5,370","5,460","5,340","84.29K","0.75%"
"2024- 02- 28","5,360","5,440","5,530","5,320","174.12K","-3.25%"
"2024- 02- 27","5,540","5,680","5,690","5,510","101.19K","-2.81%"
"2024- 02- 26","5,700","5,610","5,720","5,510","94.91K","2.52%"
"2024- 02- 23","5,560","5,670","5,670","5,500","115.83K","-1.42%"
"2024- 02- 22","5,640","5,750","5,780","5,570","128.10K","-2.25%"
"2024- 02- 21","5,770","5,770","5,860","5,740","67.86K","0.17%"
"2024- 02- 20","5,760","5,790","5,850","5,760","67.96K","-0.69%"
"2024- 02- 19","5,800","5,740","5,830","5,730","46.71K","1.05%"
"2024- 02- 16","5,740","5,730","5,740","5,670","41.62K","0.53%"
"2024- 02- 15","5,710","5,780","5,800","5,700","55.56K","-0.87%"
"2024- 02- 14","5,760","5,700","5,770","5,650","45.35K","-0.17%"
"2024- 02- 13","5,770","5,690","5,780","5,660","42.57K","1.41%"
"2024- 02- 08","5,690","5,770","5,770","5,630","106.08K","-1.39%"
"2024- 02- 07","5,770","5,770","5,800","5,700","71.39K","0.00%"
"2024- 02- 06","5,770","5,810","5,820","5,700","114.70K","-0.86%"
"2024- 02- 05","5,820","5,940","5,940","5,740","81.50K","-1.69%"
"2024- 02- 04","5,920","5,920","5,920","5,920","","0.00%"
"2024- 02- 02","5,920","5,760","5,970","5,720","163.84K","3.68%"
"2024- 02- 01","5,710","5,700","5,940","5,670","72.70K","0.18%"
"2024- 01- 31","5,700","5,920","5,990","5,700","144.49K","-3.72%"
"2024- 01- 30","5,920","5,830","5,930","5,680","179.54K","2.60%"
"2024- 01- 29","5,770","5,880","6,190","5,740","717.37K","-1.87%"
"2024- 01- 26","5,880","5,920","5,990","5,830","226.22K","-0.84%"
"2024- 01- 25","5,930","5,930","6,010","5,800","412.59K","2.24%"
"2024- 01- 24","5,800","5,770","6,460","5,750","3.42M","3.39%"
"2024- 01- 23","5,610","5,760","5,760","5,350","101.15K","-1.75%"
"2024- 01- 22","5,710","5,750","5,820","5,690","76.06K","-0.70%"
"2024- 01- 21","5,750","5,750","5,750","5,750","","0.00%"
"2024- 01- 19","5,750","5,690","5,790","5,650","64.12K","1.05%"
"2024- 01- 18","5,690","5,500","5,810","5,480","76.60K","2.71%"
"2024- 01- 17","5,540","5,840","5,840","5,480","127.16K","-3.99%"
"2024- 01- 16","5,770","5,730","5,870","5,690","55.03K","0.17%"
"2024- 01- 15","5,760","5,790","5,840","5,700","74.33K","-1.03%"
