"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","16,850","16,870","16,940","16,730","47.80K","0.30%"
"2024- 05- 07","16,800","17,050","17,140","16,650","171.67K","-1.12%"
"2024- 05- 03","16,990","16,630","16,990","16,640","138.30K","2.60%"
"2024- 05- 02","16,560","16,510","16,750","16,440","99.17K","0.49%"
"2024- 04- 30","16,480","16,600","16,600","16,320","97.12K","-0.72%"
"2024- 04- 29","16,600","16,380","16,600","16,280","126.76K","1.97%"
"2024- 04- 26","16,280","15,940","16,430","15,920","98.62K","2.13%"
"2024- 04- 25","15,940","16,190","16,270","15,940","71.51K","-2.27%"
"2024- 04- 24","16,310","16,410","16,490","16,130","96.97K","-0.37%"
"2024- 04- 23","16,370","16,280","16,410","16,200","74.41K","0.31%"
"2024- 04- 22","16,320","16,300","16,450","16,120","127.83K","1.62%"
"2024- 04- 19","16,060","16,120","16,360","15,990","124.81K","-1.35%"
"2024- 04- 18","16,280","15,870","16,380","15,760","96.78K","3.50%"
"2024- 04- 17","15,730","15,900","15,990","15,730","67.02K","-0.06%"
"2024- 04- 16","15,740","15,710","15,920","15,700","71.15K","-0.88%"
"2024- 04- 15","15,880","16,100","16,180","15,800","72.67K","-1.37%"
"2024- 04- 12","16,100","16,110","16,500","16,050","70.07K","-0.74%"
"2024- 04- 11","16,220","16,100","16,340","15,850","94.13K","0.75%"
"2024- 04- 09","16,100","16,320","16,320","16,000","81.78K","-0.74%"
"2024- 04- 08","16,220","16,550","16,650","16,130","208.27K","-1.93%"
"2024- 04- 05","16,540","16,570","16,800","16,480","122.18K","-0.48%"
"2024- 04- 04","16,620","16,920","16,920","16,510","167.54K","-0.84%"
"2024- 04- 03","16,760","16,730","16,890","16,610","136.67K","0.18%"
"2024- 04- 02","16,730","17,020","17,020","16,650","136.07K","-1.12%"
"2024- 04- 01","16,920","16,680","17,160","16,670","179.40K","1.44%"
"2024- 03- 29","16,680","17,170","17,190","16,620","176.00K","-2.34%"
"2024- 03- 28","17,080","16,890","17,240","16,890","214.89K","0.95%"
"2024- 03- 27","16,920","16,930","17,080","16,750","205.63K","-0.41%"
"2024- 03- 26","16,990","17,290","17,300","16,950","188.68K","-0.93%"
"2024- 03- 25","17,150","16,720","17,210","16,540","234.18K","2.82%"
"2024- 03- 22","16,680","16,270","16,710","16,120","250.65K","2.52%"
"2024- 03- 21","16,270","16,320","16,470","16,210","210.56K","0.00%"
"2024- 03- 20","16,270","16,240","16,380","16,140","155.31K","1.50%"
"2024- 03- 19","16,030","16,040","16,130","15,880","67.79K","-0.87%"
"2024- 03- 18","16,170","15,870","16,240","15,870","131.70K","1.89%"
"2024- 03- 17","15,870","15,870","15,870","15,870","","-0.81%"
"2024- 03- 15","16,000","15,870","16,120","15,710","6.88K","0.00%"
"2024- 03- 14","16,000","16,020","16,190","15,960","127.74K","-0.87%"
"2024- 03- 13","16,140","16,100","16,240","15,950","126.81K","0.88%"
"2024- 03- 12","16,000","16,010","16,240","15,880","104.34K","0.25%"
"2024- 03- 11","15,960","15,900","16,150","15,900","109.50K","0.50%"
"2024- 03- 10","15,880","15,880","15,880","15,880","","0.00%"
"2024- 03- 08","15,880","15,700","16,050","15,700","89.00K","1.28%"
"2024- 03- 07","15,680","15,750","15,990","15,510","184.41K","-1.07%"
"2024- 03- 06","15,850","15,760","15,970","15,610","195.61K","0.06%"
"2024- 03- 05","15,840","16,000","16,130","14,990","485.12K","-1.80%"
"2024- 03- 04","16,130","16,870","16,870","16,050","492.44K","-2.30%"
"2024- 02- 29","16,510","16,530","16,930","16,510","225.26K","-0.60%"
"2024- 02- 28","16,610","16,800","16,890","16,500","297.40K","0.00%"
"2024- 02- 27","16,610","18,700","18,700","16,560","2.00K","-9.68%"
"2024- 02- 26","18,390","18,070","18,970","17,970","294.25K","2.00%"
"2024- 02- 25","18,030","18,030","18,030","18,030","","0.00%"
"2024- 02- 23","18,030","17,610","18,250","17,500","232.51K","2.39%"
"2024- 02- 22","17,610","17,870","17,870","17,410","224.06K","-1.51%"
"2024- 02- 21","17,880","18,270","18,640","17,750","216.73K","-3.09%"
"2024- 02- 20","18,450","18,770","19,080","18,420","153.69K","-1.44%"
"2024- 02- 19","18,720","18,860","19,000","18,710","0.04K","-0.69%"
"2024- 02- 16","18,850","18,900","19,310","18,620","238.01K","-0.37%"
"2024- 02- 15","18,920","18,340","19,600","18,340","0.00K","4.70%"
"2024- 02- 14","18,070","17,700","18,200","17,700","0.05K","1.23%"
"2024- 02- 13","17,850","17,800","17,910","17,610","111.11K","1.36%"
"2024- 02- 08","17,610","17,640","17,780","17,450","109.01K","-0.23%"
"2024- 02- 07","17,650","17,990","17,990","17,570","131.98K","-0.79%"
"2024- 02- 06","17,790","17,900","18,080","17,550","143.63K","-0.06%"
"2024- 02- 05","17,800","17,280","18,050","17,210","0.06K","2.12%"
"2024- 02- 02","17,430","18,050","18,360","17,400","308.16K","-1.47%"
"2024- 02- 01","17,690","17,880","18,100","17,280","257.39K","-1.23%"
"2024- 01- 31","17,910","18,400","18,400","17,850","0.16K","-2.56%"
"2024- 01- 30","18,380","18,180","18,680","18,100","145.86K","1.10%"
"2024- 01- 29","18,180","18,400","18,820","18,090","234.95K","-1.94%"
"2024- 01- 28","18,540","18,540","18,540","18,540","","0.00%"
"2024- 01- 26","18,540","17,930","18,620","17,820","371.04K","4.16%"
"2024- 01- 25","17,800","17,490","17,950","17,370","174.16K","0.85%"
"2024- 01- 24","17,650","18,080","18,080","17,490","198.86K","-1.45%"
"2024- 01- 23","17,910","17,710","18,150","17,560","199.42K","2.11%"
"2024- 01- 22","17,540","17,620","17,970","17,320","155.71K","0.29%"
