"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","107,300","107,800","107,700","106,400","4.48K","-0.28%"
"2024- 05- 07","107,600","109,400","109,400","107,100","5.81K","-0.09%"
"2024- 05- 03","107,700","109,800","110,300","107,000","9.11K","-1.46%"
"2024- 05- 02","109,300","111,200","111,200","109,000","9.23K","-1.09%"
"2024- 04- 30","110,500","111,600","113,000","110,300","8.95K","-0.99%"
"2024- 04- 29","111,600","111,000","112,300","110,200","6.39K","-0.62%"
"2024- 04- 26","112,300","112,600","114,200","112,300","2.99K","-1.49%"
"2024- 04- 25","114,000","115,200","115,200","112,900","1.36K","-0.35%"
"2024- 04- 24","114,400","114,300","114,400","113,000","1.07K","0.35%"
"2024- 04- 23","114,000","114,000","114,600","112,400","1.57K","0.26%"
"2024- 04- 22","113,700","114,200","115,400","112,500","2.26K","-0.44%"
"2024- 04- 19","114,200","116,000","116,000","113,400","2.08K","-1.47%"
"2024- 04- 18","115,900","112,300","115,900","112,300","4.87K","2.39%"
"2024- 04- 17","113,200","112,900","115,100","112,900","1.81K","0.35%"
"2024- 04- 16","112,800","112,800","115,200","110,000","5.72K","0.00%"
"2024- 04- 15","112,800","114,400","115,000","112,500","3.18K","-2.34%"
"2024- 04- 12","115,500","117,500","118,300","114,400","4.11K","-2.94%"
"2024- 04- 11","119,000","119,500","119,500","115,200","14.02K","0.68%"
"2024- 04- 09","118,200","112,100","119,500","112,100","16.75K","3.96%"
"2024- 04- 08","113,700","114,700","114,700","112,800","2.95K","-0.26%"
"2024- 04- 05","114,000","113,500","114,300","111,700","4.59K","0.44%"
"2024- 04- 04","113,500","115,300","116,500","112,300","16.23K","-2.66%"
"2024- 04- 03","116,600","117,600","117,600","115,100","6.40K","-0.34%"
"2024- 04- 02","117,000","118,900","118,900","115,600","5.62K","-1.68%"
"2024- 04- 01","119,000","120,000","120,000","116,500","4.96K","0.85%"
"2024- 03- 29","118,000","116,700","121,400","116,700","10.52K","0.34%"
"2024- 03- 28","117,600","117,600","119,100","117,200","8.13K","0.00%"
"2024- 03- 27","117,600","116,000","118,900","114,600","7.68K","1.91%"
"2024- 03- 26","115,400","115,300","115,800","113,500","3.16K","0.96%"
