"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","5,320","5,370","5,420","5,230","129.75K","-0.75%"
"2024- 04- 29","5,360","5,320","5,360","5,230","85.21K","0.37%"
"2024- 04- 26","5,340","5,350","5,400","5,300","68.73K","-0.19%"
"2024- 04- 25","5,350","5,240","5,360","5,220","72.54K","2.10%"
"2024- 04- 24","5,240","5,220","5,300","5,170","50.35K","-0.19%"
"2024- 04- 23","5,250","5,250","5,420","5,230","174.80K","-0.94%"
"2024- 04- 22","5,300","4,975","5,330","4,975","328.51K","7.07%"
"2024- 04- 19","4,950","4,930","4,970","4,830","148.75K","0.30%"
"2024- 04- 18","4,935","4,920","4,980","4,900","128.17K","0.41%"
"2024- 04- 17","4,915","5,040","5,080","4,905","160.44K","-3.25%"
"2024- 04- 16","5,080","5,080","5,230","5,010","136.45K","-0.78%"
"2024- 04- 15","5,120","5,040","5,220","4,985","157.01K","1.39%"
"2024- 04- 12","5,050","5,170","5,180","4,980","186.01K","-1.56%"
"2024- 04- 11","5,130","5,190","5,210","5,030","120.15K","-1.16%"
"2024- 04- 09","5,190","5,300","5,350","5,190","166.91K","-0.95%"
"2024- 04- 08","5,240","5,110","5,350","5,110","254.95K","1.75%"
"2024- 04- 05","5,150","5,080","5,280","5,060","247.78K","1.18%"
"2024- 04- 04","5,090","5,090","5,230","5,070","251.24K","-0.20%"
"2024- 04- 03","5,100","5,240","5,250","5,100","505.69K","-2.67%"
"2024- 04- 02","5,240","5,450","5,540","5,170","891.56K","-10.27%"
"2024- 04- 01","5,840","5,790","5,950","5,740","637.34K","0.69%"
"2024- 03- 29","5,800","5,840","5,860","5,710","250.15K","-0.51%"
"2024- 03- 28","5,830","5,820","5,910","5,630","532.72K","1.04%"
"2024- 03- 27","5,770","6,080","6,110","5,700","625.21K","-5.25%"
"2024- 03- 26","6,090","6,240","6,300","6,060","251.59K","-2.56%"
"2024- 03- 25","6,250","6,340","6,400","6,170","225.96K","-1.42%"
"2024- 03- 22","6,340","6,320","6,400","6,210","194.70K","0.32%"
"2024- 03- 21","6,320","6,010","6,380","6,010","463.05K","5.16%"
"2024- 03- 20","6,010","6,100","6,150","5,960","230.27K","-0.50%"
"2024- 03- 19","6,040","6,060","6,130","6,000","177.01K","-0.49%"
"2024- 03- 18","6,070","6,250","6,260","6,020","275.37K","-2.72%"
"2024- 03- 15","6,240","6,370","6,460","6,240","306.65K","-1.73%"
"2024- 03- 14","6,350","6,210","6,400","6,160","0.12K","2.42%"
"2024- 03- 13","6,200","6,180","6,280","6,130","165.89K","0.32%"
"2024- 03- 12","6,180","6,350","6,450","6,000","447.26K","-2.98%"
"2024- 03- 11","6,370","6,330","6,410","6,300","296.16K","0.31%"
"2024- 03- 08","6,350","6,390","6,500","6,320","468.90K","-0.16%"
"2024- 03- 07","6,360","6,390","6,420","6,210","349.67K","0.00%"
"2024- 03- 06","6,360","6,150","6,440","6,070","551.16K","3.92%"
"2024- 03- 05","6,120","6,080","6,180","6,020","360.96K","-0.33%"
"2024- 03- 04","6,140","5,850","6,150","5,790","0.06K","5.50%"
"2024- 02- 29","5,820","5,550","5,850","5,540","1.08M","4.86%"
"2024- 02- 28","5,550","5,300","5,700","5,290","678.56K","4.72%"
"2024- 02- 27","5,300","5,360","5,420","5,230","346.08K","-1.12%"
"2024- 02- 26","5,360","5,480","5,480","5,200","0.02K","-2.19%"
"2024- 02- 25","5,480","5,480","5,480","5,480","","0.00%"
"2024- 02- 23","5,480","5,440","5,550","5,420","350.25K","1.11%"
"2024- 02- 22","5,420","5,400","5,470","5,320","271.19K","-0.18%"
"2024- 02- 21","5,430","5,500","5,620","5,370","336.23K","-1.81%"
"2024- 02- 20","5,530","5,660","5,700","5,470","0.00K","-1.78%"
"2024- 02- 19","5,630","5,490","5,780","5,450","547.65K","2.18%"
"2024- 02- 16","5,510","5,250","5,540","5,220","495.70K","5.35%"
"2024- 02- 15","5,230","5,220","5,380","5,150","244.47K","0.19%"
"2024- 02- 14","5,220","5,300","5,430","5,160","331.32K","-2.25%"
"2024- 02- 13","5,340","5,220","5,470","5,200","1.13M","3.29%"
"2024- 02- 08","5,170","5,150","5,220","5,090","211.39K","1.17%"
"2024- 02- 07","5,110","5,060","5,150","4,985","258.99K","2.20%"
"2024- 02- 06","5,000","5,200","5,330","5,000","474.22K","-3.66%"
"2024- 02- 05","5,190","5,240","5,280","5,080","0.10K","-0.57%"
"2024- 02- 02","5,220","5,380","5,440","5,150","747.56K","-2.97%"
