"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","75,000.00","76,400.00","76,600.00","74,500.00","274.48K","-1.57%"
"2024- 05- 07","76,200.00","75,800.00","76,800.00","74,700.00","442.72K","1.20%"
"2024- 05- 03","75,300.00","73,200.00","76,000.00","72,800.00","605.22K","3.43%"
"2024- 05- 02","72,800.00","72,400.00","73,000.00","71,800.00","168.55K","1.11%"
"2024- 04- 30","72,000.00","73,100.00","74,400.00","71,800.00","382.97K","-1.37%"
"2024- 04- 29","73,000.00","72,900.00","73,200.00","71,800.00","223.98K","1.67%"
"2024- 04- 26","71,800.00","73,200.00","73,200.00","71,500.00","206.43K","-0.55%"
"2024- 04- 25","72,200.00","72,600.00","74,300.00","71,600.00","253.29K","-1.63%"
"2024- 04- 24","73,400.00","72,900.00","73,500.00","72,200.00","262.08K","2.23%"
"2024- 04- 23","71,800.00","72,900.00","73,700.00","71,800.00","228.11K","-0.55%"
"2024- 04- 22","72,200.00","71,000.00","72,500.00","71,000.00","264.55K","2.27%"
"2024- 04- 19","70,600.00","72,400.00","72,400.00","69,100.00","481.30K","-2.89%"
"2024- 04- 18","72,700.00","71,100.00","72,800.00","71,100.00","229.88K","2.25%"
"2024- 04- 17","71,100.00","70,600.00","73,500.00","70,500.00","459.71K","0.85%"
"2024- 04- 16","70,500.00","73,400.00","73,800.00","70,200.00","641.76K","-5.50%"
"2024- 04- 15","74,600.00","75,400.00","75,500.00","73,900.00","373.27K","-2.99%"
"2024- 04- 12","76,900.00","73,800.00","77,500.00","72,800.00","752.98K","4.91%"
"2024- 04- 11","73,300.00","72,300.00","73,700.00","70,900.00","328.89K","0.41%"
"2024- 04- 09","73,000.00","74,700.00","75,600.00","72,500.00","582.92K","-2.14%"
"2024- 04- 08","74,600.00","75,000.00","77,000.00","74,500.00","804.86K","-0.13%"
"2024- 04- 05","74,700.00","75,600.00","78,000.00","74,300.00","2.11M","-7.09%"
"2024- 04- 04","80,400.00","82,200.00","82,500.00","80,100.00","367.26K","-0.99%"
"2024- 04- 03","81,200.00","81,000.00","83,300.00","79,600.00","545.99K","-0.61%"
"2024- 04- 02","81,700.00","84,000.00","84,200.00","81,500.00","694.43K","-3.77%"
"2024- 04- 01","84,900.00","88,500.00","88,800.00","84,900.00","929.44K","-3.74%"
"2024- 03- 29","88,200.00","88,300.00","91,700.00","88,100.00","862.50K","-0.11%"
"2024- 03- 28","88,300.00","89,700.00","90,000.00","87,500.00","577.94K","-1.23%"
"2024- 03- 27","89,400.00","90,800.00","91,300.00","89,100.00","513.93K","-1.65%"
"2024- 03- 26","90,900.00","92,000.00","93,100.00","89,800.00","862.49K","0.00%"
"2024- 03- 25","90,900.00","92,400.00","92,800.00","88,900.00","740.61K","-1.30%"
"2024- 03- 22","92,100.00","93,000.00","95,800.00","91,300.00","1.54M","0.33%"
"2024- 03- 21","91,800.00","94,300.00","94,300.00","90,400.00","969.44K","-1.82%"
"2024- 03- 20","93,500.00","95,000.00","95,600.00","92,200.00","829.87K","-0.32%"
"2024- 03- 19","93,800.00","93,800.00","95,900.00","91,600.00","1.87M","0.86%"
"2024- 03- 18","93,000.00","87,800.00","93,400.00","87,800.00","1.47M","6.77%"
"2024- 03- 17","87,100.00","87,100.00","87,100.00","87,100.00","","0.00%"
"2024- 03- 15","87,100.00","91,000.00","94,000.00","87,100.00","1.64M","-5.33%"
"2024- 03- 14","92,000.00","90,000.00","94,500.00","89,700.00","2.71M","2.34%"
"2024- 03- 13","89,900.00","87,000.00","91,000.00","85,900.00","2.29M","4.66%"
"2024- 03- 12","85,900.00","89,000.00","89,100.00","85,200.00","1.27M","-3.48%"
"2024- 03- 11","89,000.00","82,700.00","89,800.00","81,100.00","3.03M","8.01%"
"2024- 03- 10","82,400.00","82,400.00","82,400.00","82,400.00","","0.00%"
"2024- 03- 08","82,400.00","80,000.00","82,600.00","78,800.00","1.33M","3.78%"
"2024- 03- 07","79,400.00","81,200.00","81,200.00","78,500.00","583.42K","-1.61%"
"2024- 03- 06","80,700.00","77,300.00","80,700.00","77,100.00","871.95K","3.20%"
"2024- 03- 05","78,200.00","79,200.00","81,400.00","77,300.00","973.39K","-0.51%"
"2024- 03- 04","78,600.00","74,400.00","78,900.00","74,200.00","967.16K","6.36%"
"2024- 03- 03","73,900.00","73,900.00","73,900.00","73,900.00","","0.00%"
"2024- 02- 29","73,900.00","74,200.00","75,200.00","73,300.00","407.29K","-1.20%"
"2024- 02- 28","74,800.00","76,700.00","77,000.00","74,500.00","521.97K","-1.97%"
"2024- 02- 27","76,300.00","77,800.00","78,400.00","74,800.00","702.61K","-1.93%"
"2024- 02- 26","77,800.00","79,200.00","80,100.00","77,700.00","439.09K","-1.64%"
"2024- 02- 25","79,100.00","79,100.00","79,100.00","79,100.00","","0.00%"
"2024- 02- 23","79,100.00","81,700.00","81,900.00","78,600.00","661.27K","-2.71%"
"2024- 02- 22","81,300.00","78,300.00","81,300.00","77,800.00","875.06K","4.90%"
"2024- 02- 21","77,500.00","79,300.00","79,900.00","77,500.00","716.94K","-2.27%"
"2024- 02- 20","79,300.00","79,200.00","81,700.00","79,000.00","670.03K","-0.63%"
"2024- 02- 19","79,800.00","80,200.00","81,000.00","78,600.00","757.32K","-1.60%"
"2024- 02- 18","81,100.00","81,100.00","81,100.00","81,100.00","","0.00%"
"2024- 02- 16","81,100.00","84,300.00","84,700.00","80,700.00","1.07M","-3.11%"
"2024- 02- 15","83,700.00","84,700.00","86,300.00","82,200.00","2.10M","1.09%"
"2024- 02- 14","82,800.00","75,800.00","85,000.00","74,800.00","5.57M","7.53%"
