"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","9,910","9,930","10,010","9,910","4.24K","-0.90%"
"2024- 05- 07","10,000","10,010","10,060","9,960","6.07K","0.10%"
"2024- 05- 03","9,990","10,150","10,150","9,950","3.08K","-1.48%"
"2024- 05- 02","10,140","10,290","10,290","10,030","5.03K","-0.78%"
"2024- 04- 30","10,220","10,090","10,330","10,080","21.45K","2.30%"
"2024- 04- 29","9,990","10,060","10,070","9,850","11.70K","0.30%"
"2024- 04- 26","9,960","9,940","10,060","9,850","5.21K","1.22%"
"2024- 04- 25","9,840","9,860","9,950","9,640","2.24K","0.10%"
"2024- 04- 24","9,830","9,770","9,840","9,600","4.46K","1.65%"
"2024- 04- 23","9,670","9,820","9,820","9,600","27.91K","-0.31%"
"2024- 04- 22","9,700","9,830","9,830","9,680","14.05K","0.00%"
"2024- 04- 19","9,700","9,870","9,870","9,650","3.20K","-1.22%"
"2024- 04- 18","9,820","9,800","9,860","9,750","6.67K","0.61%"
"2024- 04- 17","9,760","9,650","9,840","9,610","5.42K","1.14%"
"2024- 04- 16","9,650","9,720","9,840","9,600","16.43K","-1.73%"
"2024- 04- 15","9,820","10,010","10,010","9,730","16.50K","-0.91%"
"2024- 04- 12","9,910","9,940","10,060","9,700","15.46K","-0.30%"
"2024- 04- 11","9,940","9,940","9,950","9,670","7.59K","0.00%"
"2024- 04- 09","9,940","9,960","10,090","9,600","33.81K","-1.00%"
"2024- 04- 08","10,040","10,200","10,200","9,980","6.25K","-0.99%"
"2024- 04- 05","10,140","10,200","10,210","10,090","6.01K","-0.59%"
"2024- 04- 04","10,200","10,020","10,200","9,970","23.08K","1.80%"
"2024- 04- 03","10,020","10,060","10,060","9,910","11.47K","0.00%"
"2024- 04- 02","10,020","10,070","10,170","9,980","4.62K","-1.76%"
"2024- 04- 01","10,200","10,160","10,300","9,950","13.33K","0.39%"
"2024- 03- 29","10,160","10,110","10,200","9,960","20.05K","1.50%"
"2024- 03- 28","10,010","10,150","10,150","9,940","10.67K","-0.60%"
"2024- 03- 27","10,070","9,970","10,140","9,960","5.21K","1.51%"
"2024- 03- 26","9,920","9,990","10,150","9,920","16.33K","-0.30%"
"2024- 03- 25","9,950","10,040","10,040","9,930","13.04K","-0.90%"
"2024- 03- 22","10,040","10,080","10,080","9,950","12.41K","-0.40%"
"2024- 03- 21","10,080","9,870","10,080","9,870","22.41K","1.51%"
"2024- 03- 20","9,930","9,940","10,000","9,870","12.57K","0.30%"
"2024- 03- 19","9,900","9,900","10,000","9,840","8.04K","0.00%"
"2024- 03- 18","9,900","10,000","10,000","9,750","17.78K","-0.40%"
"2024- 03- 15","9,940","9,980","10,000","9,830","23.14K","-0.20%"
"2024- 03- 14","9,960","10,150","10,150","9,910","23.26K","-1.87%"
"2024- 03- 13","10,150","10,250","10,250","10,000","16.43K","-0.39%"
"2024- 03- 12","10,190","10,270","10,270","10,140","3.67K","-0.59%"
"2024- 03- 11","10,250","10,110","10,320","10,110","3.63K","0.59%"
"2024- 03- 08","10,190","10,280","10,280","10,100","5.93K","0.30%"
"2024- 03- 07","10,160","10,370","10,370","10,160","8.57K","-1.84%"
