"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","26,550","27,100","28,200","26,250","502.71K","1.53%"
"2024- 05- 07","26,150","25,800","26,650","25,400","139.62K","3.36%"
"2024- 05- 03","25,300","26,000","26,550","25,150","99.08K","-2.13%"
"2024- 05- 02","25,850","24,700","25,900","24,450","71.77K","4.44%"
"2024- 04- 30","24,750","24,600","24,850","23,950","79.98K","1.23%"
"2024- 04- 29","24,450","25,250","25,650","24,350","79.87K","-2.98%"
"2024- 04- 26","25,200","25,050","25,600","24,850","79.80K","1.20%"
"2024- 04- 25","24,900","24,550","25,150","24,100","83.98K","1.01%"
"2024- 04- 24","24,650","24,650","25,100","24,350","48.80K","1.02%"
"2024- 04- 23","24,400","24,650","25,100","24,350","75.37K","-0.81%"
"2024- 04- 22","24,600","24,550","25,150","24,100","81.67K","1.65%"
"2024- 04- 19","24,200","25,200","25,600","23,750","122.12K","-2.22%"
"2024- 04- 18","24,750","24,050","25,350","24,000","118.34K","2.91%"
"2024- 04- 17","24,050","22,900","25,650","22,800","456.02K","6.65%"
"2024- 04- 16","22,550","22,300","23,650","22,200","87.13K","-0.88%"
"2024- 04- 15","22,750","22,450","22,950","21,900","69.97K","-0.66%"
"2024- 04- 12","22,900","21,800","24,400","21,550","512.29K","6.26%"
"2024- 04- 11","21,550","22,550","22,550","21,550","95.56K","-4.43%"
"2024- 04- 09","22,550","22,250","22,900","21,800","87.24K","2.50%"
"2024- 04- 08","22,000","24,100","24,150","22,000","201.95K","-8.52%"
"2024- 04- 05","24,050","23,650","24,400","23,300","78.98K","1.05%"
"2024- 04- 04","23,800","24,250","24,500","23,450","93.97K","-1.86%"
"2024- 04- 03","24,250","24,050","24,900","23,500","135.05K","1.04%"
"2024- 04- 02","24,000","26,650","26,850","23,700","395.30K","-12.09%"
"2024- 04- 01","27,300","23,600","27,500","23,300","586.67K","17.67%"
"2024- 03- 29","23,200","23,550","23,800","23,100","54.17K","-1.49%"
"2024- 03- 28","23,550","23,500","23,800","23,400","34.99K","-0.63%"
"2024- 03- 27","23,700","24,400","24,850","23,500","77.42K","-2.67%"
"2024- 03- 26","24,350","23,600","24,750","23,450","136.85K","4.28%"
"2024- 03- 25","23,350","22,700","23,700","22,700","69.72K","2.86%"
"2024- 03- 22","22,700","22,750","22,950","22,500","51.38K","-0.22%"
"2024- 03- 21","22,750","23,000","23,300","22,450","96.74K","-0.87%"
"2024- 03- 20","22,950","23,000","23,300","22,400","94.20K","0.00%"
"2024- 03- 19","22,950","24,500","24,500","22,900","121.03K","-6.33%"
"2024- 03- 18","24,500","23,750","24,700","23,600","64.25K","0.82%"
"2024- 03- 15","24,300","23,750","24,600","23,200","15.71K","0.21%"
"2024- 03- 14","24,250","25,750","25,900","23,700","132.38K","-4.53%"
"2024- 03- 13","25,400","25,750","26,000","25,200","61.74K","-0.97%"
"2024- 03- 12","25,650","26,150","26,250","25,300","56.63K","0.00%"
"2024- 03- 11","25,650","25,100","25,950","24,850","0.07K","2.19%"
"2024- 03- 08","25,100","25,500","25,950","24,850","103.36K","-1.38%"
"2024- 03- 07","25,450","24,850","25,700","24,400","0.04K","2.62%"
"2024- 03- 06","24,800","25,450","25,800","24,800","95.75K","-2.94%"
"2024- 03- 05","25,550","26,550","26,750","25,400","0.00K","-3.95%"
"2024- 03- 04","26,600","27,400","27,950","26,550","0.03K","-3.80%"
"2024- 02- 29","27,650","28,750","28,850","27,650","57.34K","-3.83%"
"2024- 02- 28","28,750","26,300","28,800","26,300","0.12K","8.70%"
"2024- 02- 27","26,450","27,750","28,050","26,200","103.64K","-5.87%"
"2024- 02- 26","28,100","27,650","28,250","25,700","0.02K","1.08%"
"2024- 02- 25","27,800","27,800","27,800","27,800","","0.00%"
"2024- 02- 23","27,800","28,150","28,500","27,650","61.95K","-2.28%"
"2024- 02- 22","28,450","28,800","29,250","28,300","0.01K","-2.23%"
"2024- 02- 21","29,100","30,200","30,300","29,100","0.01K","-3.00%"
"2024- 02- 20","30,000","29,600","31,250","29,050","413.06K","4.90%"
"2024- 02- 19","28,600","28,450","29,600","28,450","161.71K","1.60%"
"2024- 02- 18","28,150","28,150","28,150","28,150","","0.00%"
"2024- 02- 16","28,150","28,400","28,600","27,400","72.40K","0.18%"
"2024- 02- 15","28,100","28,450","28,700","27,400","109.22K","-1.23%"
