"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","27,200","27,050","27,400","26,850","35.88K","0.93%"
"2024- 05- 07","26,950","27,700","27,750","26,850","65.20K","-1.82%"
"2024- 05- 03","27,450","26,850","27,600","26,700","78.93K","3.20%"
"2024- 05- 02","26,600","26,250","27,050","26,250","35.31K","0.19%"
"2024- 04- 30","26,550","26,650","26,750","26,250","41.94K","-1.12%"
"2024- 04- 29","26,850","26,300","26,850","26,000","60.31K","3.07%"
"2024- 04- 26","26,050","25,750","26,150","25,700","28.28K","1.17%"
"2024- 04- 25","25,750","26,750","26,850","25,700","92.76K","-4.63%"
"2024- 04- 24","27,000","27,000","27,350","26,450","78.83K","1.12%"
"2024- 04- 23","26,700","26,700","27,250","26,500","66.42K","-0.93%"
"2024- 04- 22","26,950","26,800","27,100","26,500","86.87K","1.89%"
"2024- 04- 19","26,450","26,650","27,200","26,000","74.26K","-1.67%"
"2024- 04- 18","26,900","25,300","27,000","25,250","90.23K","6.11%"
"2024- 04- 17","25,350","24,650","25,600","24,650","60.40K","2.22%"
"2024- 04- 16","24,800","24,700","25,400","24,650","66.06K","-1.98%"
"2024- 04- 15","25,300","25,800","26,150","25,050","94.60K","-4.17%"
"2024- 04- 12","26,400","27,400","27,500","26,350","134.44K","-3.47%"
"2024- 04- 11","27,350","27,050","27,350","26,900","51.31K","-0.36%"
"2024- 04- 09","27,450","27,450","28,100","27,200","80.24K","0.00%"
"2024- 04- 08","27,450","28,350","28,350","27,400","103.48K","-2.83%"
"2024- 04- 05","28,250","29,000","29,050","28,150","127.34K","-2.59%"
"2024- 04- 04","29,000","29,600","29,850","28,750","63.64K","-1.02%"
"2024- 04- 03","29,300","29,100","29,900","28,900","79.83K","0.51%"
"2024- 04- 02","29,150","30,750","31,000","29,000","170.95K","-5.66%"
"2024- 04- 01","30,900","31,150","31,150","30,200","108.06K","1.64%"
"2024- 03- 29","30,400","30,350","30,800","29,700","78.05K","0.33%"
"2024- 03- 28","30,300","30,650","31,250","30,050","110.39K","-0.66%"
"2024- 03- 27","30,500","29,400","31,700","29,350","250.72K","3.57%"
"2024- 03- 26","29,450","28,800","29,550","28,750","120.07K","2.26%"
"2024- 03- 25","28,800","29,000","29,200","28,600","70.60K","-0.35%"
"2024- 03- 22","28,900","29,150","29,350","28,850","80.14K","-1.03%"
"2024- 03- 21","29,200","28,950","29,650","28,950","121.27K","1.92%"
"2024- 03- 20","28,650","29,000","29,100","28,600","76.83K","-0.35%"
"2024- 03- 19","28,750","29,300","29,450","28,600","105.94K","-1.71%"
"2024- 03- 18","29,250","29,950","30,050","29,250","112.37K","-1.85%"
"2024- 03- 15","29,800","29,100","29,800","29,050","226.54K","1.19%"
"2024- 03- 14","29,450","32,000","32,150","28,600","0.05K","-7.82%"
"2024- 03- 13","31,950","32,700","32,700","31,700","55.80K","-0.78%"
"2024- 03- 12","32,200","32,400","33,700","32,100","117.42K","-0.46%"
"2024- 03- 11","32,350","32,200","33,200","31,900","176.37K","0.62%"
"2024- 03- 10","32,150","32,150","32,150","32,150","","0.00%"
"2024- 03- 08","32,150","31,350","32,500","30,950","162.44K","3.04%"
"2024- 03- 07","31,200","32,600","32,850","31,000","156.99K","-4.29%"
"2024- 03- 06","32,600","33,300","34,050","32,550","142.07K","-3.12%"
"2024- 03- 05","33,650","33,600","34,550","33,500","85.21K","0.15%"
"2024- 03- 04","33,600","35,100","35,500","33,500","0.00K","-5.08%"
"2024- 03- 03","35,400","35,400","35,400","35,400","","0.00%"
"2024- 02- 29","35,400","35,650","35,850","33,450","277.54K","-1.80%"
"2024- 02- 28","36,050","35,600","37,300","35,350","143.16K","0.98%"
"2024- 02- 27","35,700","36,950","37,200","34,700","241.41K","-4.29%"
"2024- 02- 26","37,300","36,600","39,350","36,600","0.04K","-0.27%"
"2024- 02- 23","37,400","37,700","38,250","36,150","328.46K","-1.58%"
"2024- 02- 22","38,000","33,300","38,550","33,300","0.02K","16.03%"
"2024- 02- 21","32,750","31,250","33,200","31,050","113.72K","3.64%"
"2024- 02- 20","31,600","32,200","32,200","31,550","30.03K","-2.77%"
"2024- 02- 19","32,500","32,400","33,000","31,950","29.59K","0.46%"
"2024- 02- 18","32,350","32,350","32,350","32,350","","0.00%"
"2024- 02- 16","32,350","32,050","32,800","31,650","69.39K","1.41%"
"2024- 02- 15","31,900","32,600","32,600","31,650","64.92K","-1.69%"
"2024- 02- 14","32,450","31,700","33,100","31,650","104.47K","-0.15%"
"2024- 02- 13","32,500","32,100","33,400","31,250","102.88K","0.62%"
"2024- 02- 08","32,300","31,800","33,650","31,450","148.54K","1.57%"
"2024- 02- 07","31,800","30,900","32,700","30,150","138.95K","2.91%"
"2024- 02- 06","30,900","28,800","31,450","27,850","251.74K","8.61%"
"2024- 02- 05","28,450","28,150","30,200","27,250","222.87K","1.61%"
"2024- 02- 02","28,000","27,500","29,300","27,500","161.09K","1.82%"
"2024- 02- 01","27,500","29,700","30,250","27,050","316.84K","-7.72%"
"2024- 01- 31","29,800","31,000","31,250","29,800","0.00K","-5.10%"
"2024- 01- 30","31,400","31,650","32,000","30,900","0.02K","-0.63%"
"2024- 01- 29","31,600","34,150","34,250","31,500","165.43K","-8.41%"
"2024- 01- 26","34,500","34,350","35,100","33,450","127.02K","0.44%"
"2024- 01- 25","34,350","34,150","35,350","32,250","231.79K","-0.43%"
"2024- 01- 24","34,500","32,300","35,550","31,950","489.65K","6.81%"
"2024- 01- 23","32,300","32,750","33,350","31,800","89.37K","-0.46%"
"2024- 01- 22","32,450","32,050","32,850","31,800","0.00K","2.37%"
"2024- 01- 19","31,700","32,250","33,300","31,250","124.89K","-1.71%"
"2024- 01- 18","32,250","31,200","32,600","30,450","180.73K","4.20%"
"2024- 01- 17","30,950","33,150","33,350","30,900","136.25K","-6.07%"
"2024- 01- 16","32,950","32,550","33,850","32,500","143.84K","-0.15%"
"2024- 01- 15","33,000","34,250","34,250","32,800","0.07K","-4.07%"
"2024- 01- 12","34,400","35,000","35,200","33,650","132.22K","-1.15%"
"2024- 01- 11","34,800","33,500","35,100","33,300","230.89K","3.73%"
"2024- 01- 10","33,550","33,350","34,000","32,800","93.25K","-0.15%"
"2024- 01- 09","33,600","33,300","33,750","33,100","0.02K","1.05%"
"2024- 01- 08","33,250","32,250","33,500","31,750","134.76K","3.91%"
"2024- 01- 05","32,000","31,700","32,450","31,450","64.14K","0.95%"
"2024- 01- 04","31,700","31,650","31,850","31,200","44.35K","0.16%"
"2024- 01- 03","31,650","32,100","32,150","31,350","76.36K","-2.31%"
"2024- 01- 02","32,400","32,000","32,550","31,700","0.18K","0.93%"
