"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","21,150","20,750","21,250","20,550","53.38K","1.93%"
"2024- 05- 07","20,750","21,000","21,150","20,600","53.24K","-0.95%"
"2024- 05- 03","20,950","20,650","20,950","20,550","42.34K","2.20%"
"2024- 05- 02","20,500","20,600","20,650","20,450","18.50K","-0.49%"
"2024- 04- 30","20,600","20,400","20,750","20,400","17.82K","0.49%"
"2024- 04- 29","20,500","20,750","20,800","20,300","79.49K","-1.20%"
"2024- 04- 26","20,750","20,500","20,750","20,350","19.06K","1.22%"
"2024- 04- 25","20,500","20,800","20,800","20,500","22.34K","-1.68%"
"2024- 04- 24","20,850","21,000","21,150","20,600","47.43K","-0.48%"
"2024- 04- 23","20,950","20,600","20,950","20,550","29.32K","1.21%"
"2024- 04- 22","20,700","20,750","20,850","20,500","25.70K","-0.48%"
"2024- 04- 19","20,800","20,750","21,100","20,200","44.66K","-0.95%"
"2024- 04- 18","21,000","20,600","21,100","20,500","23.23K","1.20%"
"2024- 04- 17","20,750","20,800","21,150","20,350","68.30K","-0.24%"
"2024- 04- 16","20,800","21,500","21,600","20,400","84.37K","-4.59%"
"2024- 04- 15","21,800","22,100","22,300","21,700","50.41K","-3.54%"
"2024- 04- 12","22,600","22,000","22,750","22,000","70.28K","2.03%"
"2024- 04- 11","22,150","21,650","22,150","21,550","23.18K","1.14%"
"2024- 04- 09","21,900","21,700","21,900","21,500","20.28K","0.92%"
"2024- 04- 08","21,700","22,150","22,150","21,500","42.89K","-1.81%"
"2024- 04- 05","22,100","21,750","22,100","21,550","58.99K","-0.45%"
"2024- 04- 04","22,200","22,400","22,400","21,800","41.32K","-0.22%"
"2024- 04- 03","22,250","21,800","22,350","21,650","35.72K","0.91%"
"2024- 04- 02","22,050","22,500","22,600","21,950","66.07K","-2.00%"
"2024- 04- 01","22,500","22,050","22,650","21,750","60.36K","2.74%"
"2024- 03- 29","21,900","22,100","22,100","21,600","51.96K","0.23%"
"2024- 03- 28","21,850","22,100","22,300","21,600","49.32K","0.00%"
"2024- 03- 27","21,850","22,050","22,400","21,700","133.46K","-2.24%"
"2024- 03- 26","22,350","23,150","23,150","21,800","156.61K","-3.66%"
