"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,275","4,385","4,385","4,255","23.37K","-2.06%"
"2024- 05- 07","4,365","4,365","4,445","4,340","14.76K","0.00%"
"2024- 05- 03","4,365","4,290","4,445","4,270","28.57K","1.04%"
"2024- 05- 02","4,320","4,055","4,330","4,010","64.84K","6.93%"
"2024- 04- 30","4,040","4,050","4,090","3,980","30.06K","-1.22%"
"2024- 04- 29","4,090","4,040","4,095","4,040","11.31K","1.24%"
"2024- 04- 26","4,040","4,105","4,130","4,010","49.51K","-2.06%"
"2024- 04- 25","4,125","4,110","4,185","4,080","16.67K","-0.84%"
"2024- 04- 24","4,160","4,125","4,200","4,105","13.41K","0.85%"
"2024- 04- 23","4,125","4,115","4,150","4,075","20.28K","0.49%"
"2024- 04- 22","4,105","4,235","4,285","4,100","41.82K","-3.07%"
"2024- 04- 19","4,235","4,280","4,345","4,165","38.31K","-2.64%"
"2024- 04- 18","4,350","4,205","4,380","4,205","12.13K","2.59%"
"2024- 04- 17","4,240","4,200","4,350","4,200","12.80K","-0.12%"
"2024- 04- 16","4,245","4,260","4,395","4,170","45.13K","-1.39%"
"2024- 04- 15","4,305","4,465","4,465","4,270","25.04K","-3.91%"
"2024- 04- 12","4,480","4,370","4,480","4,290","11.44K","2.05%"
"2024- 04- 11","4,390","4,400","4,440","4,260","41.52K","-1.57%"
"2024- 04- 09","4,460","4,420","4,500","4,345","35.64K","-0.34%"
"2024- 04- 08","4,475","4,575","4,600","4,425","43.26K","-2.19%"
"2024- 04- 05","4,575","4,700","4,785","4,575","74.32K","-3.89%"
"2024- 04- 04","4,760","4,805","4,870","4,750","47.78K","-1.45%"
"2024- 04- 03","4,830","4,720","4,910","4,685","73.43K","0.94%"
"2024- 04- 02","4,785","4,830","4,830","4,705","60.22K","-0.93%"
"2024- 04- 01","4,830","4,910","4,910","4,760","142.91K","-2.42%"
"2024- 03- 29","4,950","5,370","5,400","4,900","313.16K","-8.67%"
"2024- 03- 28","5,420","5,320","5,500","5,210","201.39K","1.31%"
"2024- 03- 27","5,350","5,390","5,530","5,230","203.09K","-0.74%"
"2024- 03- 26","5,390","5,200","5,450","5,050","223.07K","2.67%"
