"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,180","7,100","7,180","7,060","105.12K","1.13%"
"2024- 05- 07","7,100","7,260","7,260","7,030","216.84K","-2.07%"
"2024- 05- 03","7,250","7,480","7,500","7,140","303.24K","-4.98%"
"2024- 05- 02","7,630","7,800","7,800","7,580","73.82K","-2.30%"
"2024- 04- 30","7,810","7,550","7,950","7,440","180.66K","1.43%"
"2024- 04- 29","7,700","7,800","7,800","7,610","41.02K","0.00%"
"2024- 04- 26","7,700","7,450","7,760","7,440","100.65K","3.49%"
"2024- 04- 25","7,440","7,510","7,630","7,400","40.90K","-2.49%"
"2024- 04- 24","7,630","7,740","7,810","7,570","59.22K","0.26%"
"2024- 04- 23","7,610","7,740","7,930","7,500","99.37K","0.00%"
"2024- 04- 22","7,610","7,520","7,940","7,440","104.63K","-0.52%"
"2024- 04- 19","7,650","7,850","7,850","7,180","111.87K","-2.55%"
"2024- 04- 18","7,850","7,040","8,150","7,000","425.37K","10.56%"
"2024- 04- 17","7,100","7,200","7,230","7,040","83.89K","-1.11%"
"2024- 04- 16","7,180","7,070","7,290","7,010","87.03K","0.42%"
"2024- 04- 15","7,150","7,290","7,290","7,040","86.86K","-2.46%"
"2024- 04- 12","7,330","7,300","7,600","7,240","103.70K","-0.81%"
"2024- 04- 11","7,390","7,550","7,560","7,040","180.33K","-2.38%"
"2024- 04- 09","7,570","7,850","7,950","7,550","131.41K","-3.57%"
"2024- 04- 08","7,850","8,400","8,720","7,530","429.91K","-5.71%"
"2024- 04- 05","8,325","8,690","8,690","8,060","475.86K","-4.20%"
"2024- 04- 04","8,690","8,905","8,940","8,480","322.12K","-2.25%"
"2024- 04- 03","8,890","8,570","9,075","8,515","338.09K","-48.13%"
"2024- 04- 02","17,140","18,080","18,080","17,080","136.39K","-4.46%"
"2024- 04- 01","17,940","18,000","18,200","17,640","123.65K","0.00%"
"2024- 03- 29","17,940","17,800","18,150","17,420","138.50K","1.93%"
"2024- 03- 28","17,600","17,110","17,600","16,900","111.47K","2.92%"
"2024- 03- 27","17,100","17,790","17,800","16,990","148.26K","-3.50%"
"2024- 03- 26","17,720","18,770","18,770","17,620","437.78K","-2.21%"
"2024- 03- 25","18,120","17,550","18,430","17,470","266.38K","4.08%"
"2024- 03- 22","17,410","17,290","17,490","16,920","129.89K","0.40%"
"2024- 03- 21","17,340","17,250","17,340","16,990","82.89K","1.23%"
"2024- 03- 20","17,130","17,650","17,980","16,850","126.52K","-2.95%"
"2024- 03- 19","17,650","18,120","18,180","17,590","99.79K","-2.11%"
"2024- 03- 18","18,030","18,480","18,490","17,600","260.43K","0.90%"
"2024- 03- 17","17,870","17,870","17,870","17,870","","0.00%"
"2024- 03- 15","17,870","17,210","18,430","17,080","0.21K","4.38%"
"2024- 03- 14","17,120","17,250","17,330","16,800","83.96K","0.94%"
"2024- 03- 13","16,960","16,850","17,550","16,850","0.30K","1.62%"
"2024- 03- 12","16,690","16,450","17,010","16,400","109.10K","1.46%"
"2024- 03- 11","16,450","17,000","17,210","16,430","82.29K","-2.49%"
"2024- 03- 08","16,870","17,490","17,490","16,790","91.45K","-1.40%"
"2024- 03- 07","17,110","17,000","17,350","16,430","0.50K","2.33%"
"2024- 03- 06","16,720","16,010","16,800","15,700","166.82K","3.40%"
"2024- 03- 05","16,170","16,360","16,480","15,990","105.72K","0.00%"
"2024- 03- 04","16,170","16,450","16,550","16,070","145.89K","-1.58%"
"2024- 02- 29","16,430","16,750","17,030","16,390","127.57K","-2.49%"
"2024- 02- 28","16,850","17,010","17,230","16,600","169.25K","-1.58%"
"2024- 02- 27","17,120","18,250","18,250","16,900","259.31K","-6.19%"
"2024- 02- 26","18,250","18,750","18,760","18,140","139.42K","-2.56%"
"2024- 02- 25","18,730","18,730","18,730","18,730","","0.00%"
"2024- 02- 23","18,730","19,280","19,300","18,340","173.20K","-1.52%"
"2024- 02- 22","19,020","19,230","19,390","18,750","172.39K","0.00%"
"2024- 02- 21","19,020","19,620","19,620","18,940","140.89K","-3.16%"
"2024- 02- 20","19,640","20,150","20,400","19,580","0.09K","-1.11%"
"2024- 02- 19","19,860","20,650","21,050","19,810","286.46K","0.76%"
"2024- 02- 16","19,710","19,680","20,900","19,600","362.20K","0.87%"
"2024- 02- 15","19,540","19,850","19,920","19,030","195.91K","0.21%"
"2024- 02- 14","19,500","18,880","19,690","18,590","111.77K","1.99%"
"2024- 02- 13","19,120","18,500","19,140","17,700","184.54K","3.41%"
"2024- 02- 08","18,490","18,400","18,890","18,130","93.35K","0.76%"
"2024- 02- 07","18,350","18,950","19,030","18,220","0.00K","-2.81%"
"2024- 02- 06","18,880","19,980","19,980","18,490","235.62K","-5.60%"
"2024- 02- 05","20,000","19,500","20,300","19,160","0.18K","2.88%"
"2024- 02- 04","19,440","19,440","19,440","19,440","","0.00%"
"2024- 02- 02","19,440","18,160","19,570","18,160","302.79K","8.48%"
"2024- 02- 01","17,920","18,320","18,450","17,650","179.21K","-2.29%"
"2024- 01- 31","18,340","18,800","19,070","18,330","0.16K","-3.98%"
"2024- 01- 30","19,100","19,190","19,430","18,710","0.15K","-0.31%"
"2024- 01- 29","19,160","19,780","20,200","19,020","0.01K","-3.13%"
"2024- 01- 28","19,780","19,780","19,780","19,780","","0.00%"
"2024- 01- 26","19,780","20,100","20,450","19,500","287.39K","-2.08%"
"2024- 01- 25","20,200","20,900","20,900","20,000","0.25K","-4.27%"
"2024- 01- 24","21,100","22,200","22,250","20,900","157.69K","-4.52%"
"2024- 01- 23","22,100","21,750","22,800","21,500","195.54K","1.61%"
"2024- 01- 22","21,750","22,500","22,500","21,300","0.00K","-1.58%"
"2024- 01- 19","22,100","21,800","22,900","21,650","160.60K","2.08%"
"2024- 01- 18","21,650","20,350","21,650","20,000","0.00K","5.10%"
"2024- 01- 17","20,600","22,050","22,050","20,200","245.97K","-6.58%"
"2024- 01- 16","22,050","23,050","23,050","21,750","169.21K","-3.71%"
"2024- 01- 15","22,900","22,700","23,400","22,000","155.80K","1.33%"
"2024- 01- 14","22,600","22,600","22,600","22,600","","0.00%"
"2024- 01- 12","22,600","23,450","23,450","21,900","234.87K","-4.03%"
"2024- 01- 11","23,550","23,900","23,900","23,250","0.00K","-1.67%"
"2024- 01- 10","23,950","24,350","24,350","22,550","289.68K","0.63%"
"2024- 01- 09","23,800","24,700","24,750","23,450","415.34K","0.21%"
"2024- 01- 08","23,750","22,900","24,000","22,600","524.70K","5.56%"
"2024- 01- 07","22,500","22,500","22,500","22,500","","0.00%"
"2024- 01- 05","22,500","22,350","22,650","21,900","201.65K","0.90%"
"2024- 01- 04","22,300","21,800","22,450","21,350","134.88K","0.90%"
"2024- 01- 03","22,100","22,100","22,400","21,550","200.77K","-2.86%"
"2024- 01- 02","22,750","21,550","22,750","21,100","0.16K","5.57%"
