"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,690.00","5,630.00","5,700.00","5,590.00","61.45K","0.89%"
"2024- 05- 07","5,640.00","5,800.00","5,800.00","5,630.00","69.38K","-0.18%"
"2024- 05- 03","5,650.00","5,690.00","5,700.00","5,600.00","89.79K","0.53%"
"2024- 05- 02","5,620.00","5,480.00","5,650.00","5,470.00","94.54K","1.08%"
"2024- 04- 30","5,560.00","5,650.00","5,730.00","5,490.00","156.19K","-2.63%"
"2024- 04- 29","5,710.00","5,470.00","5,810.00","5,470.00","177.81K","3.82%"
"2024- 04- 26","5,500.00","5,430.00","5,530.00","5,300.00","94.57K","1.48%"
"2024- 04- 25","5,420.00","5,490.00","5,530.00","5,370.00","81.14K","-1.28%"
"2024- 04- 24","5,490.00","5,320.00","5,560.00","5,320.00","101.81K","3.20%"
"2024- 04- 23","5,320.00","5,300.00","5,490.00","5,280.00","101.81K","-0.37%"
"2024- 04- 22","5,340.00","5,300.00","5,410.00","5,260.00","74.00K","0.38%"
"2024- 04- 19","5,320.00","5,570.00","5,570.00","5,230.00","156.00K","-4.32%"
"2024- 04- 18","5,560.00","5,400.00","5,590.00","5,300.00","65.14K","2.96%"
"2024- 04- 17","5,400.00","5,390.00","5,530.00","5,380.00","79.62K","0.19%"
"2024- 04- 16","5,390.00","5,460.00","5,530.00","5,200.00","211.79K","-3.58%"
"2024- 04- 15","5,590.00","5,600.00","5,600.00","5,410.00","111.66K","-1.24%"
"2024- 04- 12","5,660.00","5,640.00","5,710.00","5,500.00","120.74K","0.89%"
"2024- 04- 11","5,610.00","5,750.00","5,790.00","5,570.00","202.45K","-3.28%"
"2024- 04- 09","5,800.00","5,760.00","5,960.00","5,760.00","220.87K","-1.19%"
"2024- 04- 08","5,870.00","6,000.00","6,080.00","5,820.00","162.11K","-2.17%"
"2024- 04- 05","6,000.00","6,110.00","6,210.00","5,970.00","188.27K","-2.76%"
"2024- 04- 04","6,170.00","6,120.00","6,300.00","6,120.00","110.30K","0.98%"
"2024- 04- 03","6,110.00","6,260.00","6,260.00","6,090.00","202.22K","-3.17%"
"2024- 04- 02","6,310.00","6,550.00","6,600.00","6,300.00","189.47K","-3.07%"
"2024- 04- 01","6,510.00","6,400.00","6,550.00","6,380.00","134.31K","1.09%"
"2024- 03- 29","6,440.00","6,410.00","6,580.00","6,360.00","184.57K","0.00%"
"2024- 03- 28","6,440.00","6,410.00","6,520.00","6,380.00","111.78K","0.16%"
"2024- 03- 27","6,430.00","6,320.00","6,520.00","6,270.00","141.98K","1.74%"
"2024- 03- 26","6,320.00","6,280.00","6,440.00","6,280.00","124.37K","-0.32%"
"2024- 03- 25","6,340.00","6,500.00","6,540.00","6,330.00","154.01K","-2.16%"
"2024- 03- 22","6,480.00","6,550.00","6,610.00","6,320.00","162.62K","-1.07%"
