"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","13,780","13,530","13,930","13,510","11.36K","0.44%"
"2024- 05- 07","13,720","14,100","14,190","13,600","16.54K","-2.21%"
"2024- 05- 03","14,030","14,050","14,190","13,220","20.56K","-0.43%"
"2024- 05- 02","14,090","13,720","14,360","13,720","23.20K","0.79%"
"2024- 04- 30","13,980","13,600","14,120","13,440","20.27K","2.95%"
"2024- 04- 29","13,580","13,370","13,630","13,330","11.67K","1.65%"
"2024- 04- 26","13,360","13,490","13,540","13,210","11.01K","-1.18%"
"2024- 04- 25","13,520","13,590","13,720","13,320","5.91K","-0.52%"
"2024- 04- 24","13,590","13,440","13,730","13,200","18.96K","1.12%"
"2024- 04- 23","13,440","13,890","13,890","13,300","9.42K","-1.03%"
"2024- 04- 22","13,580","13,320","13,710","13,120","15.24K","1.95%"
"2024- 04- 19","13,320","13,760","13,760","13,170","18.98K","-3.20%"
"2024- 04- 18","13,760","13,370","13,900","13,370","19.39K","1.85%"
"2024- 04- 17","13,510","13,200","13,600","13,200","30.23K","2.19%"
"2024- 04- 16","13,220","14,180","14,180","13,100","59.73K","-7.55%"
"2024- 04- 15","14,300","15,100","15,750","13,200","136.59K","-6.78%"
"2024- 04- 12","15,340","15,890","16,050","15,340","22.40K","-3.46%"
"2024- 04- 11","15,890","16,040","16,040","15,800","7.41K","-2.03%"
"2024- 04- 09","16,220","15,760","16,250","15,700","9.83K","1.69%"
"2024- 04- 08","15,950","16,600","16,600","15,900","14.83K","-3.92%"
"2024- 04- 05","16,600","16,300","16,780","16,010","22.80K","0.91%"
"2024- 04- 04","16,450","16,660","16,840","16,350","13.92K","-1.26%"
"2024- 04- 03","16,660","16,790","16,790","16,300","19.34K","0.06%"
"2024- 04- 02","16,650","16,980","17,120","16,650","27.73K","-2.92%"
"2024- 04- 01","17,150","17,030","17,280","16,870","19.18K","0.23%"
"2024- 03- 29","17,110","17,100","17,250","16,820","27.96K","0.59%"
"2024- 03- 28","17,010","16,950","17,300","16,950","18.31K","-0.70%"
"2024- 03- 27","17,130","17,340","17,340","16,820","39.01K","-1.21%"
"2024- 03- 26","17,340","17,710","17,880","17,250","32.07K","-2.58%"
"2024- 03- 25","17,800","17,750","17,950","17,360","41.79K","1.08%"
"2024- 03- 22","17,610","17,520","17,710","17,220","32.22K","1.21%"
"2024- 03- 21","17,400","17,390","17,550","17,170","22.79K","0.69%"
"2024- 03- 20","17,280","17,500","17,700","17,120","21.72K","-1.26%"
"2024- 03- 19","17,500","17,480","17,770","17,110","25.93K","0.11%"
"2024- 03- 18","17,480","17,100","17,630","17,080","27.43K","2.82%"
