"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","10,040.00","9,970.00","10,510.00","9,970.00","273.58K","0.40%"
"2024- 05- 07","10,000.00","10,330.00","10,330.00","9,970.00","199.86K","-0.20%"
"2024- 05- 03","10,020.00","10,310.00","10,500.00","9,970.00","329.73K","-2.72%"
"2024- 05- 02","10,300.00","9,950.00","10,950.00","9,810.00","1.57M","1.58%"
"2024- 04- 30","10,140.00","9,840.00","10,720.00","9,590.00","1.57M","3.05%"
"2024- 04- 29","9,840.00","8,960.00","10,710.00","8,950.00","3.88M","9.58%"
"2024- 04- 26","8,980.00","9,130.00","9,300.00","8,960.00","118.56K","-1.32%"
"2024- 04- 25","9,100.00","8,820.00","9,620.00","8,680.00","522.34K","2.25%"
"2024- 04- 24","8,900.00","8,290.00","9,450.00","8,290.00","882.08K","8.27%"
"2024- 04- 23","8,220.00","8,320.00","8,500.00","8,150.00","54.08K","-1.08%"
"2024- 04- 22","8,310.00","8,210.00","8,600.00","8,070.00","58.16K","2.09%"
"2024- 04- 19","8,140.00","8,360.00","8,590.00","7,800.00","103.99K","-3.44%"
"2024- 04- 18","8,430.00","8,070.00","8,510.00","8,060.00","81.39K","4.07%"
"2024- 04- 17","8,100.00","7,800.00","8,290.00","7,770.00","90.62K","3.05%"
"2024- 04- 16","7,860.00","8,330.00","8,330.00","7,760.00","162.21K","-5.64%"
"2024- 04- 15","8,330.00","8,210.00","8,360.00","8,100.00","85.78K","-0.48%"
"2024- 04- 12","8,370.00","8,460.00","8,590.00","8,310.00","86.11K","-1.06%"
"2024- 04- 11","8,460.00","8,640.00","8,640.00","8,300.00","54.52K","-1.05%"
"2024- 04- 09","8,550.00","8,640.00","8,790.00","8,440.00","108.22K","-1.72%"
"2024- 04- 08","8,700.00","9,150.00","9,150.00","8,640.00","96.31K","-2.03%"
"2024- 04- 05","8,880.00","8,880.00","9,060.00","8,720.00","113.06K","-1.66%"
"2024- 04- 04","9,030.00","9,340.00","9,500.00","8,990.00","184.97K","-3.73%"
"2024- 04- 03","9,380.00","9,640.00","9,650.00","9,260.00","159.14K","-3.50%"
"2024- 04- 02","9,720.00","10,010.00","10,130.00","9,680.00","163.73K","-3.48%"
"2024- 04- 01","10,070.00","9,910.00","10,180.00","9,860.00","101.02K","2.23%"
"2024- 03- 29","9,850.00","9,960.00","10,040.00","9,840.00","145.29K","-1.30%"
"2024- 03- 28","9,980.00","10,020.00","10,240.00","9,920.00","185.20K","-0.40%"
"2024- 03- 27","10,020.00","10,340.00","10,340.00","9,970.00","211.71K","-1.76%"
"2024- 03- 26","10,200.00","10,510.00","10,510.00","10,200.00","184.46K","-3.77%"
"2024- 03- 25","10,600.00","10,250.00","10,850.00","10,120.00","388.01K","4.13%"
"2024- 03- 22","10,180.00","10,400.00","10,420.00","10,090.00","175.64K","-0.88%"
"2024- 03- 21","10,270.00","10,200.00","10,580.00","10,150.00","270.87K","1.68%"
"2024- 03- 20","10,100.00","10,150.00","10,260.00","10,050.00","154.82K","-0.20%"
"2024- 03- 19","10,120.00","10,650.00","10,650.00","10,100.00","272.71K","-3.44%"
"2024- 03- 18","10,480.00","10,450.00","10,680.00","10,420.00","206.05K","-0.57%"
"2024- 03- 17","10,540.00","10,540.00","10,540.00","10,540.00","","0.00%"
"2024- 03- 15","10,540.00","11,260.00","11,390.00","10,540.00","0.69K","-5.30%"
"2024- 03- 14","11,130.00","11,210.00","11,560.00","11,020.00","0.02K","0.18%"
"2024- 03- 13","11,110.00","10,600.00","11,280.00","10,500.00","2.13K","5.61%"
"2024- 03- 12","10,520.00","10,860.00","11,140.00","10,440.00","551.94K","-2.59%"
"2024- 03- 11","10,800.00","11,010.00","11,510.00","10,770.00","0.47K","-4.09%"
"2024- 03- 10","11,260.00","11,260.00","11,260.00","11,260.00","","0.00%"
"2024- 03- 08","11,260.00","11,830.00","12,130.00","11,110.00","891.78K","-5.46%"
"2024- 03- 07","11,910.00","12,110.00","12,790.00","11,750.00","0.15K","-0.17%"
"2024- 03- 06","11,930.00","11,860.00","13,210.00","11,780.00","0.07K","-0.58%"
"2024- 03- 05","12,000.00","12,650.00","13,670.00","12,000.00","4.47M","-8.19%"
