"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,135","3,145","3,180","3,135","13.96K","0.00%"
"2024- 05- 07","3,135","3,125","3,175","3,125","7.78K","1.29%"
"2024- 05- 03","3,095","3,055","3,130","3,055","14.35K","0.49%"
"2024- 05- 02","3,080","3,100","3,105","3,020","17.52K","-0.96%"
"2024- 04- 30","3,110","3,165","3,165","3,090","14.50K","-1.74%"
"2024- 04- 29","3,165","3,175","3,180","3,140","12.13K","0.16%"
"2024- 04- 26","3,160","3,205","3,210","3,135","17.31K","0.00%"
"2024- 04- 25","3,160","3,225","3,230","3,100","55.97K","2.10%"
"2024- 04- 24","3,095","3,080","3,150","3,080","14.65K","0.49%"
"2024- 04- 23","3,080","3,130","3,145","3,075","12.13K","-1.60%"
"2024- 04- 22","3,130","3,095","3,140","3,075","18.98K","-0.32%"
"2024- 04- 19","3,140","3,170","3,235","3,060","11.86K","-1.88%"
"2024- 04- 18","3,200","3,095","3,200","3,050","24.56K","3.39%"
"2024- 04- 17","3,095","3,040","3,130","3,035","15.28K","-0.16%"
"2024- 04- 16","3,100","3,100","3,130","3,085","14.23K","-1.59%"
"2024- 04- 15","3,150","3,180","3,180","3,080","12.74K","-0.94%"
"2024- 04- 12","3,180","3,175","3,210","3,145","16.45K","0.16%"
"2024- 04- 11","3,175","3,170","3,190","3,115","19.76K","0.16%"
"2024- 04- 09","3,170","3,145","3,225","3,140","10.51K","0.63%"
"2024- 04- 08","3,150","3,165","3,165","3,115","15.02K","-0.63%"
"2024- 04- 05","3,170","3,150","3,175","3,145","13.23K","-0.16%"
"2024- 04- 04","3,175","3,145","3,200","3,145","14.28K","0.00%"
"2024- 04- 03","3,175","3,220","3,230","3,120","32.37K","-1.40%"
"2024- 04- 02","3,220","3,235","3,270","3,220","20.72K","-0.46%"
"2024- 04- 01","3,235","3,230","3,295","3,215","18.74K","0.15%"
"2024- 03- 29","3,230","3,230","3,240","3,195","18.88K","-0.31%"
"2024- 03- 28","3,240","3,260","3,270","3,240","9.73K","-1.22%"
"2024- 03- 27","3,280","3,310","3,310","3,255","14.40K","-0.91%"
"2024- 03- 26","3,310","3,240","3,315","3,235","26.29K","2.00%"
"2024- 03- 25","3,245","3,285","3,285","3,190","21.17K","-1.07%"
"2024- 03- 22","3,280","3,230","3,290","3,230","18.92K","1.86%"
"2024- 03- 21","3,220","3,215","3,240","3,180","14.22K","0.16%"
"2024- 03- 20","3,215","3,190","3,240","3,185","10.97K","-0.16%"
"2024- 03- 19","3,220","3,275","3,275","3,215","10.45K","-1.68%"
"2024- 03- 18","3,275","3,245","3,300","3,230","7.68K","1.24%"
"2024- 03- 15","3,235","3,245","3,280","3,225","1.01K","-1.37%"
"2024- 03- 14","3,280","3,295","3,295","3,245","0.00K","-0.46%"
"2024- 03- 13","3,295","3,275","3,300","3,230","20.92K","0.61%"
"2024- 03- 12","3,275","3,250","3,315","3,250","14.21K","0.31%"
"2024- 03- 11","3,265","3,270","3,320","3,250","0.11K","-1.66%"
"2024- 03- 10","3,320","3,320","3,320","3,320","","0.00%"
"2024- 03- 08","3,320","3,250","3,320","3,225","8.13K","2.15%"
"2024- 03- 07","3,250","3,275","3,275","3,240","11.23K","-0.76%"
"2024- 03- 06","3,275","3,290","3,360","3,260","18.58K","-0.46%"
"2024- 03- 05","3,290","3,275","3,325","3,270","12.74K","-1.35%"
"2024- 03- 04","3,335","3,360","3,360","3,280","23.57K","-0.74%"
"2024- 03- 03","3,360","3,360","3,360","3,360","","0.00%"
"2024- 02- 29","3,360","3,400","3,420","3,330","11.18K","-1.18%"
"2024- 02- 28","3,400","3,310","3,400","3,290","19.65K","2.10%"
"2024- 02- 27","3,330","3,330","3,330","3,240","17.34K","0.00%"
"2024- 02- 26","3,330","3,420","3,420","3,300","23.67K","-2.06%"
"2024- 02- 25","3,400","3,400","3,400","3,400","","0.00%"
"2024- 02- 23","3,400","3,420","3,420","3,340","11.37K","-1.31%"
"2024- 02- 22","3,445","3,450","3,450","3,400","14.14K","-0.86%"
"2024- 02- 21","3,475","3,495","3,515","3,440","12.73K","-0.57%"
"2024- 02- 20","3,495","3,500","3,500","3,450","0.00K","-0.57%"
"2024- 02- 19","3,515","3,490","3,605","3,480","22.96K","1.01%"
"2024- 02- 16","3,480","3,540","3,540","3,430","36.57K","-2.38%"
"2024- 02- 15","3,565","3,480","3,615","3,430","94.98K","3.48%"
"2024- 02- 14","3,445","3,360","3,460","3,350","38.11K","2.53%"
"2024- 02- 13","3,360","3,360","3,390","3,340","22.68K","0.00%"
"2024- 02- 12","3,360","3,360","3,360","3,360","","0.00%"
"2024- 02- 08","3,360","3,300","3,580","3,270","102.98K","2.44%"
"2024- 02- 07","3,280","3,335","3,335","3,275","10.81K","-1.80%"
"2024- 02- 06","3,340","3,370","3,370","3,285","13.35K","-0.89%"
"2024- 02- 05","3,370","3,350","3,370","3,270","0.01K","0.60%"
"2024- 02- 04","3,350","3,350","3,350","3,350","","0.00%"
"2024- 02- 02","3,350","3,265","3,350","3,265","17.14K","2.60%"
"2024- 02- 01","3,265","3,270","3,275","3,170","28.65K","-0.31%"
"2024- 01- 31","3,275","3,330","3,340","3,250","0.01K","-2.09%"
"2024- 01- 30","3,345","3,315","3,345","3,300","10.99K","0.60%"
"2024- 01- 29","3,325","3,440","3,440","3,310","35.06K","-2.92%"
"2024- 01- 26","3,425","3,360","3,440","3,345","24.57K","0.74%"
"2024- 01- 25","3,400","3,455","3,460","3,345","29.30K","-2.58%"
"2024- 01- 24","3,490","3,565","3,580","3,445","25.05K","-1.69%"
"2024- 01- 23","3,550","3,470","3,585","3,435","28.89K","1.28%"
"2024- 01- 22","3,505","3,480","3,520","3,440","31.42K","-0.28%"
"2024- 01- 21","3,515","3,515","3,515","3,515","","0.00%"
"2024- 01- 19","3,515","3,500","3,555","3,485","28.49K","0.43%"
"2024- 01- 18","3,500","3,455","3,500","3,395","30.28K","0.29%"
"2024- 01- 17","3,490","3,635","3,635","3,435","34.79K","-3.99%"
"2024- 01- 16","3,635","3,630","3,715","3,595","25.37K","1.11%"
"2024- 01- 15","3,595","3,615","3,680","3,595","16.75K","-0.55%"
"2024- 01- 12","3,615","3,845","3,845","3,600","46.34K","-5.49%"
"2024- 01- 11","3,825","3,690","3,840","3,685","0.08K","3.52%"
"2024- 01- 10","3,695","3,750","3,755","3,665","19.23K","-1.47%"
"2024- 01- 09","3,750","3,695","3,755","3,675","30.82K","2.04%"
"2024- 01- 08","3,675","3,635","3,745","3,610","17.50K","1.10%"
"2024- 01- 05","3,635","3,580","3,745","3,560","33.30K","1.11%"
"2024- 01- 04","3,595","3,655","3,655","3,580","32.66K","-2.18%"
"2024- 01- 03","3,675","3,740","3,740","3,620","17.90K","-0.81%"
"2024- 01- 02","3,705","3,575","3,725","3,575","45.57K","2.49%"
