"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","3,390","3,350","3,395","3,310","715.09K","0.59%"
"2024- 05- 03","3,370","3,345","3,420","3,320","842.76K","0.45%"
"2024- 05- 02","3,355","3,440","3,440","3,350","980.71K","-3.17%"
"2024- 04- 30","3,465","3,480","3,485","3,400","1.25M","-1.70%"
"2024- 04- 29","3,525","3,480","3,560","3,455","1.44M","-0.14%"
"2024- 04- 26","3,530","3,705","3,730","3,500","3.62M","-5.74%"
"2024- 04- 25","3,745","3,975","4,035","3,695","8.94M","-1.32%"
"2024- 04- 24","3,795","3,810","3,960","3,775","10.45M","-1.43%"
"2024- 04- 23","3,850","3,265","3,885","3,260","33.10M","17.92%"
"2024- 04- 22","3,265","3,180","3,290","3,170","1.28M","2.35%"
"2024- 04- 19","3,190","3,215","3,325","3,080","2.04M","-0.16%"
"2024- 04- 18","3,195","3,145","3,455","3,135","2.52M","1.59%"
"2024- 04- 17","3,145","3,245","3,295","3,130","843.39K","-3.08%"
"2024- 04- 16","3,245","3,185","3,260","3,145","806.82K","0.78%"
"2024- 04- 15","3,220","3,150","3,275","3,140","873.59K","-1.53%"
"2024- 04- 12","3,270","3,215","3,360","3,210","2.45M","0.31%"
"2024- 04- 11","3,260","3,160","3,370","3,100","3.70M","0.46%"
"2024- 04- 09","3,245","3,000","3,440","3,000","16.18M","6.92%"
"2024- 04- 08","3,035","2,880","3,390","2,875","12.24M","5.38%"
"2024- 04- 05","2,880","2,810","2,920","2,810","519.51K","0.88%"
"2024- 04- 04","2,855","2,825","2,885","2,820","433.59K","0.18%"
"2024- 04- 03","2,850","2,805","2,875","2,750","1.22M","-0.52%"
"2024- 04- 02","2,865","3,045","3,060","2,855","2.13M","-8.03%"
"2024- 04- 01","3,115","3,095","3,145","3,020","3.12M","-2.50%"
"2024- 03- 29","3,195","2,795","3,630","2,770","17.16M","14.11%"
"2024- 03- 28","2,800","2,845","2,880","2,795","337.64K","-1.41%"
"2024- 03- 27","2,840","2,875","2,895","2,825","315.76K","-1.22%"
"2024- 03- 26","2,875","2,825","2,885","2,820","290.52K","1.95%"
"2024- 03- 25","2,820","2,970","2,970","2,810","430.27K","-1.57%"
"2024- 03- 22","2,865","2,825","2,940","2,780","630.20K","2.14%"
"2024- 03- 21","2,805","2,780","2,850","2,755","496.61K","0.54%"
"2024- 03- 20","2,790","2,850","2,895","2,790","465.21K","-2.45%"
"2024- 03- 19","2,860","2,905","2,915","2,850","393.83K","-0.69%"
"2024- 03- 18","2,880","2,910","2,975","2,850","822.24K","0.52%"
"2024- 03- 15","2,865","2,910","2,960","2,850","890.39K","-3.21%"
"2024- 03- 14","2,960","2,780","2,970","2,770","1.89K","7.05%"
"2024- 03- 13","2,765","2,770","2,840","2,745","573.87K","-0.18%"
"2024- 03- 12","2,770","2,795","2,795","2,700","579.34K","-0.18%"
"2024- 03- 11","2,775","2,810","2,825","2,760","300.20K","-1.25%"
"2024- 03- 08","2,810","2,820","2,850","2,750","607.01K","-0.35%"
"2024- 03- 07","2,820","2,875","2,895","2,805","0.02K","-1.91%"
"2024- 03- 06","2,875","2,900","2,920","2,825","574.75K","-0.86%"
"2024- 03- 05","2,900","2,860","2,970","2,850","0.61K","1.40%"
"2024- 03- 04","2,860","2,855","2,930","2,840","0.51K","0.00%"
"2024- 02- 29","2,860","2,830","2,950","2,820","1.04M","0.53%"
"2024- 02- 28","2,845","2,795","2,855","2,750","0.27K","1.79%"
"2024- 02- 27","2,795","2,940","2,965","2,780","1.39K","-5.09%"
"2024- 02- 26","2,945","3,005","3,020","2,895","1.60M","-3.44%"
"2024- 02- 25","3,050","3,050","3,050","3,050","","0.00%"
"2024- 02- 23","3,050","3,130","3,170","3,050","2.27M","-3.33%"
"2024- 02- 22","3,155","3,280","3,290","3,135","0.10K","-3.81%"
"2024- 02- 21","3,280","3,250","3,345","3,210","2.63M","1.86%"
"2024- 02- 20","3,220","3,225","3,295","3,180","0.05K","-2.42%"
"2024- 02- 19","3,300","3,250","3,390","3,210","1.05K","-1.79%"
"2024- 02- 18","3,360","3,360","3,360","3,360","","0.00%"
"2024- 02- 16","3,360","3,595","3,670","3,280","14.41M","-0.44%"
"2024- 02- 15","3,375","3,330","3,390","3,150","0.01K","0.00%"
"2024- 02- 14","3,375","3,425","3,540","3,215","8.19K","0.15%"
"2024- 02- 13","3,370","2,710","3,370","2,660","44.76K","29.87%"
"2024- 02- 08","2,595","2,700","2,710","2,585","793.68K","-3.35%"
"2024- 02- 07","2,685","2,545","2,695","2,530","0.00K","5.50%"
