"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","68,100","66,900","68,300","66,100","337.07K","1.95%"
"2024- 04- 29","66,800","66,000","68,100","65,300","430.13K","1.98%"
"2024- 04- 26","65,500","66,200","68,600","65,000","409.88K","-1.06%"
"2024- 04- 25","66,200","68,200","68,900","66,100","358.86K","-2.93%"
"2024- 04- 24","68,200","68,000","69,000","67,300","528.66K","0.59%"
"2024- 04- 23","67,800","62,800","69,000","62,300","1.29M","7.28%"
"2024- 04- 22","63,200","64,800","65,500","62,900","621.59K","-1.10%"
"2024- 04- 19","63,900","62,100","65,500","61,500","895.94K","2.90%"
"2024- 04- 18","62,100","59,400","62,500","59,000","429.90K","5.61%"
"2024- 04- 17","58,800","61,000","61,500","58,800","522.77K","-3.61%"
"2024- 04- 16","61,000","63,000","63,300","60,100","473.72K","-3.79%"
"2024- 04- 15","63,400","63,300","64,000","62,100","382.57K","-1.55%"
"2024- 04- 12","64,400","62,000","64,900","61,200","680.07K","4.89%"
"2024- 04- 11","61,400","61,200","64,000","60,700","533.27K","-3.00%"
"2024- 04- 09","63,300","62,300","63,600","61,200","645.69K","1.61%"
"2024- 04- 08","62,300","64,600","64,600","62,000","683.30K","-3.56%"
"2024- 04- 05","64,600","63,200","66,100","63,100","563.84K","-0.77%"
"2024- 04- 04","65,100","66,400","67,300","65,000","605.71K","-1.66%"
"2024- 04- 03","66,200","64,000","68,100","63,900","1.49M","1.69%"
"2024- 04- 02","65,100","73,000","73,200","64,700","2.66M","-11.79%"
"2024- 04- 01","73,800","74,500","76,300","73,300","1.01M","-1.34%"
"2024- 03- 29","74,800","74,000","76,300","73,300","863.22K","0.94%"
"2024- 03- 28","74,100","78,600","78,800","74,000","2.13M","-2.50%"
"2024- 03- 27","76,000","73,400","76,000","71,000","1.27M","4.11%"
"2024- 03- 26","73,000","74,800","77,200","72,400","1.88M","-3.95%"
"2024- 03- 25","76,000","74,600","76,400","72,800","1.91M","4.68%"
"2024- 03- 22","72,600","71,400","73,700","69,900","1.11M","1.11%"
"2024- 03- 21","71,800","69,500","72,400","69,100","1.14M","4.82%"
"2024- 03- 20","68,500","71,200","71,400","68,300","1.17M","-5.12%"
"2024- 03- 19","72,200","69,300","72,900","67,900","1.64M","4.18%"
"2024- 03- 18","69,300","69,800","71,200","68,900","1.26M","-1.56%"
"2024- 03- 17","70,400","69,800","70,400","69,000","276.93K","2.03%"
"2024- 03- 15","69,000","72,500","72,900","67,900","2.16M","-5.87%"
"2024- 03- 14","73,300","74,400","75,800","72,100","0.17K","-1.48%"
"2024- 03- 13","74,400","76,800","78,900","72,300","2.60K","-3.63%"
"2024- 03- 12","77,200","76,300","78,400","75,600","1.55M","-0.52%"
"2024- 03- 11","77,600","81,300","83,600","77,200","0.19K","-1.77%"
"2024- 03- 10","79,000","79,000","79,000","79,000","","0.00%"
"2024- 03- 08","79,000","74,500","80,300","72,700","5.65M","4.22%"
"2024- 03- 07","75,800","75,100","77,100","72,100","1.92K","-2.32%"
"2024- 03- 06","77,600","64,200","77,600","63,200","13.00M","29.33%"
"2024- 03- 05","60,000","57,200","60,800","56,600","0.16K","4.90%"
"2024- 03- 04","57,200","54,100","57,700","54,100","0.49K","7.52%"
"2024- 03- 03","53,200","53,200","53,200","53,200","","0.00%"
"2024- 02- 29","53,200","54,200","56,500","53,000","802.84K","-1.66%"
"2024- 02- 28","54,100","54,800","55,300","53,200","0.35K","-1.64%"
"2024- 02- 27","55,000","57,400","58,000","54,300","0.61K","-3.51%"
"2024- 02- 26","57,000","56,300","59,000","55,800","0.03K","3.64%"
"2024- 02- 25","55,000","55,000","55,000","55,000","","0.00%"
"2024- 02- 23","55,000","57,700","62,300","54,800","3.50M","-1.96%"
"2024- 02- 22","56,100","53,400","56,600","53,000","1.22M","5.85%"
"2024- 02- 21","53,000","51,800","54,200","51,800","434.33K","1.34%"
"2024- 02- 20","52,300","53,700","53,700","52,100","0.14K","-2.06%"
"2024- 02- 19","53,400","52,700","54,200","52,400","0.03K","1.71%"
"2024- 02- 18","52,500","52,500","52,500","52,500","","0.00%"
"2024- 02- 16","52,500","52,100","53,200","51,600","311.30K","1.16%"
"2024- 02- 15","51,900","52,600","53,500","51,400","356.41K","-0.57%"
"2024- 02- 14","52,200","50,500","53,000","50,000","614.39K","0.97%"
"2024- 02- 13","51,700","48,400","52,300","47,800","0.18K","8.84%"
"2024- 02- 12","47,500","47,500","47,500","47,500","","0.00%"
"2024- 02- 08","47,500","48,650","48,700","47,500","372.34K","-2.36%"
"2024- 02- 07","48,650","47,500","49,000","47,100","0.55K","3.07%"
"2024- 02- 06","47,200","46,750","47,950","46,350","306.78K","0.21%"
"2024- 02- 05","47,100","48,850","48,850","47,100","0.30K","-3.19%"
"2024- 02- 04","48,650","48,650","48,650","48,650","","0.00%"
"2024- 02- 02","48,650","49,000","49,800","48,150","523.31K","0.21%"
"2024- 02- 01","48,550","50,700","51,400","48,000","0.21K","-3.67%"
"2024- 01- 31","50,400","52,300","52,300","50,400","0.53K","-3.45%"
"2024- 01- 30","52,200","51,100","52,500","50,900","0.42K","3.37%"
"2024- 01- 29","50,500","54,000","54,000","50,300","687.80K","-3.81%"
"2024- 01- 26","52,500","51,700","54,200","51,300","731.89K","1.74%"
"2024- 01- 25","51,600","51,200","52,400","51,000","0.69K","0.58%"
"2024- 01- 24","51,300","51,900","52,100","50,600","425.76K","-2.10%"
"2024- 01- 23","52,400","52,900","55,300","51,700","0.02K","-0.76%"
"2024- 01- 22","52,800","50,000","53,000","48,500","1.57M","7.76%"
"2024- 01- 21","49,000","49,000","49,000","49,000","","0.00%"
"2024- 01- 19","49,000","50,400","51,000","48,350","1.18M","-2.78%"
"2024- 01- 18","50,400","51,100","52,200","50,100","942.40K","-1.18%"
"2024- 01- 17","51,000","52,900","52,900","49,650","1.49K","-2.30%"
"2024- 01- 16","52,200","56,200","57,700","50,700","1.26K","-4.74%"
"2024- 01- 15","54,800","55,800","56,000","53,500","0.84K","-2.49%"
"2024- 01- 14","56,200","56,200","56,200","56,200","","0.00%"
"2024- 01- 12","56,200","57,500","58,000","55,100","753.99K","-3.60%"
"2024- 01- 11","58,300","59,500","59,500","57,700","0.37K","-2.51%"
"2024- 01- 10","59,800","57,700","60,800","56,000","0.10K","2.05%"
"2024- 01- 09","58,600","58,700","60,800","57,800","0.09K","2.45%"
"2024- 01- 08","57,200","58,200","59,800","56,100","0.07K","-0.87%"
"2024- 01- 07","57,700","57,700","57,700","57,700","","0.00%"
"2024- 01- 05","57,700","59,100","60,600","57,200","1.30M","-0.69%"
"2024- 01- 04","58,100","61,300","61,600","58,100","0.00K","-6.29%"
"2024- 01- 03","62,000","64,100","65,200","61,100","0.26K","-4.32%"
"2024- 01- 02","64,800","64,300","66,200","61,000","1.84M","-0.31%"
