"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","5,260","5,350","5,350","5,230","25.66K","-0.19%"
"2024- 05- 03","5,270","5,290","5,360","5,260","33.76K","-0.57%"
"2024- 05- 02","5,300","5,350","5,360","5,290","27.86K","-1.12%"
"2024- 04- 30","5,360","5,350","5,380","5,280","32.25K","0.19%"
"2024- 04- 29","5,350","5,320","5,380","5,300","29.57K","0.56%"
"2024- 04- 26","5,320","5,330","5,330","5,300","13.73K","-0.19%"
"2024- 04- 25","5,330","5,340","5,380","5,300","19.79K","-0.37%"
"2024- 04- 24","5,350","5,250","5,360","5,250","26.34K","1.71%"
"2024- 04- 23","5,260","5,200","5,280","5,200","31.00K","0.77%"
"2024- 04- 22","5,220","5,170","5,240","5,170","22.61K","0.38%"
"2024- 04- 19","5,200","5,160","5,200","5,090","44.46K","0.78%"
"2024- 04- 18","5,160","5,130","5,200","5,130","16.87K","-0.39%"
"2024- 04- 17","5,180","5,130","5,190","5,120","25.68K","0.58%"
"2024- 04- 16","5,150","5,210","5,310","5,100","116.61K","-2.09%"
"2024- 04- 15","5,260","5,300","5,300","5,220","24.54K","-0.75%"
"2024- 04- 12","5,300","5,350","5,360","5,260","27.71K","-0.56%"
"2024- 04- 11","5,330","5,390","5,390","5,290","32.16K","-1.11%"
"2024- 04- 09","5,390","5,350","5,420","5,350","15.21K","-0.19%"
"2024- 04- 08","5,400","5,440","5,500","5,380","37.33K","-1.10%"
"2024- 04- 05","5,460","5,470","5,510","5,440","15.31K","-0.18%"
"2024- 04- 04","5,470","5,430","5,540","5,430","27.49K","0.18%"
"2024- 04- 03","5,460","5,500","5,500","5,430","37.66K","-0.73%"
"2024- 04- 02","5,500","5,560","5,580","5,470","39.53K","-1.08%"
"2024- 04- 01","5,560","5,590","5,590","5,550","27.44K","-0.54%"
"2024- 03- 29","5,590","5,640","5,660","5,560","41.78K","-0.71%"
"2024- 03- 28","5,630","5,620","5,680","5,590","36.67K","0.00%"
"2024- 03- 27","5,630","5,560","5,650","5,560","51.07K","1.08%"
"2024- 03- 26","5,570","5,550","5,600","5,500","32.56K","0.36%"
"2024- 03- 25","5,550","5,560","5,600","5,450","70.07K","-0.36%"
"2024- 03- 22","5,570","5,560","5,600","5,540","37.08K","0.18%"
"2024- 03- 21","5,560","5,520","5,580","5,520","29.03K","0.91%"
"2024- 03- 20","5,510","5,520","5,550","5,480","38.46K","-0.18%"
"2024- 03- 19","5,520","5,550","5,600","5,500","44.45K","-0.54%"
"2024- 03- 18","5,550","5,630","5,630","5,530","76.05K","-0.72%"
"2024- 03- 15","5,590","5,630","5,700","5,590","4.53K","-0.89%"
"2024- 03- 14","5,640","5,560","5,670","5,540","61.30K","1.44%"
"2024- 03- 13","5,560","5,620","5,620","5,500","62.44K","0.00%"
"2024- 03- 12","5,560","5,590","5,640","5,540","49.85K","-1.42%"
"2024- 03- 11","5,640","5,550","5,700","5,550","50.80K","0.71%"
"2024- 03- 08","5,600","5,760","5,790","5,580","91.14K","-2.78%"
"2024- 03- 07","5,760","5,750","5,810","5,720","48.11K","-0.35%"
"2024- 03- 06","5,780","5,840","5,870","5,760","54.29K","-0.69%"
"2024- 03- 05","5,820","5,800","5,900","5,800","42.70K","-1.36%"
"2024- 03- 04","5,900","5,950","5,980","5,850","0.02K","-0.84%"
"2024- 02- 29","5,950","5,850","5,950","5,850","34.12K","0.85%"
"2024- 02- 28","5,900","5,830","5,930","5,790","43.72K","1.20%"
"2024- 02- 27","5,830","5,910","5,980","5,810","62.24K","-2.02%"
"2024- 02- 26","5,950","6,060","6,060","5,890","90.55K","-1.65%"
"2024- 02- 23","6,050","6,030","6,070","5,990","32.85K","0.33%"
"2024- 02- 22","6,030","6,010","6,080","6,000","57.38K","-0.17%"
"2024- 02- 21","6,040","6,090","6,120","6,040","56.40K","-0.82%"
"2024- 02- 20","6,090","6,130","6,130","6,010","69.27K","-0.65%"
