"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,050","7,190","7,340","7,000","637.91K","-1.95%"
"2024- 05- 07","7,190","7,650","7,680","7,000","1.02M","-5.89%"
"2024- 05- 03","7,640","7,750","7,850","7,490","425.23K","-0.91%"
"2024- 05- 02","7,710","7,880","7,980","7,710","505.02K","-4.70%"
"2024- 04- 30","8,090","7,760","8,160","7,480","837.78K","4.25%"
"2024- 04- 29","7,760","7,140","7,950","7,000","1.68M","9.45%"
"2024- 04- 26","7,090","6,650","7,310","6,530","936.99K","7.42%"
"2024- 04- 25","6,600","6,740","6,870","6,540","223.79K","-2.94%"
"2024- 04- 24","6,800","6,980","7,100","6,700","306.84K","-2.02%"
"2024- 04- 23","6,940","6,940","7,260","6,740","476.96K","1.61%"
"2024- 04- 22","6,830","6,700","7,030","6,610","366.65K","1.94%"
"2024- 04- 19","6,700","7,010","7,110","6,530","621.50K","-4.29%"
"2024- 04- 18","7,000","6,120","7,500","6,050","2.24M","16.09%"
"2024- 04- 17","6,030","6,230","6,270","6,030","182.27K","-3.37%"
"2024- 04- 16","6,240","6,470","6,470","5,910","637.40K","0.90%"
"2024- 04- 15","6,185","6,215","6,239","5,992","602.17K","-1.47%"
"2024- 04- 12","6,277","5,977","6,454","5,977","1.30M","5.84%"
"2024- 04- 11","5,931","5,892","6,077","5,669","358.04K","-0.26%"
"2024- 04- 09","5,946","5,962","6,131","5,839","322.24K","-1.90%"
"2024- 04- 08","6,062","6,015","6,108","5,769","545.79K","0.90%"
"2024- 04- 05","6,008","5,846","6,192","5,662","761.82K","-0.51%"
"2024- 04- 04","6,039","6,077","6,446","5,969","1.89M","-2.24%"
"2024- 04- 03","6,177","5,323","6,685","5,292","9.71M","13.58%"
"2024- 04- 02","5,439","5,800","5,846","5,346","1.18M","-7.70%"
"2024- 04- 01","5,892","5,600","6,585","5,292","6.16M","7.13%"
"2024- 03- 29","5,500","5,085","5,769","5,046","2.63M","8.17%"
"2024- 03- 28","5,085","5,154","5,300","5,046","278.49K","-1.64%"
"2024- 03- 27","5,169","5,085","5,292","5,015","328.63K","1.66%"
"2024- 03- 26","5,085","5,008","5,231","4,939","268.59K","1.69%"
"2024- 03- 25","5,000","5,023","5,131","4,931","232.17K","0.00%"
"2024- 03- 22","5,000","4,900","5,031","4,846","232.76K","3.17%"
"2024- 03- 21","4,846","4,885","5,054","4,808","348.27K","0.80%"
"2024- 03- 20","4,808","4,985","5,023","4,746","304.60K","-3.55%"
"2024- 03- 19","4,985","5,115","5,115","4,831","446.41K","-3.71%"
"2024- 03- 18","5,177","5,185","5,308","4,877","570.41K","-23.19%"
"2024- 03- 17","6,740","6,740","6,750","6,730","22.62K","30.00%"
"2024- 03- 15","5,185","4,931","5,323","4,654","629.74K","4.82%"
"2024- 03- 14","4,946","5,046","5,285","4,877","434.86K","-0.46%"
"2024- 03- 13","4,969","4,939","5,054","4,808","332.09K","0.62%"
"2024- 03- 12","4,939","4,654","5,331","4,585","1.70M","6.29%"
"2024- 03- 11","4,646","4,885","5,015","4,615","452.56K","-27.40%"
"2024- 03- 10","6,400","6,400","6,400","6,400","","30.00%"
"2024- 03- 08","4,923","5,100","5,385","4,892","648.94K","-2.44%"
"2024- 03- 07","5,046","5,231","5,269","4,992","633.91K","-2.96%"
"2024- 03- 06","5,200","5,346","5,600","5,177","816.44K","-3.29%"
"2024- 03- 05","5,377","5,200","5,669","5,123","1.88M","6.23%"
"2024- 03- 04","5,062","4,877","5,339","4,846","733.89K","-18.89%"
"2024- 03- 03","6,240","6,240","6,240","6,240","","30.00%"
"2024- 02- 29","4,800","4,877","5,062","4,785","989.91K","-0.80%"
"2024- 02- 28","4,839","4,308","5,446","4,154","5.61M","11.33%"
"2024- 02- 27","4,346","3,827","4,462","3,804","1.59M","13.57%"
"2024- 02- 26","3,827","3,785","3,862","3,731","80.20K","1.74%"
"2024- 02- 23","3,762","3,831","3,831","3,762","81.80K","-1.81%"
"2024- 02- 22","3,831","3,823","3,946","3,796","143.18K","0.20%"
"2024- 02- 21","3,823","3,969","3,977","3,796","208.66K","-1.19%"
"2024- 02- 20","3,869","3,846","3,908","3,815","120.18K","0.60%"
"2024- 02- 19","3,846","3,812","3,915","3,739","268.01K","-22.30%"
"2024- 02- 18","4,950","4,950","4,950","4,950","","30.00%"
"2024- 02- 16","3,808","3,789","4,000","3,692","963.49K","8.79%"
"2024- 02- 15","3,500","3,562","3,581","3,485","35.44K","-1.51%"
"2024- 02- 14","3,554","3,485","3,554","3,419","47.42K","3.70%"
"2024- 02- 13","3,427","3,442","3,535","3,423","42.69K","-22.90%"
"2024- 02- 12","4,445","4,445","4,445","4,445","","30.00%"
"2024- 02- 08","3,419","3,458","3,473","3,385","87.61K","-1.22%"
"2024- 02- 07","3,462","3,523","3,592","3,439","61.53K","-1.75%"
"2024- 02- 06","3,523","3,581","3,589","3,504","39.75K","-1.08%"
"2024- 02- 05","3,562","3,531","3,631","3,508","59.11K","-22.41%"
"2024- 02- 04","4,590","4,590","4,590","4,590","","30.00%"
"2024- 02- 02","3,531","3,481","3,589","3,450","47.31K","1.33%"
