"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","8,880","8,900","8,970","8,670","137.09K","-1.44%"
"2024- 05- 07","9,010","9,310","9,320","8,830","231.20K","-3.33%"
"2024- 05- 03","9,320","9,160","9,740","9,140","346.48K","1.75%"
"2024- 05- 02","9,160","9,400","9,630","9,140","271.97K","-3.38%"
"2024- 04- 30","9,480","7,990","9,940","7,980","1.27M","17.62%"
"2024- 04- 29","8,060","7,850","8,060","7,830","94.16K","2.28%"
"2024- 04- 26","7,880","7,800","7,900","7,400","70.31K","2.34%"
"2024- 04- 25","7,700","7,750","8,020","7,610","66.02K","-0.65%"
"2024- 04- 24","7,750","7,940","7,950","7,740","48.18K","-2.02%"
"2024- 04- 23","7,910","7,800","8,000","7,760","116.31K","1.54%"
"2024- 04- 22","7,790","7,500","7,920","7,230","181.54K","4.85%"
"2024- 04- 19","7,430","7,350","7,540","7,090","71.75K","0.13%"
"2024- 04- 18","7,420","7,450","7,580","7,000","110.41K","3.92%"
"2024- 04- 17","7,140","7,000","7,160","6,810","60.06K","4.23%"
"2024- 04- 16","6,850","7,300","7,330","6,700","44.52K","-6.16%"
"2024- 04- 15","7,300","7,400","7,530","7,120","43.35K","-0.82%"
"2024- 04- 12","7,360","7,100","7,510","6,930","75.30K","3.66%"
"2024- 04- 11","7,100","7,270","7,300","6,860","73.22K","-2.74%"
"2024- 04- 09","7,300","7,040","7,300","6,850","163.21K","1.25%"
"2024- 04- 08","7,210","7,470","7,470","7,000","123.43K","-3.35%"
"2024- 04- 05","7,460","7,550","7,770","7,100","315.07K","-1.19%"
"2024- 04- 04","7,550","7,910","8,080","7,330","163.76K","-5.15%"
"2024- 04- 03","7,960","7,700","8,010","7,500","99.58K","1.79%"
"2024- 04- 02","7,820","8,360","8,390","7,560","208.16K","-6.46%"
"2024- 04- 01","8,360","8,550","8,640","8,300","135.08K","-2.22%"
"2024- 03- 29","8,550","7,770","8,580","7,710","297.89K","9.90%"
"2024- 03- 28","7,780","8,100","8,340","7,780","155.23K","-3.47%"
"2024- 03- 27","8,060","7,710","8,380","7,410","293.94K","4.68%"
"2024- 03- 26","7,700","7,350","7,950","7,200","308.78K","2.67%"
"2024- 03- 25","7,500","6,470","7,580","6,450","539.46K","15.92%"
"2024- 03- 22","6,470","6,290","6,500","6,150","157.54K","2.86%"
"2024- 03- 21","6,290","5,850","6,350","5,750","211.99K","6.43%"
"2024- 03- 20","5,910","5,750","5,970","5,650","96.86K","2.07%"
"2024- 03- 19","5,790","6,260","6,350","5,660","278.40K","-9.39%"
"2024- 03- 18","6,390","5,490","6,600","5,470","620.43K","16.82%"
"2024- 03- 15","5,470","5,220","5,560","4,975","353.34K","0.55%"
"2024- 03- 14","5,440","5,660","5,840","5,320","301.67K","-7.01%"
"2024- 03- 13","5,850","5,500","5,970","5,490","155.56K","1.21%"
"2024- 03- 12","5,780","5,690","5,780","5,450","101.51K","1.76%"
"2024- 03- 11","5,680","5,460","5,850","5,430","158.61K","4.60%"
"2024- 03- 10","5,430","5,430","5,430","5,430","","0.00%"
"2024- 03- 08","5,430","5,000","5,500","4,880","141.74K","10.48%"
"2024- 03- 07","4,915","5,200","5,200","4,885","214.96K","-6.74%"
"2024- 03- 06","5,270","5,390","5,470","5,050","129.40K","-2.23%"
"2024- 03- 05","5,390","5,600","5,600","5,300","57.75K","-3.75%"
"2024- 03- 04","5,600","5,800","5,800","5,300","156.61K","-3.45%"
"2024- 02- 29","5,800","5,810","5,880","5,700","23.42K","-0.17%"
"2024- 02- 28","5,810","6,000","6,040","5,750","41.93K","-3.17%"
"2024- 02- 27","6,000","6,060","6,060","5,750","58.21K","-0.99%"
"2024- 02- 26","6,060","6,150","6,150","5,750","47.01K","0.17%"
"2024- 02- 23","6,050","6,000","6,100","5,940","80.74K","1.68%"
"2024- 02- 22","5,950","6,020","6,040","5,790","101.86K","0.34%"
"2024- 02- 20","5,930","6,030","6,080","5,650","52.20K","-1.66%"
"2024- 02- 19","6,030","6,240","6,240","5,950","64.80K","-3.37%"
"2024- 02- 16","6,240","6,240","6,300","6,000","54.33K","0.48%"
"2024- 02- 15","6,210","6,440","6,440","6,150","49.49K","-3.27%"
"2024- 02- 14","6,420","6,250","6,430","6,210","122.48K","2.72%"
"2024- 02- 13","6,250","6,050","6,300","5,910","82.13K","3.31%"
"2024- 02- 08","6,050","5,900","6,150","5,900","38.45K","0.33%"
"2024- 02- 07","6,030","5,790","6,050","5,690","28.52K","3.97%"
"2024- 02- 06","5,800","5,740","5,870","5,600","73.87K","0.00%"
"2024- 02- 05","5,800","5,890","5,890","5,700","11.15K","0.35%"
"2024- 02- 02","5,780","5,780","5,960","5,740","16.00K","0.00%"
"2024- 02- 01","5,780","6,000","6,050","5,690","51.45K","-2.03%"
"2024- 01- 31","5,900","6,200","6,200","5,800","70.39K","-2.48%"
"2024- 01- 30","6,050","6,040","6,070","5,870","45.68K","0.00%"
"2024- 01- 29","6,050","6,000","6,090","5,650","115.03K","0.17%"
"2024- 01- 26","6,040","5,960","6,120","5,850","35.75K","0.00%"
"2024- 01- 25","6,040","6,260","6,320","5,950","33.40K","-3.51%"
"2024- 01- 24","6,260","6,450","6,480","6,250","48.74K","-2.34%"
"2024- 01- 23","6,410","5,960","6,410","5,820","65.58K","7.55%"
"2024- 01- 22","5,960","5,880","5,990","5,840","17.81K","0.00%"
"2024- 01- 19","5,960","5,920","6,050","5,790","80.66K","0.51%"
"2024- 01- 18","5,930","6,060","6,110","5,860","36.38K","0.17%"
"2024- 01- 17","5,920","6,030","6,090","5,780","28.14K","-1.82%"
"2024- 01- 16","6,030","5,980","6,120","5,700","90.87K","2.55%"
"2024- 01- 15","5,880","6,390","6,450","5,860","192.34K","-7.26%"
"2024- 01- 12","6,340","6,480","6,500","6,280","117.05K","-2.16%"
