"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","20,800","20,650","20,800","20,400","13.21K","0.00%"
"2024- 05- 07","20,800","20,800","21,000","20,650","19.94K","0.48%"
"2024- 05- 03","20,700","20,500","20,800","20,400","24.88K","1.22%"
"2024- 05- 02","20,450","20,300","20,550","20,150","16.00K","0.74%"
"2024- 04- 30","20,300","20,200","20,500","20,150","18.26K","0.25%"
"2024- 04- 29","20,250","20,050","20,400","20,050","17.01K","1.00%"
"2024- 04- 26","20,050","19,890","20,100","19,780","26.74K","0.80%"
"2024- 04- 25","19,890","19,940","20,050","19,870","14.58K","-0.55%"
"2024- 04- 24","20,000","19,930","20,150","19,910","20.84K","0.35%"
"2024- 04- 23","19,930","19,760","20,100","19,700","26.49K","1.12%"
"2024- 04- 22","19,710","19,350","19,890","19,350","25.81K","1.86%"
"2024- 04- 19","19,350","19,900","19,900","18,960","39.86K","-2.17%"
"2024- 04- 18","19,780","19,400","20,000","19,330","34.87K","2.22%"
"2024- 04- 17","19,350","19,480","19,730","19,350","41.71K","-0.67%"
"2024- 04- 16","19,480","19,850","20,000","19,430","64.44K","-2.60%"
"2024- 04- 15","20,000","20,400","20,650","19,910","61.44K","-3.38%"
"2024- 04- 12","20,700","20,450","21,000","20,450","25.90K","0.73%"
"2024- 04- 11","20,550","20,800","20,850","20,350","29.76K","-1.67%"
"2024- 04- 09","20,900","20,950","21,250","20,850","24.18K","-0.48%"
"2024- 04- 08","21,000","21,200","21,350","20,700","28.48K","0.00%"
"2024- 04- 05","21,000","21,000","21,200","20,700","37.16K","-0.94%"
"2024- 04- 04","21,200","21,250","21,500","21,150","22.26K","0.24%"
"2024- 04- 03","21,150","21,450","21,600","21,100","42.69K","-2.08%"
"2024- 04- 02","21,600","22,500","22,500","21,400","138.54K","-4.21%"
"2024- 04- 01","22,550","22,750","22,850","22,300","51.87K","0.00%"
"2024- 03- 29","22,550","22,700","22,900","22,400","45.06K","-0.22%"
"2024- 03- 28","22,600","23,200","23,400","22,400","73.86K","-1.31%"
"2024- 03- 27","22,900","23,500","23,500","22,550","75.78K","-2.35%"
"2024- 03- 26","23,450","23,500","23,650","23,100","70.06K","-0.21%"
"2024- 03- 25","23,500","23,400","24,100","23,200","105.45K","1.08%"
"2024- 03- 22","23,250","22,950","23,500","22,650","74.47K","1.53%"
"2024- 03- 21","22,900","23,200","24,400","22,850","289.42K","-0.87%"
"2024- 03- 20","23,100","23,550","24,250","23,000","175.03K","-1.91%"
"2024- 03- 19","23,550","23,750","24,000","23,150","174.40K","0.43%"
"2024- 03- 18","23,450","22,550","24,000","22,550","222.53K","5.39%"
"2024- 03- 15","22,250","22,800","22,900","22,050","77.72K","-3.26%"
"2024- 03- 14","23,000","22,800","23,800","22,700","239.67K","1.32%"
"2024- 03- 13","22,700","23,150","23,200","22,300","117.66K","-0.87%"
"2024- 03- 12","22,900","22,100","23,250","22,000","229.13K","3.39%"
"2024- 03- 11","22,150","22,650","22,800","21,950","68.81K","-0.67%"
"2024- 03- 10","22,300","22,300","22,300","22,300","","0.00%"
"2024- 03- 08","22,300","21,650","22,350","21,400","84.12K","3.00%"
"2024- 03- 07","21,650","21,950","22,100","21,350","72.53K","0.23%"
"2024- 03- 06","21,600","21,450","22,100","21,150","74.38K","0.47%"
"2024- 03- 05","21,500","21,100","21,700","20,900","42.90K","1.65%"
"2024- 03- 04","21,150","20,900","21,250","20,650","32.18K","0.95%"
"2024- 02- 29","20,950","21,200","21,350","20,950","45.57K","-1.87%"
"2024- 02- 28","21,350","21,400","21,700","21,050","52.93K","0.71%"
"2024- 02- 27","21,200","21,950","21,950","21,000","100.03K","-3.64%"
"2024- 02- 26","22,000","22,200","22,450","21,850","66.87K","-0.23%"
"2024- 02- 23","22,050","21,500","22,400","21,350","79.81K","2.56%"
"2024- 02- 22","21,500","21,850","21,850","21,350","62.34K","-1.60%"
"2024- 02- 21","21,850","22,300","22,300","21,700","53.62K","-2.67%"
"2024- 02- 20","22,450","22,550","22,900","22,200","81.11K","0.22%"
"2024- 02- 19","22,400","21,850","22,500","21,700","103.06K","3.23%"
"2024- 02- 18","21,700","21,700","21,700","21,700","","0.00%"
"2024- 02- 16","21,700","21,500","21,750","21,050","66.17K","0.93%"
"2024- 02- 15","21,500","21,950","21,950","21,450","56.63K","-0.92%"
"2024- 02- 14","21,700","21,600","21,950","21,450","55.20K","-1.36%"
"2024- 02- 13","22,000","21,600","22,100","21,400","75.30K","1.85%"
