"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,010","4,880","5,200","4,860","104.94K","2.77%"
"2024- 05- 07","4,875","4,870","4,980","4,750","59.30K","1.04%"
"2024- 05- 03","4,825","4,735","4,850","4,735","34.20K","1.90%"
"2024- 05- 02","4,735","4,800","4,800","4,675","54.05K","-1.97%"
"2024- 04- 30","4,830","4,770","4,890","4,740","34.59K","0.63%"
"2024- 04- 29","4,800","4,750","4,825","4,655","57.16K","3.90%"
"2024- 04- 26","4,620","4,730","4,770","4,510","75.15K","-2.12%"
"2024- 04- 25","4,720","4,890","4,890","4,720","71.95K","-3.58%"
"2024- 04- 24","4,895","4,795","4,900","4,795","46.10K","2.19%"
"2024- 04- 23","4,790","4,915","4,915","4,755","30.43K","-0.10%"
"2024- 04- 22","4,795","4,775","4,890","4,750","43.14K","-0.72%"
"2024- 04- 19","4,830","5,010","5,010","4,720","75.12K","-3.30%"
"2024- 04- 18","4,995","4,820","5,030","4,820","29.23K","2.78%"
"2024- 04- 17","4,860","4,820","5,000","4,820","48.51K","0.52%"
"2024- 04- 16","4,835","4,990","5,000","4,815","80.28K","-3.49%"
"2024- 04- 15","5,010","5,050","5,120","4,925","55.07K","-2.53%"
"2024- 04- 12","5,140","5,150","5,280","5,090","30.10K","-0.19%"
"2024- 04- 11","5,150","5,120","5,230","5,060","37.60K","-0.39%"
"2024- 04- 09","5,170","5,170","5,350","5,110","31.83K","0.00%"
"2024- 04- 08","5,170","5,360","5,400","5,150","61.43K","-3.18%"
"2024- 04- 05","5,340","5,430","5,510","5,290","89.24K","-1.66%"
"2024- 04- 04","5,430","5,510","5,530","5,430","38.73K","-1.45%"
"2024- 04- 03","5,510","5,610","5,610","5,490","54.02K","-1.43%"
"2024- 04- 02","5,590","5,680","5,740","5,540","73.58K","-2.61%"
"2024- 04- 01","5,740","5,560","5,740","5,560","48.33K","2.32%"
"2024- 03- 29","5,610","5,580","5,650","5,520","64.40K","0.00%"
"2024- 03- 28","5,610","5,640","5,640","5,570","47.81K","-0.53%"
"2024- 03- 27","5,640","5,670","5,790","5,570","55.91K","-1.05%"
"2024- 03- 26","5,700","5,670","5,740","5,630","48.85K","0.53%"
"2024- 03- 25","5,670","5,760","5,840","5,630","54.20K","-2.74%"
"2024- 03- 22","5,830","5,770","5,830","5,570","63.79K","2.10%"
"2024- 03- 21","5,710","5,670","5,770","5,650","71.32K","1.06%"
"2024- 03- 20","5,650","5,810","5,880","5,630","95.91K","-2.75%"
"2024- 03- 19","5,810","5,880","5,900","5,800","49.46K","-1.19%"
"2024- 03- 18","5,880","5,870","5,950","5,860","41.60K","-0.68%"
"2024- 03- 17","5,920","5,920","5,920","5,920","","0.00%"
"2024- 03- 15","5,920","5,990","6,030","5,880","0.03K","-1.82%"
"2024- 03- 14","6,030","6,020","6,090","5,900","44.48K","0.50%"
"2024- 03- 13","6,000","6,010","6,110","5,870","0.05K","1.18%"
"2024- 03- 12","5,930","5,960","6,010","5,860","61.27K","-0.34%"
"2024- 03- 11","5,950","5,930","6,070","5,850","66.56K","0.34%"
"2024- 03- 08","5,930","6,100","6,100","5,850","79.85K","-1.33%"
"2024- 03- 07","6,010","5,910","6,070","5,860","56.64K","1.69%"
"2024- 03- 06","5,910","6,090","6,090","5,810","79.08K","0.00%"
"2024- 03- 05","5,910","6,080","6,080","5,900","132.16K","-3.43%"
"2024- 03- 04","6,120","6,310","6,380","6,100","120.77K","-3.01%"
"2024- 02- 29","6,310","6,450","6,470","6,300","93.95K","-1.87%"
"2024- 02- 28","6,430","6,520","6,690","6,400","101.55K","-1.23%"
"2024- 02- 27","6,510","7,010","7,010","6,510","161.24K","-5.10%"
"2024- 02- 26","6,860","6,900","7,060","6,710","223.26K","0.88%"
"2024- 02- 25","6,800","6,800","6,800","6,800","","0.00%"
"2024- 02- 23","6,800","6,650","7,200","6,600","518.04K","5.43%"
"2024- 02- 22","6,450","6,530","6,550","6,410","71.47K","-0.31%"
"2024- 02- 21","6,470","6,630","6,680","6,390","121.41K","-3.29%"
"2024- 02- 20","6,690","6,640","6,700","6,490","0.01K","0.75%"
"2024- 02- 19","6,640","6,430","6,680","6,430","115.12K","3.27%"
"2024- 02- 18","6,430","6,430","6,430","6,430","","0.00%"
"2024- 02- 16","6,430","6,670","6,670","6,400","112.75K","-1.53%"
"2024- 02- 15","6,530","6,670","6,750","6,450","133.40K","-0.61%"
"2024- 02- 14","6,570","6,500","6,620","6,380","71.60K","-0.45%"
"2024- 02- 13","6,600","6,500","6,680","6,390","133.21K","1.69%"
"2024- 02- 08","6,490","6,450","6,650","6,300","87.68K","2.04%"
"2024- 02- 07","6,360","6,520","6,550","6,310","116.52K","-0.47%"
"2024- 02- 06","6,390","6,540","6,570","6,250","115.54K","-1.99%"
"2024- 02- 05","6,520","6,810","6,950","6,510","212.83K","-2.69%"
"2024- 02- 02","6,700","6,910","7,090","6,700","258.32K","1.52%"
"2024- 02- 01","6,600","6,950","6,950","6,460","273.55K","-5.04%"
"2024- 01- 31","6,950","7,540","7,650","6,920","0.01K","-8.55%"
"2024- 01- 30","7,600","8,150","8,180","7,500","0.01K","-5.00%"
"2024- 01- 29","8,000","8,750","8,750","7,870","338.22K","-6.32%"
"2024- 01- 26","8,540","8,120","8,870","7,590","688.56K","5.30%"
"2024- 01- 25","8,110","8,430","8,430","8,080","0.00K","-3.57%"
"2024- 01- 24","8,410","8,600","8,600","8,190","0.03K","-2.44%"
"2024- 01- 23","8,620","9,400","9,480","8,390","0.02K","-6.61%"
"2024- 01- 22","9,230","9,300","9,350","9,030","0.53K","3.94%"
"2024- 01- 19","8,880","8,620","9,200","8,620","394.52K","3.02%"
"2024- 01- 18","8,620","8,050","8,800","8,050","341.80K","5.38%"
"2024- 01- 17","8,180","8,870","8,870","8,100","0.07K","-8.60%"
"2024- 01- 16","8,950","8,790","9,290","8,790","0.16K","2.87%"
"2024- 01- 15","8,700","8,880","8,940","8,530","0.00K","-3.97%"
"2024- 01- 12","9,060","9,490","9,650","8,980","536.68K","-2.58%"
"2024- 01- 11","9,300","9,300","9,770","9,200","708.04K","-1.48%"
"2024- 01- 10","9,440","9,580","9,840","9,030","0.10K","0.11%"
"2024- 01- 09","9,430","8,690","10,350","8,390","6.58K","7.77%"
"2024- 01- 08","8,750","7,530","8,750","7,450","5.77K","18.72%"
"2024- 01- 05","7,370","7,130","7,440","7,130","387.16K","5.89%"
"2024- 01- 04","6,960","7,100","7,240","6,900","163.91K","-1.97%"
"2024- 01- 03","7,100","7,150","7,150","6,920","121.28K","-0.98%"
"2024- 01- 02","7,170","7,010","7,170","6,860","0.01K","2.28%"
