"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","11,200","11,230","11,230","11,180","7.12K","-0.09%"
"2024- 05- 07","11,210","11,260","11,270","11,150","10.43K","-0.36%"
"2024- 05- 03","11,250","11,180","11,440","11,140","35.93K","-0.27%"
"2024- 05- 02","11,280","11,060","11,300","11,060","17.50K","1.35%"
"2024- 04- 30","11,130","11,140","11,150","11,070","4.73K","-0.09%"
"2024- 04- 29","11,140","11,050","11,150","11,050","6.96K","0.81%"
"2024- 04- 26","11,050","11,110","11,150","11,050","8.67K","-0.63%"
"2024- 04- 25","11,120","11,190","11,190","11,020","7.00K","-0.18%"
"2024- 04- 24","11,140","11,120","11,180","11,070","12.04K","0.18%"
"2024- 04- 23","11,120","11,030","11,170","11,030","7.73K","0.27%"
"2024- 04- 22","11,090","11,080","11,090","11,000","6.84K","0.00%"
"2024- 04- 19","11,090","11,120","11,160","10,910","15.98K","-0.09%"
"2024- 04- 18","11,100","10,940","11,100","10,940","9.05K","0.18%"
"2024- 04- 17","11,080","10,950","11,140","10,900","17.50K","1.56%"
"2024- 04- 16","10,910","11,030","11,500","10,910","119.62K","-0.64%"
"2024- 04- 15","10,980","10,930","10,980","10,900","5.96K","-0.18%"
"2024- 04- 12","11,000","10,920","11,020","10,920","7.03K","0.09%"
"2024- 04- 11","10,990","10,990","11,000","10,910","4.95K","-0.09%"
"2024- 04- 09","11,000","10,960","11,020","10,950","21.85K","0.18%"
"2024- 04- 08","10,980","11,000","11,250","10,950","6.73K","0.00%"
"2024- 04- 05","10,980","10,930","10,980","10,910","6.18K","0.37%"
"2024- 04- 04","10,940","10,860","11,000","10,860","7.70K","-0.45%"
"2024- 04- 03","10,990","10,990","10,990","10,900","7.16K","0.00%"
"2024- 04- 02","10,990","11,070","11,090","10,930","15.11K","-0.72%"
"2024- 04- 01","11,070","11,080","11,210","10,950","17.92K","-0.09%"
"2024- 03- 29","11,080","11,080","11,100","11,000","11.60K","-0.18%"
"2024- 03- 28","11,100","11,110","11,110","10,990","10.97K","-0.18%"
"2024- 03- 27","11,120","11,110","11,180","10,990","14.83K","0.09%"
"2024- 03- 26","11,110","11,110","11,150","11,020","14.97K","0.00%"
"2024- 03- 25","11,110","11,300","11,300","11,080","13.34K","-2.37%"
"2024- 03- 22","11,380","11,270","11,530","11,120","30.71K","0.18%"
"2024- 03- 21","11,360","11,530","11,540","11,230","48.38K","-1.56%"
"2024- 03- 20","11,540","10,940","11,590","10,940","110.89K","5.48%"
"2024- 03- 19","10,940","10,960","11,060","10,900","21.52K","-0.27%"
"2024- 03- 18","10,970","11,050","11,060","10,960","18.16K","-0.72%"
"2024- 03- 17","11,050","11,050","11,050","11,050","","0.09%"
"2024- 03- 15","11,040","11,050","11,090","10,860","0.29K","1.28%"
"2024- 03- 14","10,900","11,050","11,050","10,850","14.06K","-0.27%"
"2024- 03- 13","10,930","10,880","11,050","10,880","12.11K","0.18%"
"2024- 03- 12","10,910","11,140","11,150","10,910","8.31K","-0.55%"
"2024- 03- 11","10,970","10,910","11,110","10,910","18.58K","-0.27%"
"2024- 03- 08","11,000","11,080","11,090","10,960","8.07K","-0.72%"
"2024- 03- 07","11,080","11,100","11,500","10,910","34.99K","-0.09%"
"2024- 03- 06","11,090","11,000","11,100","10,950","8.98K","0.82%"
"2024- 03- 05","11,000","10,980","11,150","10,880","18.58K","0.18%"
"2024- 03- 04","10,980","11,150","11,210","10,960","39.72K","0.18%"
"2024- 02- 29","10,960","10,870","11,050","10,840","16.72K","-0.09%"
"2024- 02- 28","10,970","10,820","11,110","10,780","13.83K","1.39%"
"2024- 02- 27","10,820","10,930","10,970","10,790","17.75K","-1.37%"
"2024- 02- 26","10,970","11,200","11,200","10,900","16.12K","-1.17%"
"2024- 02- 23","11,100","11,140","11,200","11,000","11.68K","-0.54%"
"2024- 02- 22","11,160","11,260","11,260","11,040","18.19K","-0.89%"
"2024- 02- 21","11,260","11,240","11,540","11,220","30.06K","0.36%"
"2024- 02- 20","11,220","11,180","11,460","11,180","0.00K","0.45%"
"2024- 02- 19","11,170","10,960","11,240","10,920","31.12K","1.82%"
"2024- 02- 16","10,970","10,850","10,990","10,810","11.25K","1.01%"
"2024- 02- 15","10,860","10,900","11,000","10,800","12.13K","-0.37%"
"2024- 02- 14","10,900","10,990","11,100","10,830","26.92K","-0.55%"
"2024- 02- 13","10,960","11,280","11,350","10,530","32.64K","-2.66%"
"2024- 02- 08","11,260","11,240","11,390","11,220","24.60K","0.36%"
"2024- 02- 07","11,220","11,650","11,660","11,110","38.65K","-1.41%"
"2024- 02- 06","11,380","11,250","11,590","11,120","125.60K","1.70%"
"2024- 02- 05","11,190","11,100","11,200","11,000","20.40K","0.81%"
"2024- 02- 02","11,100","11,030","11,100","10,780","29.86K","1.00%"
"2024- 02- 01","10,990","10,790","10,990","10,720","38.15K","2.42%"
"2024- 01- 31","10,730","10,720","10,750","10,650","10.19K","-0.19%"
"2024- 01- 30","10,750","10,680","10,780","10,670","0.01K","0.66%"
"2024- 01- 29","10,680","10,660","10,740","10,580","10.14K","0.47%"
"2024- 01- 26","10,630","10,580","10,680","10,540","4.64K","0.85%"
"2024- 01- 25","10,540","10,590","10,650","10,540","3.19K","0.00%"
"2024- 01- 24","10,540","10,570","10,740","10,540","12.93K","-0.19%"
"2024- 01- 23","10,560","10,560","10,580","10,500","4.83K","0.00%"
"2024- 01- 22","10,560","10,710","10,710","10,530","8.77K","-0.66%"
"2024- 01- 19","10,630","10,740","10,800","10,630","6.75K","-0.65%"
"2024- 01- 18","10,700","10,560","10,700","10,510","18.45K","1.81%"
"2024- 01- 17","10,510","10,620","10,660","10,480","11.88K","-0.10%"
"2024- 01- 16","10,520","10,560","10,600","10,510","5.61K","-0.38%"
"2024- 01- 15","10,560","10,500","10,640","10,480","9.13K","-0.56%"
"2024- 01- 12","10,620","10,630","10,670","10,580","12.79K","0.57%"
"2024- 01- 11","10,560","10,640","10,640","10,530","14.20K","-0.19%"
"2024- 01- 10","10,580","10,720","10,750","10,560","27.25K","-1.31%"
"2024- 01- 09","10,720","10,780","10,800","10,700","8.66K","-0.56%"
"2024- 01- 08","10,780","10,800","10,800","10,700","3.66K","0.09%"
"2024- 01- 05","10,770","10,700","10,800","10,640","7.50K","0.65%"
"2024- 01- 04","10,700","10,840","10,840","10,690","14.55K","-1.29%"
"2024- 01- 03","10,840","10,890","10,890","10,760","15.25K","0.09%"
"2024- 01- 02","10,830","10,890","10,910","10,750","16.90K","-0.55%"
