"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","11,150","11,500","11,990","10,710","1.73K","-0.09%"
"2024- 05- 07","11,160","10,990","11,160","10,900","0.32K","-0.09%"
"2024- 05- 03","11,170","11,460","11,460","11,170","0.01K","2.57%"
"2024- 05- 02","10,890","10,800","10,900","10,800","0.20K","0.83%"
"2024- 04- 30","10,800","10,900","10,900","10,620","0.10K","-1.28%"
"2024- 04- 29","10,940","10,940","11,230","10,700","3.97K","0.00%"
"2024- 04- 26","10,940","10,630","10,940","10,620","2.96K","-0.36%"
"2024- 04- 25","10,980","10,760","10,980","10,700","0.26K","1.57%"
"2024- 04- 24","10,810","11,110","11,110","10,650","2.12K","-1.19%"
"2024- 04- 23","10,940","11,100","11,100","10,680","0.54K","0.00%"
"2024- 04- 22","10,940","11,100","11,100","10,610","1.69K","-1.71%"
"2024- 04- 19","11,130","11,130","11,130","11,130","0.00K","3.06%"
"2024- 04- 18","10,800","11,170","11,170","10,560","1.05K","-2.44%"
"2024- 04- 17","11,070","11,180","11,180","10,800","0.30K","-0.45%"
"2024- 04- 16","11,120","10,850","11,160","10,800","0.98K","-0.54%"
"2024- 04- 15","11,180","11,180","11,180","11,180","0.00K","0.45%"
"2024- 04- 12","11,130","11,210","11,210","10,900","0.70K","-0.18%"
"2024- 04- 11","11,150","11,210","11,210","10,750","0.65K","2.39%"
"2024- 04- 09","10,890","11,230","11,230","10,870","5.04K","-2.51%"
"2024- 04- 08","11,170","11,210","11,220","10,810","5.38K","1.55%"
"2024- 04- 05","11,000","10,510","11,000","10,500","0.01K","-0.36%"
"2024- 04- 04","11,040","11,070","11,070","10,050","1.00K","-0.27%"
"2024- 04- 03","11,070","10,900","11,070","10,900","0.07K","-0.27%"
"2024- 04- 02","11,100","11,220","11,220","10,900","0.10K","-0.09%"
"2024- 04- 01","11,110","10,810","11,210","10,810","1.01K","-0.09%"
"2024- 03- 29","11,120","11,240","11,240","10,690","0.48K","-0.45%"
"2024- 03- 28","11,170","11,260","11,260","10,500","1.62K","-0.98%"
"2024- 03- 27","11,280","11,340","11,340","10,950","0.77K","1.17%"
"2024- 03- 26","11,150","11,320","11,320","10,950","0.97K","0.45%"
"2024- 03- 25","11,100","11,360","11,360","10,960","0.78K","-1.16%"
"2024- 03- 22","11,230","11,200","11,350","11,000","0.31K","-0.80%"
"2024- 03- 21","11,320","11,200","11,430","11,000","1.24K","-0.70%"
"2024- 03- 20","11,400","11,880","11,880","11,000","2.00K","1.69%"
"2024- 03- 19","11,210","11,930","11,930","11,210","0.51K","-4.51%"
"2024- 03- 18","11,740","11,500","11,850","11,300","0.58K","3.07%"
"2024- 03- 15","11,390","11,980","11,980","11,200","0.89K","-0.52%"
"2024- 03- 14","11,450","11,970","11,970","11,240","0.75K","-0.43%"
"2024- 03- 13","11,500","11,970","11,970","11,250","0.92K","0.00%"
"2024- 03- 12","11,500","11,990","11,990","11,500","0.19K","-4.09%"
"2024- 03- 11","11,990","12,250","12,250","11,500","0.15K","0.25%"
"2024- 03- 08","11,960","11,990","11,990","11,960","0.01K","1.70%"
"2024- 03- 07","11,760","11,870","11,890","11,550","0.13K","-0.08%"
"2024- 03- 06","11,770","11,870","12,000","11,250","0.32K","1.55%"
"2024- 03- 05","11,590","11,250","11,640","11,250","0.36K","-0.94%"
"2024- 03- 04","11,700","12,440","12,440","11,500","1.29K","-1.60%"
"2024- 02- 29","11,890","12,400","12,400","11,540","0.51K","0.00%"
"2024- 02- 28","11,890","11,900","11,900","11,890","0.12K","-0.08%"
"2024- 02- 27","11,900","12,230","12,230","11,900","0.10K","-1.49%"
"2024- 02- 26","12,080","12,900","12,900","11,600","0.99K","-5.18%"
"2024- 02- 23","12,740","11,500","13,000","11,500","2.25K","11.66%"
"2024- 02- 22","11,410","11,480","11,480","11,010","0.20K","-0.70%"
"2024- 02- 21","11,490","11,490","11,490","11,450","0.68K","0.88%"
"2024- 02- 20","11,390","11,490","11,490","11,000","0.11K","4.50%"
"2024- 02- 19","10,900","10,900","10,990","10,750","0.41K","0.00%"
"2024- 02- 16","10,900","10,790","10,900","10,710","0.56K","-0.73%"
"2024- 02- 15","10,980","10,570","11,430","10,570","0.79K","3.88%"
"2024- 02- 14","10,570","10,580","10,580","10,400","0.54K","-0.28%"
"2024- 02- 13","10,600","10,700","10,700","10,400","1.16K","0.09%"
"2024- 02- 08","10,590","10,400","10,670","10,400","0.52K","0.09%"
"2024- 02- 07","10,580","10,700","10,700","10,450","0.35K","-0.09%"
"2024- 02- 06","10,590","10,710","10,710","10,500","0.35K","-0.09%"
"2024- 02- 05","10,600","10,700","10,700","10,350","0.22K","-0.38%"
"2024- 02- 02","10,640","10,700","10,700","10,550","0.29K","0.95%"
"2024- 02- 01","10,540","10,700","10,700","10,420","0.24K","2.13%"
"2024- 01- 31","10,320","10,700","10,700","10,320","0.71K","-0.86%"
"2024- 01- 30","10,410","10,690","10,690","10,410","0.29K","0.00%"
"2024- 01- 29","10,410","10,420","10,420","10,390","0.32K","-0.10%"
"2024- 01- 26","10,420","10,250","10,450","10,250","0.45K","0.87%"
"2024- 01- 25","10,330","10,480","10,480","10,230","0.81K","0.29%"
"2024- 01- 24","10,300","10,540","10,540","10,300","1.07K","-2.28%"
"2024- 01- 23","10,540","10,500","10,720","10,350","1.73K","-1.40%"
"2024- 01- 22","10,690","10,700","10,700","10,680","0.42K","-0.09%"
"2024- 01- 19","10,700","10,880","10,880","10,400","1.07K","1.04%"
"2024- 01- 18","10,590","10,290","10,590","10,290","0.30K","2.92%"
"2024- 01- 17","10,290","10,290","10,290","10,110","1.63K","0.00%"
"2024- 01- 16","10,290","10,330","10,330","10,100","1.74K","1.88%"
"2024- 01- 15","10,100","10,390","10,390","10,100","1.41K","-2.79%"
"2024- 01- 12","10,390","10,400","10,400","10,350","0.27K","-1.05%"
"2024- 01- 11","10,500","10,340","10,500","10,340","1.63K","-0.85%"
"2024- 01- 10","10,590","10,320","10,690","10,320","1.08K","-1.30%"
"2024- 01- 09","10,730","10,320","10,750","10,320","0.29K","0.28%"
"2024- 01- 08","10,700","10,100","10,840","10,090","2.82K","6.05%"
"2024- 01- 05","10,090","10,000","10,200","10,000","0.59K","-2.04%"
"2024- 01- 04","10,300","10,370","10,380","10,300","0.05K","0.19%"
"2024- 01- 03","10,280","10,200","10,280","10,200","1.18K","-0.19%"
"2024- 01- 02","10,300","10,300","10,350","10,240","0.88K","-1.34%"
