"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,260","6,240","6,270","6,190","23.59K","0.81%"
"2024- 05- 07","6,210","6,220","6,270","6,170","40.08K","0.49%"
"2024- 05- 03","6,180","6,170","6,250","6,000","129.65K","0.16%"
"2024- 05- 02","6,170","6,210","6,220","6,070","18.55K","-0.16%"
"2024- 04- 30","6,180","6,140","6,210","6,090","25.03K","0.65%"
"2024- 04- 29","6,140","6,050","6,210","6,040","39.10K","1.15%"
"2024- 04- 26","6,070","6,190","6,220","6,000","60.95K","-0.49%"
"2024- 04- 25","6,100","6,270","6,270","6,050","51.43K","-2.71%"
"2024- 04- 24","6,270","6,270","6,390","6,230","26.92K","0.16%"
"2024- 04- 23","6,260","6,190","6,400","6,100","56.22K","1.62%"
"2024- 04- 22","6,160","5,970","6,250","5,970","36.28K","1.82%"
"2024- 04- 19","6,050","6,230","6,260","5,940","77.00K","-2.89%"
"2024- 04- 18","6,230","6,160","6,280","6,160","37.02K","1.14%"
"2024- 04- 17","6,160","6,160","6,220","6,050","56.93K","-0.48%"
"2024- 04- 16","6,190","6,300","6,320","6,000","179.07K","-2.37%"
"2024- 04- 15","6,340","6,320","6,500","6,320","48.30K","-2.91%"
"2024- 04- 12","6,530","6,560","6,660","6,400","103.14K","-1.66%"
"2024- 04- 11","6,640","6,610","6,740","6,480","58.81K","-1.34%"
"2024- 04- 09","6,730","6,690","6,740","6,570","46.70K","0.60%"
"2024- 04- 08","6,690","6,930","6,930","6,500","103.90K","-3.32%"
"2024- 04- 05","6,920","7,010","7,040","6,860","107.59K","-1.42%"
"2024- 04- 04","7,020","6,880","7,060","6,810","194.46K","2.03%"
"2024- 04- 03","6,880","6,900","6,980","6,770","85.24K","-0.86%"
"2024- 04- 02","6,940","6,890","6,960","6,750","151.72K","0.73%"
"2024- 04- 01","6,890","6,800","6,900","6,760","79.63K","1.47%"
"2024- 03- 29","6,790","6,770","6,960","6,740","85.18K","-0.44%"
"2024- 03- 28","6,820","6,830","6,860","6,710","78.67K","0.00%"
"2024- 03- 27","6,820","6,580","6,850","6,540","172.43K","3.49%"
"2024- 03- 26","6,590","6,590","6,750","6,550","76.87K","0.00%"
