"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,340","7,230","7,350","7,170","41.97K","1.24%"
"2024- 05- 07","7,250","7,200","7,250","7,050","65.20K","1.97%"
"2024- 05- 03","7,110","7,090","7,230","7,030","46.69K","0.00%"
"2024- 05- 02","7,110","7,070","7,170","7,010","43.03K","0.28%"
"2024- 04- 30","7,090","7,060","7,180","7,050","43.15K","0.28%"
"2024- 04- 29","7,070","7,050","7,080","6,980","28.42K","0.86%"
"2024- 04- 26","7,010","7,070","7,080","6,980","28.52K","-0.85%"
"2024- 04- 25","7,070","7,040","7,070","6,880","28.15K","0.57%"
"2024- 04- 24","7,030","7,020","7,110","6,860","48.94K","0.86%"
"2024- 04- 23","6,970","6,870","7,070","6,870","52.64K","0.43%"
"2024- 04- 22","6,940","6,920","6,970","6,830","31.91K","0.73%"
"2024- 04- 19","6,890","6,730","6,990","6,590","78.56K","2.84%"
"2024- 04- 18","6,700","6,650","6,760","6,650","33.93K","0.90%"
"2024- 04- 17","6,640","6,650","6,720","6,590","28.10K","0.61%"
"2024- 04- 16","6,600","6,760","7,030","6,600","92.34K","-2.37%"
"2024- 04- 15","6,760","6,890","6,890","6,690","65.10K","-2.31%"
"2024- 04- 12","6,920","6,910","7,000","6,860","31.47K","-0.43%"
"2024- 04- 11","6,950","6,870","6,990","6,810","25.60K","1.02%"
"2024- 04- 09","6,880","6,850","6,960","6,770","50.46K","0.44%"
"2024- 04- 08","6,850","7,090","7,090","6,850","128.47K","-2.70%"
"2024- 04- 05","7,040","7,050","7,100","6,960","40.69K","-0.28%"
"2024- 04- 04","7,060","7,240","7,240","6,990","68.24K","-1.12%"
"2024- 04- 03","7,140","7,030","7,190","6,990","69.24K","1.71%"
"2024- 04- 02","7,020","7,190","7,200","6,980","95.17K","-2.09%"
"2024- 04- 01","7,170","7,130","7,260","7,050","57.10K","1.56%"
"2024- 03- 29","7,060","7,170","7,180","7,030","76.29K","-0.70%"
"2024- 03- 28","7,110","7,160","7,270","7,090","67.17K","-0.70%"
"2024- 03- 27","7,160","7,290","7,290","7,130","61.38K","0.00%"
"2024- 03- 26","7,160","7,360","7,360","7,130","64.62K","-2.32%"
"2024- 03- 25","7,330","7,250","7,440","7,210","60.27K","0.55%"
"2024- 03- 22","7,290","7,290","7,380","7,180","71.51K","0.00%"
"2024- 03- 21","7,290","7,230","7,340","7,200","54.77K","1.67%"
"2024- 03- 20","7,170","7,110","7,230","7,110","45.40K","0.28%"
"2024- 03- 19","7,150","7,310","7,310","7,090","60.08K","-2.46%"
"2024- 03- 18","7,330","7,120","7,410","7,050","51.97K","2.81%"
"2024- 03- 15","7,130","7,120","7,380","7,080","6.06K","-3.26%"
"2024- 03- 14","7,370","7,460","7,470","7,290","45.11K","-0.41%"
"2024- 03- 13","7,400","7,280","7,520","7,250","67.99K","1.79%"
"2024- 03- 12","7,270","7,550","7,550","7,270","86.02K","-3.71%"
"2024- 03- 11","7,550","7,110","7,660","7,110","0.00K","6.19%"
"2024- 03- 08","7,110","7,060","7,120","7,030","41.06K","0.71%"
"2024- 03- 07","7,060","7,060","7,140","7,020","22.04K","0.00%"
"2024- 03- 06","7,060","6,960","7,060","6,920","51.91K","1.15%"
"2024- 03- 05","6,980","7,090","7,090","6,980","50.08K","-1.13%"
"2024- 03- 04","7,060","7,050","7,160","6,970","37.79K","0.14%"
"2024- 02- 29","7,050","7,150","7,210","7,050","31.90K","-1.67%"
"2024- 02- 28","7,170","7,100","7,220","7,090","23.89K","1.13%"
"2024- 02- 27","7,090","7,100","7,200","7,030","33.23K","-0.84%"
"2024- 02- 26","7,150","7,050","7,180","7,010","29.47K","0.99%"
"2024- 02- 25","7,080","7,080","7,080","7,080","","0.00%"
"2024- 02- 23","7,080","7,120","7,200","7,020","60.84K","-0.98%"
"2024- 02- 22","7,150","7,120","7,210","7,120","27.09K","-0.28%"
"2024- 02- 21","7,170","7,190","7,240","7,130","32.65K","-0.28%"
"2024- 02- 20","7,190","7,450","7,460","7,180","39.56K","-2.84%"
"2024- 02- 19","7,400","7,380","7,400","7,300","39.24K","0.27%"
"2024- 02- 16","7,380","7,370","7,410","7,260","36.37K","1.10%"
"2024- 02- 15","7,300","7,250","7,330","7,150","28.90K","0.69%"
"2024- 02- 14","7,250","7,190","7,300","7,150","18.88K","-0.14%"
"2024- 02- 13","7,260","7,110","7,350","7,100","43.25K","2.25%"
"2024- 02- 08","7,100","7,160","7,230","7,050","40.09K","-0.84%"
"2024- 02- 07","7,160","7,180","7,230","7,030","58.92K","-0.28%"
"2024- 02- 06","7,180","7,220","7,260","7,060","43.16K","-0.42%"
"2024- 02- 05","7,210","7,500","7,500","7,170","55.98K","-1.10%"
"2024- 02- 02","7,290","7,200","7,390","7,060","103.52K","3.26%"
"2024- 02- 01","7,060","7,100","7,200","6,930","75.44K","-0.56%"
"2024- 01- 31","7,100","7,080","7,100","6,990","0.16K","0.28%"
"2024- 01- 30","7,080","7,280","7,370","7,010","121.73K","-1.67%"
"2024- 01- 29","7,200","7,400","7,450","7,150","98.62K","-2.70%"
"2024- 01- 26","7,400","7,390","7,450","7,250","46.74K","0.68%"
"2024- 01- 25","7,350","7,600","7,620","7,250","67.51K","-3.16%"
"2024- 01- 24","7,590","7,880","7,880","7,590","51.58K","-2.57%"
"2024- 01- 23","7,790","7,770","7,900","7,730","24.17K","0.13%"
"2024- 01- 22","7,780","7,850","7,960","7,700","36.12K","-0.89%"
"2024- 01- 19","7,850","7,940","8,170","7,810","105.10K","0.77%"
"2024- 01- 18","7,790","7,710","7,890","7,680","38.59K","1.17%"
"2024- 01- 17","7,700","8,280","8,280","7,700","108.90K","-5.87%"
"2024- 01- 16","8,180","8,440","8,440","8,180","71.52K","-3.20%"
"2024- 01- 15","8,450","8,400","8,470","8,290","38.85K","1.68%"
"2024- 01- 12","8,310","8,660","8,660","8,240","107.85K","-4.04%"
"2024- 01- 11","8,660","8,520","8,770","8,450","101.88K","1.64%"
"2024- 01- 10","8,520","8,460","8,590","8,390","0.00K","0.71%"
"2024- 01- 09","8,460","8,250","8,570","8,230","99.67K","2.67%"
"2024- 01- 08","8,240","8,390","8,390","8,210","99.13K","-1.79%"
"2024- 01- 05","8,390","8,600","8,920","8,260","149.18K","1.82%"
"2024- 01- 04","8,240","8,450","8,520","8,220","77.15K","-1.08%"
"2024- 01- 03","8,330","8,320","8,480","8,260","103.61K","0.12%"
"2024- 01- 02","8,320","8,160","8,390","8,050","91.00K","1.96%"
