"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","79,400","80,300","81,200","79,200","395.50K","-1.98%"
"2024- 04- 29","81,000","80,400","81,600","78,700","280.46K","1.63%"
"2024- 04- 26","79,700","78,200","80,900","77,600","266.65K","2.44%"
"2024- 04- 25","77,800","76,900","78,800","76,600","202.09K","0.39%"
"2024- 04- 24","77,500","79,600","79,800","76,600","424.78K","-1.65%"
"2024- 04- 23","78,800","79,100","80,600","78,600","204.30K","-0.76%"
"2024- 04- 22","79,400","76,600","80,500","75,900","458.25K","5.17%"
"2024- 04- 19","75,500","75,300","76,000","73,400","369.34K","-1.05%"
"2024- 04- 18","76,300","72,600","77,100","72,700","364.95K","4.38%"
"2024- 04- 17","73,100","74,500","75,000","72,900","389.22K","-1.62%"
"2024- 04- 16","74,300","75,600","76,200","74,300","570.44K","-3.38%"
"2024- 04- 15","76,900","76,800","77,400","74,200","693.00K","-1.66%"
"2024- 04- 12","78,200","80,600","81,500","76,800","718.48K","-3.10%"
"2024- 04- 11","80,700","79,700","81,700","77,900","513.99K","-0.86%"
"2024- 04- 09","81,400","82,700","83,000","80,800","329.30K","-0.61%"
"2024- 04- 08","81,900","82,400","83,400","81,800","192.21K","-1.09%"
"2024- 04- 05","82,800","81,800","84,100","81,600","266.05K","0.24%"
"2024- 04- 04","82,600","81,000","83,100","80,300","310.12K","2.99%"
"2024- 04- 03","80,200","81,000","81,100","79,700","310.98K","-1.11%"
"2024- 04- 02","81,100","81,300","82,500","80,700","316.89K","-1.10%"
"2024- 04- 01","82,000","81,700","82,800","80,900","251.89K","0.37%"
"2024- 03- 29","81,700","82,300","83,000","81,300","243.32K","0.00%"
"2024- 03- 28","81,700","80,600","82,600","80,500","329.32K","1.87%"
"2024- 03- 27","80,200","84,100","84,100","80,200","810.43K","-5.54%"
"2024- 03- 26","84,900","85,400","85,800","84,300","395.91K","0.35%"
"2024- 03- 25","84,600","86,100","87,900","84,000","644.58K","0.48%"
"2024- 03- 22","84,200","82,500","84,300","82,100","441.03K","2.93%"
"2024- 03- 21","81,800","80,800","82,200","80,000","424.90K","2.12%"
"2024- 03- 20","80,100","80,900","82,900","79,900","447.22K","-0.12%"
"2024- 03- 19","80,200","81,600","82,300","80,200","461.83K","-2.67%"
"2024- 03- 18","82,400","84,000","84,900","81,000","486.81K","-0.96%"
"2024- 03- 15","83,200","85,300","88,300","83,100","1.14M","-2.46%"
"2024- 03- 14","85,300","83,300","85,500","82,900","0.03K","3.39%"
"2024- 03- 13","82,500","81,500","83,100","80,500","394.48K","1.48%"
"2024- 03- 12","81,300","82,300","83,100","80,300","338.99K","-0.12%"
"2024- 03- 11","81,400","81,200","82,300","80,100","196.79K","-0.12%"
"2024- 03- 10","81,500","81,500","81,500","81,500","","0.00%"
"2024- 03- 08","81,500","81,200","82,200","80,400","337.49K","1.37%"
