"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,745","2,700","2,750","2,690","39.83K","1.67%"
"2024- 05- 07","2,700","2,715","2,730","2,650","108.94K","0.93%"
"2024- 05- 03","2,675","2,685","2,705","2,660","32.40K","-0.37%"
"2024- 05- 02","2,685","2,680","2,740","2,630","114.65K","-0.74%"
"2024- 04- 30","2,705","2,695","2,740","2,670","57.59K","0.00%"
"2024- 04- 29","2,705","2,590","2,755","2,590","113.34K","3.64%"
"2024- 04- 26","2,610","2,670","2,680","2,590","96.98K","-2.61%"
"2024- 04- 25","2,680","2,680","2,710","2,620","142.78K","-1.11%"
"2024- 04- 24","2,710","2,675","2,740","2,675","38.42K","1.69%"
"2024- 04- 23","2,665","2,675","2,765","2,640","117.86K","-1.48%"
"2024- 04- 22","2,705","2,700","2,795","2,695","57.66K","0.37%"
"2024- 04- 19","2,695","2,750","2,775","2,610","121.70K","-2.88%"
"2024- 04- 18","2,775","2,700","2,785","2,700","63.85K","2.78%"
"2024- 04- 17","2,700","2,735","2,750","2,630","118.36K","-0.74%"
"2024- 04- 16","2,720","2,700","2,730","2,610","97.84K","0.74%"
"2024- 04- 15","2,700","2,640","2,755","2,570","180.44K","1.12%"
"2024- 04- 12","2,670","2,850","2,885","2,615","379.49K","-7.45%"
"2024- 04- 11","2,885","3,020","3,045","2,760","133.60K","-3.51%"
"2024- 04- 09","2,990","3,055","3,065","2,965","126.67K","-2.13%"
"2024- 04- 08","3,055","3,010","3,055","2,955","125.92K","1.83%"
"2024- 04- 05","3,000","3,020","3,035","2,990","135.35K","-2.28%"
"2024- 04- 04","3,070","3,040","3,085","3,010","98.39K","1.15%"
"2024- 04- 03","3,035","3,120","3,120","3,035","156.84K","-3.34%"
"2024- 04- 02","3,140","3,250","3,260","3,120","137.75K","-3.68%"
"2024- 04- 01","3,260","3,100","3,285","3,080","283.33K","6.36%"
"2024- 03- 29","3,065","3,110","3,210","3,065","170.45K","-1.45%"
"2024- 03- 28","3,110","3,220","3,275","3,090","283.70K","-3.42%"
"2024- 03- 27","3,220","3,380","3,400","3,200","328.35K","-5.29%"
"2024- 03- 26","3,400","3,515","3,530","3,350","475.61K","-4.23%"
"2024- 03- 25","3,550","3,520","3,615","3,450","451.10K","-1.80%"
"2024- 03- 22","3,615","3,590","3,930","3,435","3.26M","0.42%"
"2024- 03- 21","3,600","3,400","3,780","3,350","2.97M","-2.31%"
"2024- 03- 20","3,685","3,010","3,845","2,990","10.01M","24.28%"
"2024- 03- 19","2,965","3,020","3,020","2,965","67.53K","-2.31%"
"2024- 03- 18","3,035","2,965","3,045","2,910","110.75K","2.19%"
"2024- 03- 15","2,970","2,965","3,005","2,920","6.94K","-1.00%"
"2024- 03- 14","3,000","2,985","3,020","2,930","109.56K","0.50%"
"2024- 03- 13","2,985","2,945","2,990","2,915","0.01K","1.53%"
"2024- 03- 12","2,940","2,990","3,070","2,930","213.39K","-1.84%"
"2024- 03- 11","2,995","3,040","3,115","2,950","150.85K","-1.16%"
"2024- 03- 08","3,030","2,950","3,065","2,935","192.25K","2.71%"
"2024- 03- 07","2,950","3,015","3,020","2,915","237.72K","-3.12%"
"2024- 03- 06","3,045","3,020","3,135","2,985","287.24K","-0.16%"
"2024- 03- 05","3,050","3,120","3,165","3,050","0.20K","-1.77%"
"2024- 03- 04","3,105","3,115","3,230","3,060","261.18K","-1.74%"
"2024- 03- 03","3,160","3,160","3,160","3,160","","0.00%"
"2024- 02- 29","3,160","3,310","3,355","3,160","259.82K","-4.53%"
"2024- 02- 28","3,310","3,305","3,395","3,235","286.34K","-0.30%"
"2024- 02- 27","3,320","3,650","3,650","3,305","0.32K","-9.04%"
"2024- 02- 26","3,650","3,590","3,810","3,575","3.95K","-1.08%"
"2024- 02- 25","3,690","3,690","3,690","3,690","","0.00%"
"2024- 02- 23","3,690","3,505","3,830","3,380","2.68M","3.65%"
"2024- 02- 22","3,560","3,540","4,120","3,405","5.96M","0.99%"
"2024- 02- 21","3,525","3,545","3,700","3,415","0.03K","-1.54%"
"2024- 02- 20","3,580","3,730","3,795","3,550","0.78K","-4.02%"
"2024- 02- 19","3,730","3,200","3,845","3,190","8.66K","19.94%"
"2024- 02- 18","3,110","3,110","3,110","3,110","","0.00%"
