"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","14,750.00","14,620.00","16,080.00","14,400.00","307.32K","2.29%"
"2024- 05- 03","14,420.00","14,710.00","14,840.00","14,360.00","13.23K","0.07%"
"2024- 05- 02","14,410.00","14,590.00","14,590.00","14,260.00","9.19K","0.07%"
"2024- 04- 30","14,400.00","14,030.00","14,580.00","14,030.00","18.32K","1.62%"
"2024- 04- 29","14,170.00","14,050.00","14,360.00","13,800.00","12.78K","1.50%"
"2024- 04- 26","13,960.00","13,960.00","14,100.00","13,710.00","13.47K","0.07%"
"2024- 04- 25","13,950.00","14,200.00","14,200.00","13,880.00","7.18K","-1.13%"
"2024- 04- 24","14,110.00","14,170.00","14,170.00","14,040.00","4.57K","0.50%"
"2024- 04- 23","14,040.00","13,890.00","14,250.00","13,890.00","7.06K","0.00%"
"2024- 04- 22","14,040.00","14,090.00","14,250.00","13,850.00","5.69K","0.57%"
"2024- 04- 19","13,960.00","14,450.00","14,450.00","13,670.00","24.99K","-2.58%"
"2024- 04- 18","14,330.00","14,020.00","14,490.00","13,980.00","5.86K","1.34%"
"2024- 04- 17","14,140.00","14,240.00","14,360.00","14,010.00","8.63K","0.00%"
"2024- 04- 16","14,140.00","14,650.00","14,660.00","14,050.00","23.70K","-3.61%"
"2024- 04- 15","14,670.00","14,420.00","14,740.00","14,270.00","17.61K","1.52%"
"2024- 04- 12","14,450.00","14,700.00","14,700.00","14,440.00","10.55K","-0.41%"
"2024- 04- 11","14,510.00","14,360.00","14,550.00","14,150.00","7.56K","-0.27%"
"2024- 04- 09","14,550.00","14,450.00","14,800.00","14,430.00","17.96K","-0.68%"
"2024- 04- 08","14,650.00","15,260.00","15,350.00","14,580.00","35.21K","-3.75%"
"2024- 04- 05","15,220.00","15,180.00","15,380.00","15,080.00","49.93K","-2.12%"
"2024- 04- 04","15,550.00","15,150.00","17,640.00","14,890.00","955.96K","3.46%"
"2024- 04- 03","15,030.00","15,040.00","15,140.00","14,750.00","10.74K","-0.07%"
"2024- 04- 02","15,040.00","15,010.00","15,230.00","14,910.00","7.97K","-0.66%"
"2024- 04- 01","15,140.00","15,100.00","15,250.00","14,820.00","8.07K","0.00%"
"2024- 03- 29","15,140.00","15,140.00","15,530.00","15,010.00","9.79K","0.00%"
"2024- 03- 28","15,140.00","15,500.00","15,690.00","15,030.00","12.97K","-1.82%"
"2024- 03- 27","15,420.00","15,270.00","15,420.00","15,200.00","10.39K","1.05%"
"2024- 03- 26","15,260.00","15,230.00","15,300.00","15,070.00","13.76K","0.20%"
"2024- 03- 25","15,230.00","15,300.00","15,400.00","15,060.00","8.57K","-0.46%"
"2024- 03- 22","15,300.00","15,260.00","15,430.00","15,050.00","8.15K","-0.07%"
"2024- 03- 21","15,310.00","15,100.00","15,330.00","14,890.00","19.36K","1.39%"
"2024- 03- 20","15,100.00","15,360.00","15,560.00","15,090.00","15.65K","-2.52%"
"2024- 03- 19","15,490.00","15,600.00","15,650.00","15,170.00","22.88K","-0.71%"
"2024- 03- 18","15,600.00","16,000.00","16,000.00","15,410.00","33.68K","-1.27%"
"2024- 03- 17","15,800.00","15,800.00","15,800.00","15,800.00","","0.00%"
"2024- 03- 15","15,800.00","14,560.00","16,170.00","14,500.00","0.00K","8.97%"
"2024- 03- 14","14,500.00","14,400.00","14,570.00","14,400.00","6.42K","0.00%"
"2024- 03- 13","14,500.00","14,490.00","14,570.00","14,320.00","15.18K","0.07%"
"2024- 03- 12","14,490.00","14,410.00","14,600.00","14,320.00","0.11K","-0.69%"
"2024- 03- 11","14,590.00","14,490.00","14,700.00","14,390.00","3.74K","0.00%"
"2024- 03- 10","14,590.00","14,590.00","14,590.00","14,590.00","","0.00%"
"2024- 03- 08","14,590.00","14,550.00","15,280.00","14,540.00","7.84K","0.27%"
"2024- 03- 07","14,550.00","14,670.00","14,760.00","14,420.00","12.17K","-0.82%"
"2024- 03- 06","14,670.00","14,580.00","14,860.00","14,410.00","12.39K","0.00%"
"2024- 03- 05","14,670.00","14,860.00","15,000.00","14,620.00","26.92K","-2.20%"
"2024- 03- 04","15,000.00","15,390.00","15,640.00","14,910.00","38.47K","-3.16%"
"2024- 02- 29","15,490.00","15,600.00","15,600.00","15,300.00","9.82K","0.06%"
"2024- 02- 28","15,480.00","15,520.00","15,740.00","15,300.00","13.87K","0.00%"
"2024- 02- 27","15,480.00","15,880.00","16,040.00","15,370.00","20.79K","-3.01%"
"2024- 02- 26","15,960.00","16,070.00","16,160.00","15,870.00","10.54K","-1.48%"
"2024- 02- 23","16,200.00","16,400.00","16,640.00","16,100.00","31.90K","-1.70%"
"2024- 02- 22","16,480.00","16,680.00","16,690.00","16,340.00","0.05K","0.18%"
"2024- 02- 21","16,450.00","16,550.00","16,960.00","16,200.00","39.86K","-0.66%"
"2024- 02- 20","16,560.00","16,730.00","16,730.00","16,400.00","11.03K","-0.48%"
"2024- 02- 19","16,640.00","16,390.00","16,660.00","16,110.00","15.29K","0.30%"
"2024- 02- 18","16,590.00","16,590.00","16,590.00","16,590.00","","0.00%"
"2024- 02- 16","16,590.00","16,780.00","16,780.00","16,410.00","16.32K","-0.18%"
"2024- 02- 15","16,620.00","16,700.00","16,770.00","16,400.00","16.96K","-0.48%"
"2024- 02- 14","16,700.00","16,400.00","16,720.00","16,280.00","25.17K","1.83%"
"2024- 02- 13","16,400.00","16,040.00","16,510.00","16,040.00","35.94K","3.47%"
"2024- 02- 08","15,850.00","15,520.00","16,040.00","15,400.00","33.80K","2.13%"
"2024- 02- 07","15,520.00","15,860.00","15,860.00","15,400.00","18.26K","-1.15%"
"2024- 02- 06","15,700.00","15,640.00","15,800.00","15,290.00","20.14K","0.38%"
"2024- 02- 05","15,640.00","16,190.00","16,220.00","15,510.00","0.10K","-3.40%"
"2024- 02- 04","16,190.00","16,190.00","16,190.00","16,190.00","","0.00%"
"2024- 02- 02","16,190.00","15,950.00","16,490.00","15,870.00","41.89K","1.50%"
"2024- 02- 01","15,950.00","16,500.00","16,500.00","15,520.00","89.97K","-3.39%"
"2024- 01- 31","16,510.00","17,350.00","17,700.00","16,150.00","101.28K","-5.55%"
"2024- 01- 30","17,480.00","18,560.00","18,730.00","17,360.00","0.42K","-6.52%"
"2024- 01- 29","18,700.00","19,620.00","19,620.00","18,600.00","0.25K","-6.03%"
"2024- 01- 28","19,900.00","19,900.00","19,900.00","19,900.00","","0.00%"
"2024- 01- 26","19,900.00","17,410.00","20,900.00","17,410.00","955.65K","12.94%"
"2024- 01- 25","17,620.00","17,360.00","18,280.00","17,300.00","183.18K","2.98%"
"2024- 01- 24","17,110.00","17,290.00","17,290.00","16,770.00","0.27K","-1.21%"
"2024- 01- 23","17,320.00","17,470.00","17,680.00","17,040.00","78.23K","-0.40%"
"2024- 01- 22","17,390.00","17,050.00","17,410.00","16,950.00","63.79K","3.33%"
"2024- 01- 21","16,830.00","16,830.00","16,830.00","16,830.00","","0.00%"
"2024- 01- 19","16,830.00","17,000.00","17,280.00","16,710.00","39.66K","0.12%"
"2024- 01- 18","16,810.00","16,490.00","17,080.00","16,490.00","42.72K","1.94%"
"2024- 01- 17","16,490.00","17,360.00","17,460.00","16,420.00","57.66K","-3.57%"
"2024- 01- 16","17,100.00","16,800.00","17,320.00","16,800.00","54.47K","1.79%"
"2024- 01- 15","16,800.00","16,850.00","17,260.00","16,430.00","43.64K","0.00%"
"2024- 01- 14","16,800.00","16,800.00","16,800.00","16,800.00","","0.00%"
"2024- 01- 12","16,800.00","17,180.00","17,180.00","16,700.00","42.46K","-1.29%"
"2024- 01- 11","17,020.00","17,040.00","17,440.00","16,800.00","67.12K","-0.12%"
"2024- 01- 10","17,040.00","17,180.00","17,750.00","17,040.00","74.97K","-2.07%"
"2024- 01- 09","17,400.00","17,400.00","17,610.00","16,720.00","156.94K","0.00%"
"2024- 01- 08","17,400.00","18,470.00","19,230.00","17,400.00","0.29K","7.34%"
"2024- 01- 05","16,210.00","15,260.00","18,140.00","15,210.00","354.76K","5.40%"
"2024- 01- 04","15,380.00","15,040.00","15,450.00","14,370.00","17.08K","1.79%"
"2024- 01- 03","15,110.00","15,180.00","15,330.00","14,900.00","8.85K","-1.50%"
"2024- 01- 02","15,340.00","15,320.00","15,370.00","15,150.00","7.33K","0.85%"
