"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 29","659","585","690","580","31.67M","12.07%"
"2024- 04- 26","588","633","635","588","8.51M","-8.55%"
"2024- 04- 25","643","716","727","643","12.03M","-9.69%"
"2024- 04- 24","712","678","784","676","69.75M","2.89%"
"2024- 04- 23","692","744","803","683","70.49M","1.76%"
"2024- 04- 22","680","555","680","516","77.13M","25.93%"
"2024- 04- 19","540","581","605","533","10.31M","-6.57%"
"2024- 04- 18","578","522","658","509","68.82M","1.05%"
"2024- 04- 17","572","572","572","545","12.61M","30.00%"
"2024- 04- 16","440","447","450","439","260.56K","-2.00%"
"2024- 04- 15","449","455","462","442","223.73K","-3.02%"
"2024- 04- 12","463","460","467","456","259.38K","0.65%"
"2024- 04- 11","460","460","466","452","255.85K","-1.92%"
"2024- 04- 09","469","462","475","459","525.47K","0.21%"
"2024- 04- 08","468","495","495","468","715.76K","-5.26%"
"2024- 04- 05","494","491","497","491","298.33K","-1.40%"
"2024- 04- 04","501","499","505","496","241.44K","-0.20%"
"2024- 04- 03","502","508","508","500","496.06K","-1.18%"
"2024- 04- 02","508","522","525","508","260.95K","-3.24%"
"2024- 04- 01","525","515","525","510","343.85K","1.74%"
"2024- 03- 29","516","520","520","510","186.97K","0.00%"
"2024- 03- 28","516","520","526","513","242.80K","-0.96%"
"2024- 03- 27","521","519","523","517","120.04K","0.19%"
"2024- 03- 26","520","507","525","506","269.28K","1.56%"
"2024- 03- 25","512","515","516","507","246.69K","-0.78%"
"2024- 03- 22","516","520","522","510","368.43K","0.39%"
"2024- 03- 21","514","520","525","511","353.33K","-0.39%"
"2024- 03- 20","516","522","525","510","448.29K","-1.15%"
"2024- 03- 19","522","538","547","522","565.39K","0.00%"
"2024- 03- 18","522","520","529","518","268.19K","0.38%"
"2024- 03- 15","520","533","539","518","394.68K","-1.70%"
"2024- 03- 14","529","535","537","527","242.49K","-0.94%"
"2024- 03- 13","534","536","542","532","291.82K","-0.37%"
"2024- 03- 12","536","541","544","536","190.51K","-0.92%"
"2024- 03- 11","541","538","548","537","266.97K","0.56%"
"2024- 03- 08","538","534","543","528","400.43K","-0.19%"
"2024- 03- 07","539","550","555","535","630.42K","-1.64%"
"2024- 03- 06","548","603","619","544","1.98M","-7.59%"
"2024- 03- 05","593","569","612","559","2.10M","3.13%"
"2024- 03- 04","575","566","587","563","505.60K","1.59%"
"2024- 03- 03","566","566","566","566","","0.00%"
"2024- 02- 29","566","579","582","559","674.39K","-2.92%"
"2024- 02- 28","583","591","605","579","0.00K","-2.18%"
"2024- 02- 27","596","596","606","578","511.92K","0.68%"
"2024- 02- 26","592","610","624","590","1.65M","-1.66%"
"2024- 02- 23","602","600","602","584","583.68K","1.01%"
"2024- 02- 22","596","590","602","586","347.01K","1.19%"
"2024- 02- 21","589","598","603","589","350.01K","-2.16%"
"2024- 02- 20","602","615","618","594","0.00K","2.03%"
"2024- 02- 19","590","600","603","587","245.87K","-1.67%"
"2024- 02- 16","600","585","603","584","419.64K","2.04%"
"2024- 02- 15","588","595","595","580","505.18K","-0.51%"
"2024- 02- 14","591","586","592","578","0.05K","0.51%"
"2024- 02- 13","588","579","592","574","503.73K","2.44%"
"2024- 02- 12","574","574","574","574","","0.00%"
"2024- 02- 08","574","573","585","571","362.57K","-0.86%"
"2024- 02- 07","579","588","604","579","0.10K","-0.34%"
"2024- 02- 06","581","598","598","581","1.14M","-4.60%"
"2024- 02- 05","609","649","678","607","0.00K","2.53%"
"2024- 02- 04","594","594","594","594","","0.00%"
"2024- 02- 02","594","571","680","571","18.83M","12.29%"
"2024- 02- 01","529","522","536","522","235.96K","-0.56%"
"2024- 01- 31","532","533","553","531","217.73K","-1.66%"
"2024- 01- 30","541","537","555","533","257.97K","0.19%"
"2024- 01- 29","540","568","568","533","447.14K","-4.42%"
"2024- 01- 26","565","542","576","542","337.26K","3.29%"
"2024- 01- 25","547","557","560","542","406.55K","-2.32%"
"2024- 01- 24","560","576","581","558","305.02K","-2.78%"
"2024- 01- 23","576","568","602","564","450.79K","1.23%"
"2024- 01- 22","569","596","601","565","671.05K","-4.53%"
"2024- 01- 19","596","585","605","584","396.59K","1.88%"
"2024- 01- 18","585","573","590","560","413.09K","2.63%"
"2024- 01- 17","570","591","595","562","1.02M","-3.39%"
"2024- 01- 16","590","597","617","590","686.59K","-2.80%"
"2024- 01- 15","607","625","632","606","651.53K","-3.65%"
"2024- 01- 12","630","645","648","626","643.89K","-2.17%"
"2024- 01- 11","644","659","659","644","713.01K","-2.72%"
"2024- 01- 10","662","652","662","637","0.30K","0.46%"
"2024- 01- 09","659","682","687","645","1.49M","-2.95%"
"2024- 01- 08","679","652","703","639","2.00K","3.03%"
"2024- 01- 07","659","659","659","659","","0.00%"
"2024- 01- 05","659","662","689","652","1.54M","-2.66%"
"2024- 01- 04","677","690","715","664","4.82M","-1.31%"
"2024- 01- 03","686","697","801","681","32.24M","3.31%"
"2024- 01- 02","664","650","678","630","0.52K","2.15%"
