"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,438","1,426","1,439","1,416","40.60K","0.84%"
"2024- 05- 07","1,426","1,433","1,440","1,412","65.93K","-0.56%"
"2024- 05- 03","1,434","1,430","1,439","1,400","94.85K","0.28%"
"2024- 05- 02","1,430","1,399","1,433","1,383","153.49K","2.22%"
"2024- 04- 30","1,399","1,386","1,399","1,380","66.28K","0.29%"
"2024- 04- 29","1,395","1,386","1,395","1,374","54.69K","0.65%"
"2024- 04- 26","1,386","1,394","1,394","1,377","47.80K","0.58%"
"2024- 04- 25","1,378","1,383","1,391","1,376","31.49K","-0.79%"
"2024- 04- 24","1,389","1,404","1,405","1,388","46.85K","-1.00%"
"2024- 04- 23","1,403","1,387","1,409","1,363","97.56K","0.21%"
"2024- 04- 22","1,400","1,365","1,406","1,352","97.97K","1.45%"
"2024- 04- 19","1,380","1,376","1,380","1,335","99.12K","-0.07%"
"2024- 04- 18","1,381","1,354","1,390","1,354","44.63K","1.02%"
"2024- 04- 17","1,367","1,333","1,386","1,325","89.41K","2.55%"
"2024- 04- 16","1,333","1,370","1,378","1,320","269.26K","-3.27%"
"2024- 04- 15","1,378","1,392","1,531","1,365","2.17M","-1.43%"
"2024- 04- 12","1,398","1,375","1,420","1,365","92.92K","2.27%"
"2024- 04- 11","1,367","1,387","1,394","1,355","62.35K","-1.51%"
"2024- 04- 09","1,388","1,379","1,400","1,376","36.21K","-0.36%"
"2024- 04- 08","1,393","1,378","1,399","1,360","63.60K","1.09%"
"2024- 04- 05","1,378","1,378","1,391","1,352","38.40K","-0.93%"
"2024- 04- 04","1,391","1,384","1,395","1,373","54.22K","0.22%"
"2024- 04- 03","1,388","1,364","1,388","1,354","45.12K","0.87%"
"2024- 04- 02","1,376","1,372","1,382","1,361","75.73K","-0.51%"
"2024- 04- 01","1,383","1,331","1,395","1,325","108.20K","3.52%"
"2024- 03- 29","1,336","1,285","1,336","1,272","109.24K","3.97%"
"2024- 03- 28","1,285","1,287","1,295","1,280","37.24K","-0.16%"
"2024- 03- 27","1,287","1,310","1,310","1,285","40.21K","-1.83%"
"2024- 03- 26","1,311","1,296","1,319","1,291","26.92K","0.69%"
"2024- 03- 25","1,302","1,319","1,319","1,287","22.14K","-1.36%"
"2024- 03- 22","1,320","1,298","1,320","1,271","50.77K","3.29%"
"2024- 03- 21","1,278","1,274","1,284","1,265","23.68K","0.24%"
"2024- 03- 20","1,275","1,280","1,280","1,267","10.73K","0.16%"
"2024- 03- 19","1,273","1,289","1,292","1,266","42.45K","-0.93%"
"2024- 03- 18","1,285","1,270","1,292","1,261","60.79K","1.18%"
"2024- 03- 15","1,270","1,267","1,280","1,253","29.57K","0.24%"
"2024- 03- 14","1,267","1,262","1,276","1,256","46.96K","-1.71%"
"2024- 03- 13","1,289","1,263","1,289","1,261","41.06K","0.00%"
"2024- 03- 12","1,289","1,286","1,297","1,255","32.60K","0.70%"
"2024- 03- 11","1,280","1,245","1,281","1,222","142.48K","1.83%"
"2024- 03- 10","1,257","1,257","1,257","1,257","","0.00%"
"2024- 03- 08","1,257","1,271","1,271","1,244","49.32K","-0.63%"
"2024- 03- 07","1,265","1,292","1,292","1,257","46.40K","-1.17%"
"2024- 03- 06","1,280","1,280","1,295","1,270","30.06K","0.00%"
"2024- 03- 05","1,280","1,310","1,310","1,273","35.06K","-1.54%"
"2024- 03- 04","1,300","1,295","1,314","1,295","46.88K","-0.46%"
"2024- 02- 29","1,306","1,310","1,319","1,297","26.60K","-0.31%"
"2024- 02- 28","1,310","1,293","1,330","1,283","76.59K","1.31%"
"2024- 02- 27","1,293","1,326","1,334","1,280","0.04K","-2.34%"
"2024- 02- 26","1,324","1,337","1,337","1,318","0.13K","-1.05%"
"2024- 02- 25","1,338","1,338","1,338","1,338","","0.00%"
"2024- 02- 23","1,338","1,363","1,363","1,332","41.94K","-1.91%"
"2024- 02- 22","1,364","1,346","1,365","1,333","0.06K","1.34%"
"2024- 02- 21","1,346","1,398","1,398","1,338","117.77K","-3.79%"
"2024- 02- 20","1,399","1,399","1,406","1,371","57.15K","-0.07%"
"2024- 02- 19","1,400","1,375","1,404","1,360","55.18K","1.82%"
"2024- 02- 16","1,375","1,369","1,478","1,358","424.99K","0.36%"
"2024- 02- 15","1,370","1,365","1,382","1,355","0.01K","0.37%"
"2024- 02- 14","1,365","1,374","1,378","1,355","40.38K","-1.59%"
"2024- 02- 13","1,387","1,338","1,388","1,334","67.40K","3.66%"
"2024- 02- 08","1,338","1,312","1,423","1,311","70.32K","1.52%"
"2024- 02- 07","1,318","1,319","1,340","1,311","0.24K","-0.15%"
"2024- 02- 06","1,320","1,347","1,347","1,317","98.54K","-2.08%"
"2024- 02- 05","1,348","1,378","1,395","1,344","85.44K","-2.18%"
"2024- 02- 02","1,378","1,373","1,410","1,373","51.49K","0.36%"
"2024- 02- 01","1,373","1,415","1,426","1,360","230.80K","-3.92%"
"2024- 01- 31","1,429","1,451","1,484","1,420","1.22K","-2.79%"
"2024- 01- 30","1,470","1,457","1,473","1,416","0.05K","-0.07%"
"2024- 01- 29","1,471","1,495","1,503","1,437","315.06K","-3.22%"
"2024- 01- 28","1,520","1,520","1,520","1,520","","0.00%"
"2024- 01- 26","1,520","1,505","1,520","1,474","259.57K","0.00%"
"2024- 01- 25","1,520","1,561","1,561","1,490","291.75K","-3.74%"
"2024- 01- 24","1,579","1,598","1,690","1,544","827.88K","-2.53%"
"2024- 01- 23","1,620","1,550","1,658","1,528","1.13K","8.65%"
"2024- 01- 22","1,491","1,448","1,504","1,431","1.22K","2.97%"
"2024- 01- 19","1,448","1,445","1,481","1,435","92.13K","0.14%"
"2024- 01- 18","1,446","1,404","1,483","1,393","0.00K","2.77%"
"2024- 01- 17","1,407","1,415","1,418","1,395","0.18K","-0.78%"
"2024- 01- 16","1,418","1,423","1,423","1,406","19.35K","-0.84%"
"2024- 01- 15","1,430","1,428","1,431","1,410","36.64K","-0.28%"
"2024- 01- 14","1,434","1,434","1,434","1,434","","0.00%"
"2024- 01- 12","1,434","1,441","1,450","1,414","48.06K","-0.49%"
"2024- 01- 11","1,441","1,441","1,478","1,422","67.17K","-0.96%"
"2024- 01- 10","1,455","1,464","1,464","1,416","0.20K","-0.61%"
"2024- 01- 09","1,464","1,433","1,470","1,422","0.01K","1.67%"
"2024- 01- 08","1,440","1,389","1,474","1,389","1.76K","3.90%"
"2024- 01- 07","1,386","1,386","1,386","1,386","","0.00%"
"2024- 01- 05","1,386","1,378","1,515","1,370","901.66K","0.58%"
"2024- 01- 04","1,378","1,378","1,399","1,365","13.57K","0.00%"
"2024- 01- 03","1,378","1,390","1,390","1,378","24.00K","-0.86%"
"2024- 01- 02","1,390","1,371","1,411","1,365","37.34K","1.39%"
