"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,116","1,135","1,135","1,114","78.24K","-0.18%"
"2024- 05- 07","1,118","1,132","1,139","1,117","63.09K","-1.15%"
"2024- 05- 03","1,131","1,140","1,148","1,126","57.08K","-0.62%"
"2024- 05- 02","1,138","1,163","1,169","1,135","93.60K","-1.81%"
"2024- 04- 30","1,159","1,141","1,159","1,126","83.38K","0.26%"
"2024- 04- 29","1,156","1,128","1,156","1,110","78.87K","1.05%"
"2024- 04- 26","1,144","1,142","1,154","1,116","87.91K","0.26%"
"2024- 04- 25","1,141","1,148","1,158","1,130","70.24K","-1.47%"
"2024- 04- 24","1,158","1,092","1,201","1,092","268.48K","3.95%"
"2024- 04- 23","1,114","1,121","1,129","1,092","90.24K","-0.54%"
"2024- 04- 22","1,120","1,145","1,145","1,085","123.27K","-2.18%"
"2024- 04- 19","1,145","1,199","1,219","1,125","189.67K","-4.02%"
"2024- 04- 18","1,193","1,127","1,205","1,127","357.58K","5.86%"
"2024- 04- 17","1,127","1,086","1,155","1,076","123.50K","4.16%"
"2024- 04- 16","1,082","1,120","1,129","1,079","148.04K","-4.42%"
"2024- 04- 15","1,132","1,124","1,132","1,090","95.42K","0.71%"
"2024- 04- 12","1,124","1,090","1,143","1,090","52.18K","1.63%"
"2024- 04- 11","1,106","1,110","1,131","1,096","127.80K","-2.38%"
"2024- 04- 09","1,133","1,114","1,135","1,109","133.51K","0.80%"
"2024- 04- 08","1,124","1,162","1,162","1,091","301.06K","-3.52%"
"2024- 04- 05","1,165","1,186","1,186","1,132","152.80K","-2.18%"
"2024- 04- 04","1,191","1,167","1,217","1,167","146.26K","2.06%"
"2024- 04- 03","1,167","1,228","1,228","1,162","140.21K","-5.20%"
"2024- 04- 02","1,231","1,255","1,255","1,204","145.60K","-1.91%"
"2024- 04- 01","1,255","1,244","1,270","1,241","139.90K","0.88%"
"2024- 03- 29","1,244","1,226","1,274","1,210","149.15K","1.47%"
"2024- 03- 28","1,226","1,230","1,240","1,209","149.88K","-0.33%"
"2024- 03- 27","1,230","1,274","1,274","1,219","155.26K","-3.45%"
"2024- 03- 26","1,274","1,279","1,294","1,248","232.92K","-0.31%"
"2024- 03- 25","1,278","1,228","1,296","1,216","409.11K","4.07%"
"2024- 03- 22","1,228","1,256","1,256","1,191","279.86K","-3.31%"
"2024- 03- 21","1,270","1,240","1,294","1,205","534.47K","2.42%"
"2024- 03- 20","1,240","1,210","1,270","1,166","571.79K","2.48%"
