"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","5,040","4,955","5,070","4,940","33.17K","1.72%"
"2024- 04- 29","4,955","5,030","5,080","4,940","32.54K","-1.29%"
"2024- 04- 26","5,020","5,220","5,230","5,020","119.84K","-3.83%"
"2024- 04- 25","5,220","4,985","5,250","4,905","146.20K","3.57%"
"2024- 04- 24","5,040","4,950","5,050","4,935","50.69K","1.00%"
"2024- 04- 23","4,990","4,895","5,030","4,850","79.58K","0.71%"
"2024- 04- 22","4,955","4,980","5,060","4,910","62.41K","0.20%"
"2024- 04- 19","4,945","4,990","5,100","4,930","107.67K","-0.20%"
"2024- 04- 18","4,955","4,870","4,995","4,795","73.95K","1.12%"
"2024- 04- 17","4,900","4,890","4,900","4,760","90.44K","0.82%"
"2024- 04- 16","4,860","4,820","4,890","4,735","129.41K","0.62%"
"2024- 04- 15","4,830","4,725","4,840","4,690","71.83K","0.00%"
"2024- 04- 12","4,830","4,855","4,910","4,705","142.77K","-0.51%"
"2024- 04- 11","4,855","4,780","4,875","4,645","144.08K","1.36%"
"2024- 04- 09","4,790","4,730","5,330","4,670","1.44M","1.27%"
"2024- 04- 08","4,730","4,720","4,830","4,685","179.70K","0.00%"
"2024- 04- 05","4,730","4,570","4,785","4,570","233.08K","1.94%"
"2024- 04- 04","4,640","4,480","4,640","4,445","127.85K","3.57%"
"2024- 04- 03","4,480","4,405","4,520","4,405","85.93K","-0.22%"
"2024- 04- 02","4,490","4,535","4,535","4,425","124.18K","-0.99%"
"2024- 04- 01","4,535","4,500","4,540","4,450","115.41K","0.78%"
"2024- 03- 29","4,500","4,565","4,565","4,445","86.57K","-0.77%"
"2024- 03- 28","4,535","4,605","4,630","4,510","143.80K","-1.52%"
"2024- 03- 27","4,605","4,605","4,630","4,565","149.21K","0.00%"
"2024- 03- 26","4,605","4,600","4,630","4,545","147.39K","0.11%"
"2024- 03- 25","4,600","4,555","4,600","4,495","76.16K","0.99%"
"2024- 03- 22","4,555","4,505","4,570","4,505","44.01K","0.11%"
"2024- 03- 21","4,550","4,500","4,630","4,480","190.65K","1.11%"
"2024- 03- 20","4,500","4,550","4,560","4,500","159.66K","-1.10%"
"2024- 03- 19","4,550","4,550","4,595","4,470","178.64K","0.00%"
"2024- 03- 18","4,550","4,885","4,910","4,505","598.83K","-7.52%"
"2024- 03- 15","4,920","4,905","5,110","4,825","260.19K","0.51%"
"2024- 03- 14","4,895","4,725","4,895","4,620","290.54K","5.27%"
"2024- 03- 13","4,650","4,520","4,735","4,515","149.49K","2.76%"
