"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,380.00","7,380.00","7,380.00","7,380.00","0.07K","-0.27%"
"2024- 05- 07","7,400.00","7,400.00","7,400.00","7,400.00","0.00K","1.51%"
"2024- 05- 03","7,290.00","7,290.00","7,290.00","7,290.00","0.01K","-1.22%"
"2024- 05- 02","7,380.00","7,400.00","7,400.00","7,000.00","1.21K","-2.89%"
"2024- 04- 30","7,600.00","7,600.00","7,600.00","7,600.00","0.01K","7.04%"
"2024- 04- 29","7,100.00","7,380.00","7,400.00","7,380.00","0.05K","-3.92%"
"2024- 04- 26","7,390.00","7,390.00","7,390.00","7,390.00","0.41K","-6.46%"
"2024- 04- 24","7,900.00","7,600.00","7,900.00","7,100.00","0.78K","-1.25%"
"2024- 04- 18","8,000.00","7,800.00","8,000.00","7,800.00","0.00K","2.56%"
"2024- 04- 17","7,800.00","7,600.00","7,800.00","7,600.00","0.04K","-2.50%"
"2024- 04- 12","8,000.00","8,000.00","8,000.00","8,000.00","0.00K","2.56%"
"2024- 04- 11","7,800.00","7,800.00","7,800.00","7,800.00","0.05K","0.00%"
"2024- 04- 09","7,800.00","7,800.00","7,800.00","7,800.00","0.08K","0.00%"
"2024- 04- 08","7,800.00","8,000.00","8,000.00","7,800.00","0.04K","0.00%"
"2024- 04- 05","7,800.00","8,000.00","8,000.00","7,800.00","0.03K","1.96%"
"2024- 04- 04","7,650.00","7,800.00","8,200.00","7,650.00","0.52K","-1.92%"
"2024- 04- 03","7,800.00","7,600.00","7,800.00","7,600.00","0.42K","2.63%"
"2024- 04- 02","7,600.00","7,400.00","7,600.00","7,400.00","0.34K","2.70%"
"2024- 04- 01","7,400.00","7,400.00","7,400.00","7,400.00","0.05K","2.78%"
"2024- 03- 29","7,200.00","7,200.00","7,200.00","7,200.00","0.11K","2.86%"
"2024- 03- 28","7,000.00","7,050.00","7,050.00","7,000.00","0.06K","0.00%"
"2024- 03- 27","7,000.00","7,400.00","7,400.00","6,600.00","0.54K","-7.89%"
