"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","9,020","8,880","9,130","8,870","24.80K","-0.22%"
"2024- 05- 07","9,040","9,050","9,230","9,030","38.54K","-0.11%"
"2024- 05- 03","9,050","9,010","9,200","8,970","21.30K","0.44%"
"2024- 05- 02","9,010","9,080","9,170","8,840","24.91K","-0.66%"
"2024- 04- 30","9,070","9,080","9,170","8,880","47.58K","0.44%"
"2024- 04- 29","9,030","8,860","9,080","8,860","25.62K","1.92%"
"2024- 04- 26","8,860","8,940","9,140","8,820","29.16K","0.23%"
"2024- 04- 25","8,840","9,090","9,220","8,810","31.37K","-2.75%"
"2024- 04- 24","9,090","9,180","9,290","8,980","38.39K","-0.98%"
"2024- 04- 23","9,180","8,910","9,240","8,910","53.86K","3.03%"
"2024- 04- 22","8,910","8,650","9,100","8,440","72.59K","3.01%"
"2024- 04- 19","8,650","8,640","8,680","8,310","51.05K","0.23%"
"2024- 04- 18","8,630","8,290","8,650","8,290","37.62K","4.10%"
"2024- 04- 17","8,290","8,440","8,720","8,250","63.24K","-1.78%"
"2024- 04- 16","8,440","8,610","8,770","8,350","72.27K","-1.97%"
"2024- 04- 15","8,610","8,660","8,690","8,540","39.41K","-1.82%"
"2024- 04- 12","8,770","8,940","9,070","8,640","82.63K","-1.57%"
"2024- 04- 11","8,910","8,650","9,140","8,500","74.51K","3.01%"
"2024- 04- 09","8,650","8,610","8,760","8,400","75.92K","0.46%"
"2024- 04- 08","8,610","8,900","9,060","8,610","92.16K","-2.82%"
"2024- 04- 05","8,860","8,780","9,110","8,720","90.92K","-0.89%"
"2024- 04- 04","8,940","9,030","9,400","8,940","126.65K","-1.00%"
"2024- 04- 03","9,030","9,400","9,480","9,030","141.51K","-3.94%"
"2024- 04- 02","9,400","10,180","10,200","9,390","376.26K","-8.38%"
"2024- 04- 01","10,260","9,300","10,670","9,080","609.79K","11.89%"
"2024- 03- 29","9,170","8,810","9,320","8,670","216.91K","3.27%"
"2024- 03- 28","8,880","9,050","9,160","8,800","315.32K","-2.52%"
"2024- 03- 27","9,110","9,310","9,310","9,040","249.43K","-2.15%"
"2024- 03- 26","9,310","9,670","9,710","9,300","244.39K","-4.22%"
"2024- 03- 25","9,720","10,040","10,100","9,500","367.51K","-3.76%"
"2024- 03- 22","10,100","10,200","10,450","9,850","586.05K","-2.70%"
"2024- 03- 21","10,380","10,050","10,520","10,020","137.93K","3.28%"
"2024- 03- 20","10,050","10,060","10,470","9,800","446.79K","-5.37%"
"2024- 03- 19","10,620","11,060","11,320","10,440","137.45K","-4.41%"
"2024- 03- 18","11,110","11,060","11,570","11,060","65.33K","0.54%"
"2024- 03- 15","11,050","11,550","11,610","11,050","132.69K","-4.08%"
"2024- 03- 14","11,520","12,060","12,060","11,370","90.10K","-3.60%"
"2024- 03- 13","11,950","12,620","12,650","11,820","88.71K","-3.63%"
"2024- 03- 12","12,400","12,100","12,890","11,710","100.97K","2.56%"
"2024- 03- 11","12,090","11,960","12,900","11,960","75.82K","-1.39%"
"2024- 03- 08","12,260","12,450","12,640","12,150","47.30K","-0.16%"
"2024- 03- 07","12,280","13,030","13,080","12,280","109.67K","-5.61%"
"2024- 03- 06","13,010","12,400","13,630","12,090","300.83K","4.92%"
"2024- 03- 05","12,400","11,010","14,360","10,870","712.47K","10.52%"
"2024- 03- 04","11,220","11,890","12,250","11,150","0.00K","-5.63%"
"2024- 03- 03","11,890","11,890","11,890","11,890","","0.00%"
"2024- 02- 29","11,890","12,850","13,400","11,580","457.85K","-14.95%"
"2024- 02- 28","13,980","16,210","16,210","13,750","0.01K","16.50%"
"2024- 02- 27","12,000","12,400","12,400","11,320","723.26K","-1.15%"
"2024- 02- 26","12,140","12,220","12,500","12,040","297.88K","0.00%"
"2024- 02- 23","12,140","11,180","12,500","10,800","884.47K","9.76%"
"2024- 02- 22","11,060","10,700","11,060","10,400","232.18K","4.14%"
